docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
30,0,1,Krzyczeli,,krzyczeć,praet:pl:m1:imperf,VERB,O,
30,0,2,"""",,"""",interp,PUNCT,O,
30,0,3,Heil,,Heil,subst:sg:nom:m1,PROPN,O,
30,0,4,Trump,trump,Trump,subst:sg:nom:m1,PROPN,B-PER,1
30,0,5,"""",,"""",interp,PUNCT,O,
30,0,6,.,,.,interp,PUNCT,O,
30,1,1,Donald,donald,Donald,subst:sg:nom:m1,PROPN,B-PER,1
30,1,2,Trump,trump,Trump,subst:sg:nom:m1,PROPN,I-PER,1
30,1,3,potępił,,potępić,praet:sg:m1:perf,VERB,O,
30,1,4,"""",,"""",interp,PUNCT,O,
30,1,5,Potępiam,,potępiać,fin:sg:pri:imperf,VERB,O,
30,1,6,ich,,on,ppron3:pl:gen:m1:ter:akc:npraep,PRON,O,
30,1,7,.,,.,interp,PUNCT,O,
30,2,1,Nie,,nie,part,PART,O,
30,2,2,są,,być,fin:pl:ter:imperf,AUX,O,
30,2,3,to,,to,pred,AUX,O,
30,2,4,grupy,,grupa,subst:pl:nom:f,NOUN,O,
30,2,5,",",,",",interp,PUNCT,O,
30,2,6,które,,który,adj:pl:acc:f:pos,DET,O,
30,2,7,chcę,,chcieć,fin:sg:pri:imperf,VERB,O,
30,2,8,zagrzewać,,zagrzewać,inf:imperf,VERB,O,
30,2,9,do,,do,prep:gen,ADP,O,
30,2,10,walki,,walka,subst:sg:gen:f,NOUN,O,
30,2,11,"""",,"""",interp,PUNCT,O,
30,2,12,-,,-,interp,PUNCT,O,
30,2,13,napisał,,napisać,praet:sg:m1:perf,VERB,O,
30,2,14,prezydent,,prezydent,subst:sg:nom:m1,NOUN,O,
30,2,15,elekt,,elekt,subst:sg:nom:m1,NOUN,O,
30,2,16,we,,w,prep:acc:wok,ADP,O,
30,2,17,wtorek,,wtorek,subst:sg:acc:m3,NOUN,O,
30,2,18,na,,na,prep:loc,ADP,O,
30,2,19,Twitterze,twitter,twitter,subst:sg:loc:m3,NOUN,B-MISC,90
30,2,20,",",,",",interp,PUNCT,O,
30,2,21,po,,po,prep:loc,ADP,O,
30,2,22,tym,,to,subst:sg:loc:n:ncol,PRON,O,
30,2,23,jak,,jak,comp,SCONJ,O,
30,2,24,wystąpienia,,wystąpić,subst:pl:nom:n:ncol,NOUN,O,
30,2,25,neonazistów,,neonazista,subst:pl:gen:m1,NOUN,O,
30,2,26,spotkały,,spotkać,praet:pl:f:perf,VERB,O,
30,2,27,się,,się,part,PRON,O,
30,2,28,z,,z,prep:inst:nwok,ADP,O,
30,2,29,licznymi,,liczny,adj:pl:inst:m3:pos,ADJ,O,
30,2,30,protestami,,protest,subst:pl:inst:m3,NOUN,O,
30,2,31,.,,.,interp,PUNCT,O,
