docId,sentenceId,tokenId,text,lemma,ner,clID
466,0,1,PC,pc,B-ORG,261
466,1,1,Revue,revue,I-ORG,261
466,1,2,|,,O,
466,1,3,Donald,donald,B-PER,1
466,2,1,Trump,trump,I-PER,1
466,2,2,chce,,O,
466,2,3,donútiť,,O,
466,2,4,Apple,apple,B-ORG,149
466,2,5,preniesť,,O,
466,2,6,späť,,O,
466,2,7,výrobu,,O,
466,2,8,do,,O,
466,2,9,USA,usa,B-LOC,2
466,2,10,Donald,,O,
466,2,11,Trump,,O,
466,2,12,chce,,O,
466,2,13,donútiť,,O,
466,2,14,Apple,,O,
466,2,15,preniesť,,O,
466,2,16,späť,,O,
466,2,17,výrobu,,O,
466,2,18,do,,O,
466,2,19,USA,,O,
466,2,20,.,,O,
466,3,1,Apple,,O,
466,3,2,pred,,O,
466,3,3,niekoľkými,,O,
466,3,4,presunul,,O,
466,3,5,značnú,,O,
466,3,6,časť,,O,
466,3,7,svojej,,O,
466,3,8,výroby,,O,
466,3,9,za,,O,
466,3,10,hranice,,O,
466,3,11,USA,,O,
466,3,12,",",,O,
466,3,13,a,,O,
466,3,14,to,,O,
466,3,15,zrejme,,O,
466,3,16,navždy,,O,
466,3,17,.,,O,
466,4,1,V,,O,
466,4,2,roku,,O,
466,4,3,2011,,O,
466,4,4,sa,,O,
466,4,5,Steve,steve,B-PER,262
466,4,6,Jobs,jobs,I-PER,262
466,4,7,vyjadril,,O,
466,4,8,",",,O,
466,4,9,že,,O,
466,4,10,„,,O,
466,4,11,tieto,,O,
466,4,12,pracovné,,O,
466,4,13,miesta,,O,
466,4,14,sa,,O,
466,4,15,už,,O,
466,4,16,nevrátia,,O,
466,4,17,"""",,O,
466,4,18,.,,O,
466,5,1,No,,O,
466,5,2,miliardár,,O,
466,5,3,Donald,,O,
466,5,4,Trump,,O,
466,5,5,si,,O,
466,5,6,myslí,,O,
466,5,7,",",,O,
466,5,8,že,,O,
466,5,9,sa,,O,
466,5,10,mu,,O,
466,5,11,ich,,O,
466,5,12,podarí,,O,
466,5,13,dostať,,O,
466,5,14,späť,,O,
466,5,15,.,,O,
466,6,1,Vo,,O,
466,6,2,svojom,,O,
466,6,3,nedávnom,,O,
466,6,4,prejave,,O,
466,6,5,na,,O,
466,6,6,Liberty,liberty,B-ORG,263
466,6,7,University,university,I-ORG,263
466,6,8,dosť,,O,
466,6,9,pritvrdil,,O,
466,6,10,svoju,,O,
466,6,11,rétoriku,,O,
466,6,12,",",,O,
466,6,13,keď,,O,
466,6,14,hovoril,,O,
466,6,15,o,,O,
466,6,16,vytváraní,,O,
466,6,17,budúcich,,O,
466,6,18,pracovných,,O,
466,6,19,miest,,O,
466,6,20,.,,O,
466,7,1,„,,O,
466,7,2,Máme,,O,
466,7,3,v,,O,
466,7,4,tejto,,O,
466,7,5,krajine,,O,
466,7,6,úžasných,,O,
466,7,7,ľudí,,O,
466,7,8,:,,O,
466,7,9,inteligentných,,O,
466,7,10,",",,O,
466,7,11,znalých,,O,
466,7,12,a,,O,
466,7,13,energických,,O,
466,7,14,.,,O,
466,7,15,.,,O,
466,7,16,.,,O,
466,8,1,Prinútime,,O,
466,8,2,Apple,,O,
466,8,3,začať,,O,
466,8,4,vyrábať,,O,
466,8,5,tie,,O,
466,8,6,jeho,,O,
466,8,7,čertovské,,O,
466,8,8,počítače,,O,
466,8,9,a,,O,
466,8,10,veci,,O,
466,8,11,v,,O,
466,8,12,tejto,,O,
466,8,13,krajine,,O,
466,8,14,",",,O,
466,8,15,a,,O,
466,8,16,nie,,O,
466,8,17,v,,O,
466,8,18,iných,,O,
466,8,19,.,,O,
466,8,20,"""",,O,
466,9,1,Pravda,,O,
466,9,2,",",,O,
466,9,3,Donald,,O,
466,9,4,Trump,,O,
466,9,5,nemôže,,O,
466,9,6,len,,O,
466,9,7,tak,,O,
466,9,8,otočiť,,O,
