docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
490,0,1,Kanadský,,kanadský,AAis1x,ADJ,O,
490,0,2,web,,web,SSis1,NOUN,O,
490,0,3,pre,,pre,Eu4,ADP,O,
490,0,4,imigráciu,,imigrácia,SSfs4,NOUN,O,
490,0,5,spadol,,spadnúť,VLdscm+,VERB,O,
490,0,6,po,,po,Eu6,ADP,O,
490,0,7,tom,,to,PFns6,DET,O,
490,0,8,",",,",",Z,PUNCT,O,
490,0,9,čo,,čo,PFns1,PRON,O,
490,0,10,Donald,donald,donald,SSms1:r,PROPN,B-PER,1
490,0,11,Trump,trump,trump,SSms1:r,PROPN,I-PER,1
490,0,12,vyhral,,vyhrať,VLdscm+,VERB,O,
490,0,13,voľby,,voľba,SSfp4,NOUN,O,
490,0,14,|,,|,Z,PUNCT,O,
490,0,15,TOUCHIT,touchit,touchit,Z,PUNCT,B-ORG,237
490,1,1,Posledné,,posledný,AAfp1x,ADJ,O,
490,1,2,prezidentské,,prezidentský,AAfp1x,ADJ,O,
490,1,3,voľby,,voľba,SSfp1,NOUN,O,
490,1,4,v,,v,Eu6,ADP,O,
490,1,5,USA,usa,usa,W,PROPN,B-LOC,2
490,1,6,sú,,byť,VKepc+,AUX,O,
490,1,7,bezpochyby,,bezpochyby,Dx,ADV,O,
490,1,8,historické,,historický,AAip1x,ADJ,O,
490,1,9,z,,z,Eu2,ADP,O,
490,1,10,viacerých,,viacero,NUip2,NUM,O,
490,1,11,dôvodov,,dôvod,SSip2,NOUN,O,
490,1,12,.,,.,Z,PUNCT,O,
490,2,1,Donald,donald,donald,SSms1:r,PROPN,B-PER,1
490,2,2,Trump,trump,trump,SSms1:r,PROPN,I-PER,1
490,2,3,bol,,byť,VLescm+,AUX,O,
490,2,4,zvolený,,zvolený,Gtms1x,ADJ,O,
490,2,5,ako,,ako,O,SCONJ,O,
490,2,6,45,,45,0,NUM,O,
490,2,7,.,,.,Z,PUNCT,O,
490,2,8,prezident,,prezident,SSms1,NOUN,O,
490,2,9,Spojených,spojené,spojený,Gtip2x,ADJ,B-LOC,2
490,2,10,štátov,štáty,štát,SSip2,NOUN,I-LOC,2
490,2,11,.,,.,Z,PUNCT,O,
490,3,1,Toto,,toto,PFns1,DET,O,
490,3,2,víťazstvo,,víťazstvo,SSns1,NOUN,O,
490,3,3,bude,,byť,VBesc+,AUX,O,
490,3,4,mať,,mať,VIe+,VERB,O,
490,3,5,rozsiahle,,rozsiahly,AAfp4x,ADJ,O,
490,3,6,zmeny,,zmena,SSfp4,NOUN,O,
490,3,7,vo,,v,Ev6,ADP,O,
490,3,8,nielen,,nielen,SSfs6,NOUN,O,
490,3,9,vo,,v,Ev6,ADP,O,
490,3,10,finančnej,,finančný,AAfs6x,ADJ,O,
490,3,11,sfére,,sféra,SSfs6,NOUN,O,
490,3,12,",",,",",Z,PUNCT,O,
490,3,13,ale,,ale,O,CCONJ,O,
490,3,14,aj,,aj,T,PART,O,
490,3,15,vo,,v,Ev6,ADP,O,
490,3,16,vzťahu,,vzťah,SSis6,NOUN,O,
490,3,17,ku,,k,Ev3,ADP,O,
490,3,18,svetu,,svet,SSis3,NOUN,O,
490,3,19,.,,.,Z,PUNCT,O,
490,4,1,Zaujímavý,,zaujímavý,AAis1x,ADJ,O,
490,4,2,incident,,incident,SSis1,NOUN,O,
490,4,3,nastal,,nastať,VLdsci+,VERB,O,
490,4,4,počas,,počas,Eu2,ADP,O,
490,4,5,volieb,,volieb,SSfp2,NOUN,O,
490,4,6,",",,",",Z,PUNCT,O,
490,4,7,resp,,resp,0,NUM,O,
490,4,8,.,,.,Z,PUNCT,O,
490,4,9,k,,k,Eu3,ADP,O,
490,4,10,ich,,ich,PUis3,DET,O,
490,4,11,záveru,,záver,SSis3,NOUN,O,
490,4,12,v,,v,Eu4,ADP,O,
490,4,13,utorok,,utorok,SSis4,NOUN,O,
490,4,14,večer,,večer,Dx,ADV,O,
490,4,15,",",,",",ZIP,PUNCT,O,
490,4,16,keď,,keď,O,SCONJ,O,
490,4,17,už,,už,T,PART,O,
490,4,18,bol,,byť,VLesci+,AUX,O,
490,4,19,viac,,veľa,Dy,ADV,O,
490,4,20,než,,než,O,SCONJ,O,
490,4,21,isté,,istý,PAns1,DET,O,
490,4,22,",",,",",Z,PUNCT,O,
490,4,23,že,,že,O,SCONJ,O,
490,4,24,Donald,donald,donald,SSms1:r,PROPN,B-PER,1
490,4,25,Trump,trump,trump,SSms1:r,PROPN,I-PER,1
490,4,26,vyhrá,,vyhrať,VKdsc+,VERB,O,
490,4,27,.,,.,ZIP,PUNCT,O,
490,5,1,Padli,,padnúť,VLdpcf+,VERB,O,
490,5,2,totiž,,totiž,T,PART,O,
490,5,3,kanadské,,kanadský,AAfp1x,ADJ,O,
490,5,4,webové,,webový,AAfp1x,ADJ,O,
490,5,5,stránky,,stránka,SSfp1,NOUN,O,
490,5,6,pre,,pre,Eu4,ADP,O,
490,5,7,imigráciu,,imigrácia,SSfs4,NOUN,O,
490,5,8,(,,(,Z,PUNCT,O,
490,5,9,aktuálne,,aktuálny,AAns1x,ADJ,O,
490,5,10,stále,,stále,Dx,ADV,O,
490,5,11,tento,,tento,PFis1,DET,O,
490,5,12,výpadok,,výpadok,SSis1,NOUN,O,
490,5,13,pretrváva,,pretrvávať,VKesc+,VERB,O,
490,5,14,),,),Z,PUNCT,O,
490,5,15,.,,.,Z,PUNCT,O,
490,6,1,Mnohí,,mnoho,NAmp1,ADJ,O,
490,6,2,Američania,američania,američan,SSmp1,NOUN,B-PER,17
490,6,3,",",,",",Z,PUNCT,O,
490,6,4,ktorí,,ktorý,PAmp1,DET,O,
490,6,5,nie,,nie,T,PART,O,
490,6,6,sú,,byť,VKepc-,AUX,O,
490,6,7,spokojní,,spokojný,AAmp1x,ADJ,O,
490,6,8,s,,s,Eu7,ADP,O,
490,6,9,výsledkom,,výsledok,SSis7,NOUN,O,
490,6,10,chcú,,chcieť,VKepc+,VERB,O,
490,6,11,totiž,,totiž,T,PART,O,
490,6,12,opustiť,,opustiť,VId+,VERB,O,
490,6,13,krajinu,,krajina,SSfs4,NOUN,O,
490,6,14,a,,a,O,CCONJ,O,
490,6,15,presťahovať,,presťahovať,VId+,VERB,O,
490,6,16,sa,,sa,R,PRON,O,
490,6,17,do,,do,Eu2,ADP,O,
490,6,18,Kanady,kanada,kanada,SSfs2:r,PROPN,B-LOC,117
490,6,19,.,,.,Z,PUNCT,O,
490,7,1,Či,,či,O,CCONJ,O,
490,7,2,sa,,sa,R,PRON,O,
490,7,3,aj,,aj,T,PART,O,
490,7,4,tak,,tak,PD,ADV,O,
490,7,5,naozaj,,naozaj,T,PART,O,
490,7,6,začne,,začať,VKdsc+,VERB,O,
490,7,7,diať,,diať,VIe+,VERB,O,
490,7,8,ukáže,,ukázať,VKdsc+,VERB,O,
490,7,9,čas,,čas,SSis1,NOUN,O,
490,7,10,.,,.,Z,PUNCT,O,
490,8,1,Kanada,kanada,kanada,SSfs1,NOUN,B-LOC,117
490,8,2,samotná,,samotný,AAfs1x,ADJ,O,
