docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
309,0,1,Donald,donald,Donald,Npmsn,PROPN,B-PER,1
309,0,2,Trump,trump,Trump,Npmsn,PROPN,I-PER,1
309,0,3,vs.,,vs.,Y,X,O,
309,0,4,Hillary,hillary,Hillary,Npfsn,PROPN,B-PER,3
309,0,5,Clinton,clinton,Clinton,Npmsn,PROPN,I-PER,3
309,0,6,|,,|,Xf,X,O,
309,0,7,Ekoper,ekoper,Ekoper,Npmsn,PROPN,B-ORG,40106
309,1,1,Foto,,foto,Ncmsn,NOUN,O,
309,1,2,:,,:,Z,PUNCT,O,
309,1,3,theweek.co.uk,,theweek.co.uk,Mdc,NUM,O,
309,1,4,.,,.,Z,PUNCT,O,
309,2,1,In,,in,Cc,CCONJ,O,
309,2,2,ravno,,ravno,Q,PART,O,
309,2,3,Donald,donald,Donald,Npmsn,PROPN,B-PER,1
309,2,4,Trump,trump,Trump,Npmsn,PROPN,I-PER,1
309,2,5,je,,biti,Va-r3s-n,AUX,O,
309,2,6,tipičen,,tipičen,Agpmsnn,ADJ,O,
309,2,7,primer,,primer,Ncmsn,NOUN,O,
309,2,8,takšnega,,takšen,Pd-msg,DET,O,
309,2,9,prepotentnega,,prepotenten,Agpmsg,ADJ,O,
309,2,10,(,,(,Z,PUNCT,O,
309,2,11,top,,top,Ncmsn,NOUN,O,
309,2,12,),,),Z,PUNCT,O,
309,2,13,alfa,,alf,Ncmsg,NOUN,O,
309,2,14,samca,,samec,Ncmsg,NOUN,O,
309,2,15,",",,",",Z,PUNCT,O,
309,2,16,ki,,ki,Cs,SCONJ,O,
309,2,17,se,,se,Px------y,PRON,O,
309,2,18,vsake,,vsak,Pg-mpa,DET,O,
309,2,19,toliko,,toliko,Rgp,DET,O,
309,2,20,let,,leto,Ncnpg,NOUN,O,
309,2,21,»,,»,Z,PUNCT,O,
309,2,22,dopingira,,dopingirati,Vmbr3s,VERB,O,
309,2,23,«,,«,Z,PUNCT,O,
309,2,24,z,,z,Si,ADP,O,
309,2,25,lepoticami,,lepotica,Ncfpi,NOUN,O,
309,2,26,.,,.,Z,PUNCT,O,
309,3,1,Verjamem,,verjeti,Vmbr1s,VERB,O,
309,3,2,",",,",",Z,PUNCT,O,
309,3,3,da,,da,Cs,SCONJ,O,
309,3,4,je,,biti,Va-r3s-n,AUX,O,
309,3,5,bila,,biti,Va-p-sf,AUX,O,
309,3,6,»,,»,Z,PUNCT,O,
309,3,7,naša,,naš,Ps1fsnp,DET,O,
309,3,8,«,,«,Z,PUNCT,O,
309,3,9,Melanija,melanija,Melanija,Npfsn,PROPN,B-PER,183
309,3,10,Knavs,knavs,Knavs,Npfsn,PROPN,I-PER,183
309,3,11,nekoč,,nekoč,Rgp,ADV,O,
309,3,12,prav,,prav,Q,PART,O,
309,3,13,to,,ta,Pd-nsn,DET,O,
309,3,14,",",,",",Z,PUNCT,O,
309,3,15,kar,,kar,Pr-nsn,PRON,O,
309,3,16,je,,biti,Va-r3s-n,AUX,O,
309,3,17,bila,,biti,Va-p-sf,AUX,O,
309,3,18,Monica,monica,Monica,Npfsn,PROPN,B-PER,133
309,3,19,Lewinsky,lewinsky,Lewinsky,Npfsn,PROPN,I-PER,133
309,3,20,za,,za,Sa,ADP,O,
309,3,21,Bila,bill,biti,Va-p-sf,AUX,B-PER,135
309,3,22,Clintona,clinton,Clinton,Npmsay,PROPN,I-PER,135
309,3,23,",",,",",Z,PUNCT,O,
309,3,24,le,,le,Q,PART,O,
309,3,25,da,,da,Cs,SCONJ,O,
309,3,26,je,,biti,Va-r3s-n,AUX,O,
309,3,27,Trump,trump,Trump,Npmsn,PROPN,B-PER,1
309,3,28,Melanijo,melanija,Melanija,Npfsa,PROPN,B-PER,183
309,3,29,še,,še,Q,PART,O,
309,3,30,poročil,,poročiti,Vmep-sm,VERB,O,
309,3,31,in,,in,Cc,CCONJ,O,
309,3,32,ima,,imeti,Vmpr3s-n,VERB,O,
309,3,33,danes,,danes,Rgp,ADV,O,
309,3,34,z,,z,Si,ADP,O,
309,3,35,njo,,on,Pp3fsi,PRON,O,
309,3,36,otroka,,otrok,Ncmsay,NOUN,O,
309,3,37,.,,.,Z,PUNCT,O,
309,4,1,Po,,po,Sa,ADP,O,
309,4,2,svoje,,svoj,Px-nsa,DET,O,
309,4,3,je,,biti,Va-r3s-n,AUX,O,
309,4,4,to,,ta,Pd-nsn,DET,O,
309,4,5,precej,,precej,Rgp,ADV,O,
309,4,6,moralno,,moralno,Rgp,ADV,O,
309,4,7,pokvarjeno,,pokvarjen,Appnsn,ADJ,O,
309,4,8,–,,–,Z,PUNCT,O,
309,4,9,precej,,precej,Rgp,ADV,O,
309,4,10,bolj,,bolj,Rgc,ADV,O,
