docId,sentenceId,tokenId,text,lemma,ner,clID
347,0,1,Дональд,дональд,B-PER,1
347,0,2,Трамп,трамп,I-PER,1
347,0,3,виграв,,O,
347,0,4,президентські,,O,
347,0,5,вибори,,O,
347,0,6,у,,O,
347,0,7,США,сша,B-LOC,2
347,0,8,|,,O,
347,0,9,Новий,,O,
347,0,10,Погляд,,O,
347,0,11,Перемога,,O,
347,0,12,кандидата,,O,
347,0,13,на,,O,
347,0,14,посаду,,O,
347,0,15,президента,,O,
347,0,16,США,,O,
347,0,17,від,,O,
347,0,18,Республіканської,республіканська,B-ORG,118
347,0,19,партії,партія,I-ORG,118
347,0,20,Дональда,,O,
347,0,21,Трампа,,O,
347,0,22,в,,O,
347,0,23,штаті,,O,
347,0,24,Вісконсін,вісконсін,B-LOC,68
347,0,25,принесла,,O,
347,0,26,йому,,O,
347,0,27,вирішальні,,O,
347,0,28,голоси,,O,
347,0,29,на,,O,
347,0,30,виборах,,O,
347,0,31,",",,O,
347,0,32,повідомляє,,O,
347,0,33,За,,O,
347,0,34,повідомленням,,O,
347,0,35,агенції,,O,
347,0,36,AP,ap,B-ORG,30059
347,0,37,",",,O,
347,0,38,республіканський,,O,
347,0,39,кандидат,,O,
347,0,40,тепер,,O,
347,0,41,має,,O,
347,0,42,276,,O,
347,0,43,голосів,,O,
347,0,44,у,,O,
347,0,45,колегії,,O,
347,0,46,виборників,,O,
347,0,47,.,,O,
347,1,1,Для,,O,
347,1,2,перемоги,,O,
347,1,3,на,,O,
347,1,4,виборах,,O,
347,1,5,одному,,O,
347,1,6,з,,O,
347,1,7,кандидатів,,O,
347,1,8,достатньо,,O,
347,1,9,мати,,O,
347,1,10,270,,O,
347,1,11,представників,,O,
347,1,12,у,,O,
347,1,13,цій,,O,
347,1,14,колегії,,O,
347,1,15,.,,O,
347,2,1,Таким,,O,
347,2,2,чином,,O,
347,2,3,",",,O,
347,2,4,республіканці,,O,
347,2,5,здобули,,O,
347,2,6,перемогу,,O,
347,2,7,і,,O,
347,2,8,на,,O,
347,2,9,виборах,,O,
347,2,10,президента,,O,
347,2,11,",",,O,
347,2,12,і,,O,
347,2,13,в,,O,
347,2,14,обох,,O,
347,2,15,палатах,,O,
347,2,16,Конгресу,конгрес,B-ORG,10051
347,2,17,.,,O,
347,3,1,Республіканська,республіканська,B-ORG,118
347,3,2,партія,партія,I-ORG,118
347,3,3,зберігає,,O,
347,3,4,контроль,,O,
347,3,5,над,,O,
347,3,6,Сенатом,сенат,B-ORG,256
347,3,7,США,сша,I-ORG,256
347,3,8,.,,O,
347,4,1,За,,O,
347,4,2,цими,,O,
347,4,3,даними,,O,
347,4,4,",",,O,
347,4,5,вирішальне,,O,
347,4,6,",",,O,
347,4,7,51-ше,,O,
347,4,8,місце,,O,
347,4,9,в,,O,
347,4,10,палаті,,O,
347,4,11,",",,O,
347,4,12,яка,,O,
347,4,13,складається,,O,
347,4,14,зі,,O,
347,4,15,100,,O,
347,4,16,сенаторів,,O,
347,4,17,",",,O,
347,4,18,здобув,,O,
347,4,19,республіканець,,O,
347,4,20,Пет,пет,B-PER,30068
347,4,21,Тумі,тумі,I-PER,30068
347,4,22,",",,O,
347,4,23,який,,O,
347,4,24,у,,O,
347,4,25,штаті,,O,
347,4,26,Пенсильванія,пенсильванія,B-LOC,22002
347,4,27,переміг,,O,
347,4,28,кандидата,,O,
347,4,29,демократів,,O,
347,4,30,Кеті,кеті,B-PER,30069
347,4,31,МакҐінті,макґінті,I-PER,30069
347,4,32,.,,O,
347,5,1,Тим,,O,
347,5,2,часом,,O,
347,5,3,",",,O,
347,5,4,кандидати,,O,
347,5,5,від,,O,
347,5,6,Республіканської,,O,
347,5,7,партії,,O,
347,5,8,на,,O,
347,5,9,Алясці,аляска,B-LOC,30070
347,5,10,і,,O,
347,5,11,в,,O,
347,5,12,Луїзіані,луїзіана,B-LOC,30071
347,5,13,утримали,,O,
347,5,14,свої,,O,
347,5,15,місця,,O,
347,5,16,",",,O,
347,5,17,як,,O,
347,5,18,і,,O,
347,5,19,очікувалося,,O,
347,5,20,.,,O,
347,6,1,Ще,,O,
347,6,2,раніше,,O,
347,6,3,стало,,O,
347,6,4,відомо,,O,
347,6,5,",",,O,
347,6,6,що,,O,
347,6,7,республіканці,,O,
347,6,8,зберігають,,O,
347,6,9,контроль,,O,
347,6,10,і,,O,
347,6,11,над,,O,
347,6,12,Палатою,палата,B-ORG,30072
