docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
423,0,1,Дональд,дональд,Дональд,Npmsny,PROPN,B-PER,1
423,0,2,Трамп,трамп,Трамп,Npmsny,PROPN,I-PER,1
423,0,3,занепокоївся,,занепокуватися,Vmeis-sm,VERB,O,
423,0,4,витратою,,витрата,Ncfsin,NOUN,O,
423,0,5,пального,,пальний,Afpmsgf,ADJ,O,
423,0,6,американських,,американський,Ao--pgf,ADJ,O,
423,0,7,авто,,авто,Ncnpgn,NOUN,O,
423,0,8,-,,-,U,PUNCT,O,
423,0,9,Автоцентр.ua,,Автоцентр.ua,Npmsny,PROPN,O,
423,0,10,Дональд,дональд,Дональд,Npmsny,PROPN,B-PER,1
423,0,11,Трамп,трамп,Трамп,Npmsny,PROPN,I-PER,1
423,0,12,занепокоївся,,занепокуватися,Vmeis-sm,VERB,O,
423,0,13,витратою,,витрата,Ncfsin,NOUN,O,
423,0,14,пального,,пальний,Afpmsgf,ADJ,O,
423,0,15,американських,,американський,Ao--pgf,ADJ,O,
423,0,16,авто,,авто,Ncnpgn,NOUN,O,
423,0,17,.,,.,U,PUNCT,O,
423,1,1,Дональд,дональд,Дональд,Npmsny,PROPN,B-PER,1
423,1,2,Трамп,трамп,Трамп,Npmsny,PROPN,I-PER,1
423,1,3,ще,,ще,R,ADV,O,
423,1,4,не,,не,Q,PART,O,
423,1,5,взяв,,взяти,Vmeis-sm,VERB,O,
423,1,6,до,,до,Spsg,ADP,O,
423,1,7,рук,,рука,Ncfpgn,NOUN,O,
423,1,8,кермо,,кермо,Ncnsan,NOUN,O,
423,1,9,влади,,влада,Ncfsgn,NOUN,O,
423,1,10,",",,",",U,PUNCT,O,
423,1,11,але,,але,Ccs,CCONJ,O,
423,1,12,вже,,вже,R,ADV,O,
423,1,13,взявся,,взятися,Vmeis-sm,VERB,O,
423,1,14,за,,за,Spsa,ADP,O,
423,1,15,американський,,американський,Ao-msafn,ADJ,O,
423,1,16,автопром,,автопр,Ncmsan,NOUN,O,
423,1,17,.,,.,U,PUNCT,O,
423,2,1,Зокрема,,зокрема,R,ADV,O,
423,2,2,",",,",",U,PUNCT,O,
423,2,3,новий,,новий,Afpmsnf,ADJ,O,
423,2,4,президент,,президент,Ncmsny,NOUN,O,
423,2,5,США,сша,США,Np-pgn,PROPN,B-LOC,2
423,2,6,занепокоївся,,занепокуватися,Vmeis-sm,VERB,O,
423,2,7,витратою,,витрата,Ncfsin,NOUN,O,
423,2,8,пального,,пальний,Afpmsgf,ADJ,O,
423,2,9,.,,.,U,PUNCT,O,
423,3,1,Логічно,,логічно,R,ADV,O,
423,3,2,було,,бути,Vapis-sn,AUX,O,
423,3,3,б,,б,Q,AUX,O,
423,3,4,припустити,,припустити,Vmen,VERB,O,
423,3,5,",",,",",U,PUNCT,O,
423,3,6,що,,що,Css,SCONJ,O,
423,3,7,Дональд,дональд,Дональд,Npmsny,PROPN,B-PER,1
423,3,8,Трамп,трамп,Трамп,Npmsny,PROPN,I-PER,1
423,3,9,має,,мати,Vmpip3s,VERB,O,
423,3,10,намір,,намір,Ncmsan,NOUN,O,
423,3,11,посилити,,посилити,Vmen,VERB,O,
423,3,12,вимоги,,вимога,Ncfpan,NOUN,O,
423,3,13,до,,до,Spsg,ADP,O,
423,3,14,витрати,,витрата,Ncfsgn,NOUN,O,
423,3,15,пального,,пальний,Afpmsgf,ADJ,O,
423,3,16,американських,,американський,Ao--pgf,ADJ,O,
423,3,17,машин,,машин,Ncfpgn,NOUN,O,
423,3,18,",",,",",U,PUNCT,O,
423,3,19,але,,але,Ccs,CCONJ,O,
423,3,20,це,,це,Pd--nnsnn,PRON,O,
423,3,21,не,,не,Q,PART,O,
423,3,22,так,,так,Pd------r,ADV,O,
423,3,23,.,,.,U,PUNCT,O,
423,4,1,У,,у,Spsl,ADP,O,
423,4,2,найближчих,,найближчий,Afs-plf,ADJ,O,
423,4,3,планах,,план,Ncmpln,NOUN,O,
423,4,4,нового,,новий,Afpmsgf,ADJ,O,
423,4,5,глави,,глава,Ncmsgn,NOUN,O,
423,4,6,Білого,білий,білий,Afpmsgf,ADJ,B-LOC,111
423,4,7,дому,дім,дім,Ncmsgn,NOUN,I-LOC,111
423,4,8,–,,–,U,PUNCT,O,
423,4,9,провести,,провести,Vmen,VERB,O,
423,4,10,перевірку,,перевірка,Ncfsan,NOUN,O,
423,4,11,федеральних,,федеральний,Ao--pgf,ADJ,O,
423,4,12,норм,,норма,Ncfpgn,NOUN,O,
423,4,13,(,,(,U,PUNCT,O,
423,4,14,і,,і,Ccs,CCONJ,O,
423,4,15,витрати,,витрата,Ncfpnn,NOUN,O,
423,4,16,пального,,пальний,Afpmsgf,ADJ,O,
