docId,sentenceId,tokenId,text,lemma,ner,clID
bg-17,0,"(1,)",Зрелищна,,O,
bg-17,0,"(2,)",катастрофа,,O,
bg-17,0,"(3,)",изпрати,,O,
bg-17,0,"(4,)",кола,,O,
bg-17,0,"(5,)",на,,O,
bg-17,0,"(6,)",втория,,O,
bg-17,0,"(7,)",етаж,,O,
bg-17,0,"(8,)",на,,O,
bg-17,0,"(9,)",къща,,O,
bg-17,0,"(10,)",(,,O,
bg-17,0,"(11,)",ВИДЕО,,O,
bg-17,0,"(12,)",),,O,
bg-17,1,"(1,)",Зрелищна,,O,
bg-17,1,"(2,)",катастрофа,,O,
bg-17,1,"(3,)",изпрати,,O,
bg-17,1,"(4,)",кола,,O,
bg-17,1,"(5,)",на,,O,
bg-17,1,"(6,)",втория,,O,
bg-17,1,"(7,)",етаж,,O,
bg-17,1,"(8,)",на,,O,
bg-17,1,"(9,)",къща,,O,
bg-17,1,"(10,)",в,,O,
bg-17,1,"(11,)",Калифорния,Калифорния,B-LOC,GPE-California-State
bg-17,1,"(12,)",.,,O,
bg-17,2,"(1,)",Автомобилът,,O,
bg-17,2,"(2,)",пробил,,O,
bg-17,2,"(3,)",стената,,O,
bg-17,2,"(4,)",и,,O,
bg-17,2,"(5,)",останал,,O,
bg-17,2,"(6,)",да,,O,
bg-17,2,"(7,)",виси,,O,
bg-17,2,"(8,)",на,,O,
bg-17,2,"(9,)",няколко,,O,
bg-17,2,"(10,)",метра,,O,
bg-17,2,"(11,)",над,,O,
bg-17,2,"(12,)",земята,,O,
bg-17,2,"(13,)",.,,O,
bg-17,3,"(1,)",Пожарникарите,,O,
bg-17,3,"(2,)",",",,O,
bg-17,3,"(3,)",които,,O,
bg-17,3,"(4,)",се,,O,
bg-17,3,"(5,)",отзовали,,O,
bg-17,3,"(6,)",на,,O,
bg-17,3,"(7,)",сигнала,,O,
bg-17,3,"(8,)",",",,O,
bg-17,3,"(9,)",вадили,,O,
bg-17,3,"(10,)",няколко,,O,
bg-17,3,"(11,)",часа,,O,
bg-17,3,"(12,)",шофьора,,O,
bg-17,3,"(13,)",и,,O,
bg-17,3,"(14,)",пътника,,O,
bg-17,3,"(15,)",до,,O,
bg-17,3,"(16,)",него,,O,
bg-17,3,"(17,)",.,,O,
bg-17,4,"(1,)",/,,O,
bg-17,4,"(2,)",Нова,,O,
bg-17,4,"(3,)",тв.,,O,
bg-17,5,"(1,)",DW,DW,B-ORG,ORG-Deutsche-Welle
bg-17,5,"(2,)",-,,O,
bg-17,5,"(3,)",15,,O,
bg-17,5,"(4,)",Януари,,O,
bg-17,5,"(5,)",12:20,,O,
bg-17,6,"(1,)",Допреди,,O,
bg-17,6,"(2,)",няколко,,O,
bg-17,6,"(3,)",години,,O,
bg-17,6,"(4,)",източноевропейците,източноевропейци,B-PER,LOC-Eastern-Europe
bg-17,6,"(5,)",бяха,,O,
bg-17,6,"(6,)",добре,,O,
bg-17,6,"(7,)",дошли,,O,
bg-17,6,"(8,)",във,,O,
bg-17,6,"(9,)",Великобритания,Великобритания,B-LOC,GPE-Great-Britain
bg-17,6,"(10,)",.,,O,
bg-17,7,"(1,)",Защото,,O,
bg-17,7,"(2,)",бяха,,O,
bg-17,7,"(3,)",желана,,O,
bg-17,7,"(4,)",работна,,O,
bg-17,7,"(5,)",ръка,,O,
bg-17,7,"(6,)",.,,O,
bg-17,8,"(1,)",Покрай,,O,
bg-17,9,"(1,)",Брекзита,Брекзит,B-EVT,EVT-Brexit
bg-17,9,"(2,)",обаче,,O,
bg-17,9,"(3,)",нападките,,O,
bg-17,9,"(4,)",срещу,,O,
bg-17,9,"(5,)",тях,,O,
bg-17,9,"(6,)",стават,,O,
bg-17,9,"(7,)",все,,O,
bg-17,9,"(8,)",по-груби,,O,
bg-17,9,"(9,)",.,,O,
bg-17,10,"(1,)",Ето,,O,
