docId,sentenceId,tokenId,text,lemma,ner,clID
cs-1013,0,1,Česko,,O,
cs-1013,0,2,čekají,,O,
cs-1013,0,3,důležité,,O,
cs-1013,0,4,volby,,O,
cs-1013,0,5,!,,O,
cs-1013,1,1,Většinu,,O,
cs-1013,1,2,lidí,,O,
cs-1013,1,3,přitom,,O,
cs-1013,1,4,ani,,O,
cs-1013,1,5,nezajímají,,O,
cs-1013,2,1,Dalí,,O,
cs-1013,2,2,volby,,O,
cs-1013,2,3,do,,O,
cs-1013,2,4,Evropského,,O,
cs-1013,2,5,parlamentu,,O,
cs-1013,2,6,proběhnou,,O,
cs-1013,2,7,už,,O,
cs-1013,2,8,po,,O,
cs-1013,2,9,brexitu,,O,
cs-1013,2,10,",",,O,
cs-1013,2,11,musí,,O,
cs-1013,2,12,se,,O,
cs-1013,2,13,tedy,,O,
cs-1013,2,14,přerozdělit,,O,
cs-1013,2,15,křesla,,O,
cs-1013,2,16,",",,O,
cs-1013,2,17,která,,O,
cs-1013,2,18,měla,,O,
cs-1013,2,19,Velká,,O,
cs-1013,2,20,Británie,,O,
cs-1013,2,21,.,,O,
cs-1013,3,1,Česko,,O,
cs-1013,3,2,ale,,O,
cs-1013,3,3,zůstane,,O,
cs-1013,3,4,na,,O,
cs-1013,3,5,počtu,,O,
cs-1013,3,6,21,,O,
cs-1013,3,7,zástupců,,O,
cs-1013,3,8,.,,O,
cs-1013,4,1,Dohromady,,O,
cs-1013,4,2,má,,O,
cs-1013,4,3,Europarlament,,O,
cs-1013,4,4,751,,O,
cs-1013,4,5,poslanců,,O,
cs-1013,4,6,včetně,,O,
cs-1013,4,7,předsedy,,O,
cs-1013,4,8,.,,O,
cs-1013,5,1,Termín,,O,
cs-1013,5,2,přítích,,O,
cs-1013,5,3,voleb,,O,
cs-1013,5,4,",",,O,
cs-1013,5,5,které,,O,
cs-1013,5,6,by,,O,
cs-1013,5,7,měly,,O,
cs-1013,5,8,proběhnout,,O,
cs-1013,5,9,ve,,O,
cs-1013,5,10,dnech,,O,
cs-1013,5,11,23,,O,
cs-1013,5,12,.,,O,
cs-1013,5,13,až,,O,
cs-1013,5,14,26,,O,
cs-1013,5,15,.,,O,
cs-1013,5,16,května,,O,
cs-1013,5,17,2019,,O,
cs-1013,5,18,",",,O,
cs-1013,5,19,schválili,,O,
cs-1013,5,20,europoslanci,,O,
cs-1013,5,21,na,,O,
cs-1013,5,22,návrh,,O,
cs-1013,5,23,Rady,,O,
cs-1013,5,24,Evropské,,O,
cs-1013,5,25,unie,,O,
cs-1013,5,26,.,,O,
cs-1013,6,1,Očekává,,O,
cs-1013,6,2,se,,O,
cs-1013,6,3,",",,O,
cs-1013,6,4,že,,O,
cs-1013,6,5,celý,,O,
cs-1013,6,6,proces,,O,
cs-1013,6,7,bude,,O,
cs-1013,6,8,dokončem,,O,
cs-1013,6,9,v,,O,
cs-1013,6,10,červnu,,O,
cs-1013,6,11,",",,O,
cs-1013,6,13,měly,,O,
cs-1013,6,14,členské,,O,
cs-1013,6,15,státy,,O,
cs-1013,6,16,dostatek,,O,
cs-1013,6,17,času,,O,
cs-1013,6,18,volby,,O,
cs-1013,6,19,zorganizovat,,O,
cs-1013,6,20,.,,O,
cs-1013,7,1,"""",,O,
cs-1013,7,2,Čas,,O,
cs-1013,7,3,se,,O,
cs-1013,7,4,krátí,,O,
cs-1013,7,5,.,,O,
cs-1013,8,1,Občané,,O,
cs-1013,8,2,Evropské,,O,
cs-1013,8,3,unie,,O,
cs-1013,8,4,přistoupí,,O,
cs-1013,8,5,k,,O,
cs-1013,8,6,volebním,,O,
cs-1013,8,7,urnám,,O,
cs-1013,8,8,",",,O,
cs-1013,8,10,si,,O,
cs-1013,8,11,již,,O,
cs-1013,8,12,podeváté,,O,
cs-1013,8,13,zvolili,,O,
cs-1013,8,14,Evropský,,O,
cs-1013,8,15,parlament,,O,
cs-1013,8,16,a,,O,
cs-1013,8,17,zapojili,,O,
cs-1013,8,18,se,,O,
cs-1013,8,19,tak,,O,
cs-1013,8,20,do,,O,
cs-1013,8,21,jeho,,O,
cs-1013,8,22,práce,,O,
cs-1013,8,23,",",,O,
cs-1013,8,24,"""",,O,
cs-1013,8,25,uvedla,,O,
cs-1013,8,26,polská,,O,
cs-1013,8,27,europoslankyně,,O,
cs-1013,8,28,Danuta,,O,
cs-1013,8,29,Hübnerová,,O,
cs-1013,8,30,.,,O,
cs-1013,9,1,V,,O,
cs-1013,9,2,posledních,,O,
cs-1013,9,3,volbách,,O,
cs-1013,9,4,v,,O,
cs-1013,9,5,Česku,,O,
cs-1013,9,6,těsně,,O,
cs-1013,9,7,zvítězilo,,O,
cs-1013,9,8,hnutí,,O,
cs-1013,9,9,ANO,,O,
cs-1013,9,10,před,,O,
cs-1013,9,11,koalicí,,O,
cs-1013,9,12,TOP,,O,
cs-1013,9,13,09,,O,
cs-1013,9,14,a,,O,
cs-1013,9,15,STAN,,O,
cs-1013,9,16,a,,O,
cs-1013,9,17,ČSSD,,O,
cs-1013,9,18,.,,O,
cs-1013,10,1,Volební,,O,
cs-1013,10,2,účast,,O,
cs-1013,10,3,se,,O,
cs-1013,10,4,pohybovala,,O,
cs-1013,10,5,kolem,,O,
cs-1013,10,6,18,,O,
cs-1013,10,7,procent,,O,
cs-1013,10,8,.,,O,
cs-1013,11,1,V,,O,
cs-1013,11,2,roce,,O,
cs-1013,11,3,2009,,O,
cs-1013,11,4,k,,O,
cs-1013,11,5,urnám,,O,
cs-1013,11,6,přilo,,O,
cs-1013,11,7,28,,O,
cs-1013,11,8,%,,O,
cs-1013,11,9,oprávněných,,O,
cs-1013,11,10,voličů,,O,
cs-1013,11,11,",",,O,
cs-1013,11,12,pět,,O,
cs-1013,11,13,let,,O,
cs-1013,11,14,předtím,,O,
cs-1013,11,15,byla,,O,
cs-1013,11,16,účast,,O,
cs-1013,11,17,jen,,O,
cs-1013,11,18,mírně,,O,
cs-1013,11,19,vyí,,O,
cs-1013,11,20,.,,O,
cs-1013,12,1,Europarlament,,O,
cs-1013,12,2,je,,O,
cs-1013,12,3,přitom,,O,
cs-1013,12,4,od,,O,
cs-1013,12,5,přijetí,,O,
cs-1013,12,6,Lisabonské,,O,
cs-1013,12,7,smlouvy,,O,
cs-1013,12,8,zákonodárným,,O,
cs-1013,12,9,sborem,,O,
cs-1013,12,10,.,,O,
cs-1013,13,1,Spolu,,O,
cs-1013,13,2,s,,O,
cs-1013,13,3,Radou,,O,
cs-1013,13,4,EU,,O,
cs-1013,13,5,schvaluje,,O,
cs-1013,13,6,legislativu,,O,
cs-1013,13,7,navrženou,,O,
cs-1013,13,8,Evropskou,,O,
cs-1013,13,9,komisí,,O,
cs-1013,13,10,.,,O,
cs-1013,14,1,Zároveň,,O,
cs-1013,14,2,rozhoduje,,O,
cs-1013,14,3,o,,O,
cs-1013,14,4,mezinárodních,,O,
cs-1013,14,5,smlouvách,,O,
cs-1013,14,6,či,,O,
cs-1013,14,7,přistoupení,,O,
cs-1013,14,8,dalích,,O,
cs-1013,14,9,zemí,,O,
cs-1013,14,10,do,,O,
cs-1013,14,11,EU,,O,
cs-1013,14,12,.,,O,
cs-1013,15,1,Parlament,,O,
cs-1013,15,2,musí,,O,
cs-1013,15,3,s,,O,
cs-1013,15,4,návrhem,,O,
cs-1013,15,5,zákona,,O,
cs-1013,15,6,",",,O,
cs-1013,15,7,který,,O,
cs-1013,15,8,Komise,,O,
cs-1013,15,9,předloží,,O,
cs-1013,15,10,",",,O,
cs-1013,15,11,souhlasit,,O,
cs-1013,15,12,",",,O,
cs-1013,15,14,byl,,O,
cs-1013,15,15,přijat,,O,
cs-1013,15,16,a,,O,
cs-1013,15,17,vstoupil,,O,
cs-1013,15,18,v,,O,
cs-1013,15,19,platnost,,O,
cs-1013,15,20,.,,O,
cs-1013,16,1,Europoslanci,,O,
cs-1013,16,2,tak,,O,
cs-1013,16,3,mají,,O,
cs-1013,16,4,možnost,,O,
cs-1013,16,5,ovlivnit,,O,
cs-1013,16,6,budoucnost,,O,
cs-1013,16,7,Unie,,O,
cs-1013,16,8,",",,O,
cs-1013,16,9,ale,,O,
cs-1013,16,10,i,,O,
cs-1013,16,11,každodenní,,O,
cs-1013,16,12,život,,O,
cs-1013,16,13,lidí,,O,
cs-1013,16,14,v,,O,
cs-1013,16,15,členských,,O,
cs-1013,16,16,státech,,O,
cs-1013,16,17,.,,O,
