bg-1101
Huffington Post	Huffington Post	PRO	PRO-Huffington-Post
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Лондон	Лондон	LOC	GPE-London
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Брекзит	Брекзит	EVT	EVT-Brexit
Каланън	Каланън	PER	PER-Martin-Callanan
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Световната търговска организация	Световна търговска организация	ORG	ORG-WTO-World-Trade-Organization
Юлиян Марков	Юлиян Марков	PER	PER-Yuliyan-Markov
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
Брюксел	Брюксел	LOC	GPE-Brussles
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
Доналд Туск	Доналд Туск	PER	PER-Donald-Tusk
AFP	AFP	ORG	ORG-France-Presse
Туск	Туск	PER	PER-Donald-Tusk
Иван Христов	Иван Христов	PER	PER-Ivan-Hristov
