bg-1388
Брекзит	Брекзит	EVT	EVT-Brexit
Мей	Мей	PER	PER-Theresa-May
ЕС	ЕС	ORG	ORG-European-Union
Консервативната партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Ройтерс	Ройтерс	ORG	ORG-Reuters
БТА	БТА	ORG	ORG-Bulgarian-News-Agency
Великобритания	Великобритания	LOC	GPE-Great-Britain
Консервативна партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
консерваторите	консерватори	PER	ORG-Conservative-and-Unionist-Party-UK
Иън Дънкан Смит	Иън Дънкан Смит	PER	PER-Iain-Duncan-Smith
Прити Пател	Прити Пател	PER	PER-Priti-Patel
Брюксел	Брюксел	LOC	GPE-Brussles
