bg-1518
The Times	The Times	PRO	PRO-The-Times
Европейският съюз	Европейски съюз	ORG	ORG-European-Union
Лондон	Лондон	LOC	GPE-London
Брекзит	Брекзит	EVT	EVT-Brexit
Европейски съюз	Европейски съюз	ORG	ORG-European-Union
Берлин	Берлин	LOC	GPE-Berlin
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Мишел Барние	Мишел Барние	PER	PER-Michel-Barnier
Цанко Цолов	Цанко Цолов	PER	PER-Tsanko-Tsolov
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
