pl-1154
AEO	AEO	PRO	PRO-AEO-Authorised-Economic-Operator
Brexit	Brexit	EVT	EVT-Brexit
Chinami	Chiny	LOC	GPE-China
KPMG	KPMG	ORG	ORG-KPMG
Polsce	Polska	LOC	GPE-Poland
Stanami Zjednoczonymi	Stany Zjednoczone	LOC	GPE-USA
UE	UE	ORG	ORG-European-Union
Unia Europejska	Unia Europejska	ORG	ORG-European-Union
Unia	Unia	ORG	ORG-European-Union
Unii Europejskiej	Unia Europejska	ORG	ORG-European-Union
Unii	Unia	ORG	ORG-European-Union
Wielka Brytania	Wielka Brytania	LOC	GPE-Great-Britain
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
Wielką Brytanią	Wielka Brytania	LOC	GPE-Great-Britain
Zbigniew Sobecki	Zbigniew Sobecki	PER	PER-Zbigniew-Sobecki
brexicie	Brexit	EVT	EVT-Brexit
brexitu	Brexit	EVT	EVT-Brexit
zespole ds. cła i akcyzy	Zespół ds. cła i akcyzy	ORG	ORG-KPMG-Customs-and-Excise-Team
Światowej Organizacji Handlu	Światowa Organizacja Handlu	ORG	ORG-WTO-World-Trade-Organization
