docId,sentenceId,tokenId,text,lemma,ner,clID
bg-101,0,1,Преглед,,O,
bg-101,0,2,на,,O,
bg-101,0,3,международния,,O,
bg-101,0,4,печат,,O,
bg-101,1,1,Британският,,O,
bg-101,1,2,преговарящ,,O,
bg-101,1,3,за,,O,
bg-101,1,4,Брекзит,,O,
bg-101,1,5,Дейвид,,O,
bg-101,1,6,Дейвис,,O,
bg-101,1,7,и,,O,
bg-101,1,8,неговият,,O,
bg-101,1,9,европейски,,O,
bg-101,1,10,колега,,O,
bg-101,1,11,Мишел,,O,
bg-101,1,12,Барние,,O,
bg-101,1,13,размениха,,O,
bg-101,1,14,остри,,O,
bg-101,1,15,думи,,O,
bg-101,1,16,заради,,O,
bg-101,1,17,позициите,,O,
bg-101,1,18,си,,O,
bg-101,1,19,по,,O,
bg-101,1,20,преговорите,,O,
bg-101,1,21,за,,O,
bg-101,1,22,излизането,,O,
bg-101,1,23,на,,O,
bg-101,1,24,Великобритания,,O,
bg-101,1,25,от,,O,
bg-101,1,26,Общността,,O,
bg-101,1,27,",",,O,
bg-101,1,28,пише,,O,
bg-101,1,29,вестник,,O,
bg-101,1,30,“,,O,
bg-101,1,31,Гардиън,,O,
bg-101,1,32,“,,O,
bg-101,1,33,.,,O,
bg-101,2,1,След,,O,
bg-101,2,2,края,,O,
bg-101,2,3,на,,O,
bg-101,2,4,поредния,,O,
bg-101,2,5,кръг,,O,
bg-101,2,6,от,,O,
bg-101,2,7,разговорите,,O,
bg-101,2,8,",",,O,
bg-101,2,9,Барние,,O,
bg-101,2,10,заяви,,O,
bg-101,2,11,",",,O,
bg-101,2,12,че,,O,
bg-101,2,13,ако,,O,
bg-101,2,14,различията,,O,
bg-101,2,15,продължат,,O,
bg-101,2,16,",",,O,
bg-101,2,17,преходният,,O,
bg-101,2,18,период,,O,
bg-101,2,19,не,,O,
bg-101,2,20,е,,O,
bg-101,2,21,сигурен,,O,
bg-101,2,22,.,,O,
bg-101,3,1,Коментарът,,O,
bg-101,3,2,му,,O,
bg-101,3,3,предизвика,,O,
bg-101,3,4,спадане,,O,
bg-101,3,5,на,,O,
bg-101,3,6,цената,,O,
bg-101,3,7,на,,O,
bg-101,3,8,паунда,,O,
bg-101,3,9,спрямо,,O,
bg-101,3,10,другите,,O,
bg-101,3,11,международни,,O,
bg-101,3,12,валути,,O,
bg-101,3,13,.,,O,
bg-101,4,1,От,,O,
bg-101,4,2,своя,,O,
