docId,sentenceId,tokenId,text,lemma,ner,clID
pl-1149,0,1,Trzeba,,O,
pl-1149,0,2,będzie,,O,
pl-1149,0,3,żyć,,O,
pl-1149,0,4,po,,O,
pl-1149,0,5,rewolucji,,O,
pl-1149,1,1,Dziś,,O,
pl-1149,1,2,",",,O,
pl-1149,1,3,kiedy,,O,
pl-1149,1,4,rząd,,O,
pl-1149,1,5,w,,O,
pl-1149,1,6,Londynie,Londyn,B-LOC,GPE-London
pl-1149,1,7,rozmawia,,O,
pl-1149,1,8,z,,O,
pl-1149,1,9,Brukselą,Brukselą,B-LOC,GPE-Brussles
pl-1149,1,10,o,,O,
pl-1149,1,11,warunkach,,O,
pl-1149,1,12,wyjścia,,O,
pl-1149,1,13,z,,O,
pl-1149,1,14,Unii,Unia,B-ORG,ORG-European-Union
pl-1149,1,15,Europejskiej,Europejska,I-ORG,ORG-European-Union
pl-1149,1,16,",",,O,
pl-1149,1,17,sprawa,,O,
pl-1149,1,18,ma,,O,
pl-1149,1,19,głównie,,O,
pl-1149,1,20,konsekwencje,,O,
pl-1149,1,21,polityczne,,O,
pl-1149,1,22,.,,O,
pl-1149,2,1,Już,,O,
pl-1149,2,2,wkrótce,,O,
pl-1149,2,3,jednak,,O,
pl-1149,2,4,",",,O,
pl-1149,2,5,dokładnie,,O,
pl-1149,2,6,za,,O,
pl-1149,2,7,rok,,O,
pl-1149,2,8,",",,O,
pl-1149,2,9,skutki,,O,
pl-1149,2,10,referendum,,O,
pl-1149,2,11,realnie,,O,
pl-1149,2,12,dotrą,,O,
pl-1149,2,13,do,,O,
pl-1149,2,14,przedsiębiorców,,O,
pl-1149,2,15,",",,O,
pl-1149,2,16,inwestorów,,O,
pl-1149,2,17,i,,O,
pl-1149,2,18,zwykłych,,O,
pl-1149,2,19,pracowników,,O,
pl-1149,2,20,",",,O,
pl-1149,2,21,działających,,O,
pl-1149,2,22,czy,,O,
pl-1149,2,23,pracujących,,O,
pl-1149,2,24,na,,O,
pl-1149,2,25,Wyspach,Wyspy,B-LOC,GPE-Great-Britain
pl-1149,2,26,.,,O,
pl-1149,3,1,Rozwód,,O,
pl-1149,3,2,z,,O,
pl-1149,3,3,UE,UE,B-ORG,ORG-European-Union
pl-1149,3,4,może,,O,
pl-1149,3,5,oznaczać,,O,
pl-1149,3,6,dla,,O,
pl-1149,3,7,nich,,O,
pl-1149,3,8,spore,,O,
pl-1149,3,9,perturbacje,,O,
pl-1149,3,10,na,,O,
pl-1149,3,11,bardzo,,O,
pl-1149,3,12,wielu,,O,
pl-1149,3,13,płaszczyznach,,O,
pl-1149,3,14,",",,O,
pl-1149,3,15,ponieważ,,O,
pl-1149,3,16,Wielka,Wielka,B-LOC,GPE-Great-Britain
pl-1149,3,17,Brytania,Brytania,I-LOC,GPE-Great-Britain
pl-1149,3,18,przestanie,,O,
pl-1149,3,19,lub,,O,
pl-1149,3,20,będzie,,O,
pl-1149,3,21,w,,O,
pl-1149,3,22,ograniczonym,,O,
pl-1149,3,23,stopniu,,O,
pl-1149,3,24,korzystać,,O,
pl-1149,3,25,z,,O,
pl-1149,3,26,unijnych,,O,
pl-1149,3,27,swobód,,O,
pl-1149,3,28,przepływu,,O,
pl-1149,3,29,kapitału,,O,
pl-1149,3,30,",",,O,
pl-1149,3,31,towarów,,O,
pl-1149,3,32,czy,,O,
pl-1149,3,33,pracowników,,O,
pl-1149,3,34,.,,O,
pl-1149,4,1,Zmianie,,O,
pl-1149,4,2,ulegną,,O,
pl-1149,4,3,także,,O,
pl-1149,4,4,zabezpieczenia,,O,
pl-1149,4,5,socjalne,,O,
pl-1149,4,6,",",,O,
pl-1149,4,7,zasady,,O,
pl-1149,4,8,traktowania,,O,
pl-1149,4,9,pracowników,,O,
pl-1149,4,10,",",,O,
pl-1149,4,11,które,,O,
pl-1149,4,12,były,,O,
pl-1149,4,13,dotychczas,,O,
pl-1149,4,14,koordynowane,,O,
pl-1149,4,15,na,,O,
pl-1149,4,16,poziomie,,O,
pl-1149,4,17,wspólnotowym,,O,
pl-1149,4,18,.,,O,
pl-1149,5,1,Z,,O,
pl-1149,5,2,czasem,,O,
pl-1149,5,3,zmienić,,O,
pl-1149,5,4,się,,O,
pl-1149,5,5,mogą,,O,
pl-1149,5,6,także,,O,
pl-1149,5,7,normy,,O,
pl-1149,5,8,jakościowe,,O,
pl-1149,5,9,",",,O,
pl-1149,5,10,transportowe,,O,
pl-1149,5,11,czy,,O,
pl-1149,5,12,nawet,,O,
pl-1149,5,13,związane,,O,
pl-1149,5,14,z,,O,
pl-1149,5,15,ochroną,,O,
pl-1149,5,16,danych,,O,
pl-1149,5,17,osobowych,,O,
pl-1149,5,18,.,,O,
pl-1149,6,1,Inne,,O,
pl-1149,6,2,będą,,O,
pl-1149,6,3,też,,O,
pl-1149,6,4,regulacje,,O,
pl-1149,6,5,podatkowe,,O,
pl-1149,6,6,i,,O,
pl-1149,6,7,dotyczące,,O,
pl-1149,6,8,transferu,,O,
pl-1149,6,9,kapitału,,O,
pl-1149,6,10,",",,O,
pl-1149,6,11,inne,,O,
pl-1149,6,12,podejście,,O,
pl-1149,6,13,do,,O,
pl-1149,6,14,realizacji,,O,
pl-1149,6,15,umów,,O,
pl-1149,6,16,dwustronnych,,O,
pl-1149,6,17,z,,O,
pl-1149,6,18,krajami,,O,
pl-1149,6,19,trzecimi,,O,
pl-1149,6,20,.,,O,
pl-1149,7,1,Poniżej,,O,
pl-1149,7,2,dalsza,,O,
pl-1149,7,3,część,,O,
pl-1149,7,4,artykułu,,O,
pl-1149,7,5,.,,O,
pl-1149,8,1,Nadchodzi,,O,
pl-1149,8,2,rewolucja,,O,
pl-1149,8,3,na,,O,
pl-1149,8,4,bardzo,,O,
pl-1149,8,5,wielu,,O,
pl-1149,8,6,płaszczyznach,,O,
pl-1149,8,7,.,,O,
pl-1149,9,1,Przygotowany,,O,
pl-1149,9,2,przez,,O,
pl-1149,9,3,„,,O,
pl-1149,9,4,Rzeczpospolitą,Rzeczpospolita,B-PRO,PRO-Rzeczpospolita
pl-1149,9,5,"""",,O,
pl-1149,9,6,raport,,O,
pl-1149,9,7,analizuje,,O,
pl-1149,9,8,konsekwencje,,O,
pl-1149,9,9,brexitu,Brexit,B-EVT,EVT-Brexit
pl-1149,9,10,dla,,O,
pl-1149,9,11,polskich,,O,
pl-1149,9,12,przedsiębiorców,,O,
pl-1149,9,13,.,,O,
pl-1149,10,1,Wskazuje,,O,
pl-1149,10,2,na,,O,
pl-1149,10,3,największe,,O,
pl-1149,10,4,zagrożenia,,O,
pl-1149,10,5,z,,O,
pl-1149,10,6,tym,,O,
pl-1149,10,7,związane,,O,
pl-1149,10,8,i,,O,
pl-1149,10,9,radzi,,O,
pl-1149,10,10,",",,O,
pl-1149,10,11,jak,,O,
pl-1149,10,12,się,,O,
pl-1149,10,13,do,,O,
pl-1149,10,14,nich,,O,
pl-1149,10,15,przygotować,,O,
pl-1149,10,16,.,,O,
