bg-1508
The Telegraph	The Telegraph	PRO	PRO-The-Telegraph
Доналд Туск	Доналд Туск	PER	PER-Donald-Tusk
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Брекзит	Брекзит	EVT	EVT-Brexit
Лондон	Лондон	LOC	GPE-London
Европейския съвет	Европейски съвет	ORG	ORG-European-Council
Доналд Труск	Доналд Туск	PER	PER-Donald-Tusk
Туск	Туск	PER	PER-Donald-Tusk
Мей	Мей	PER	PER-Theresa-May
Великобритания	Великобритания	LOC	GPE-Great-Britain
ЕС	ЕС	ORG	ORG-European-Union
Брюксел	Брюксел	LOC	GPE-Brussles
Цанко Цолов	Цанко Цолов	PER	PER-Tsanko-Tsolov
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
