bg-257
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
БНР	БНР	ORG	ORG-Bulgarian-National-Radio
ЕС	ЕС	ORG	ORG-European-Union
BuzzFeed News	BuzzFeed News	PRO	PRO-Buzzfeed-website
MarketWatch	MarketWatch	ORG	ORG-MarketWatch
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Европейската икономическа зона	Европейска икономическа зона	ORG	ORG-European-Economic-Area
Световната търговска организация	Световна търговска организация	ORG	ORG-WTO-World-Trade-Organization
СТО	СТО	ORG	ORG-WTO-World-Trade-Organization
САЩ	САЩ	LOC	GPE-USA
Buzzfeed News	Buzzfeed News	PRO	PRO-Buzzfeed-website
