bg-490
Гардиън	Гардиън	PRO	PRO-The-Guardian
ЕС	ЕС	ORG	ORG-European-Union
Северна Ирландия	Северна Ирландия	LOC	GPE-Northern-Ireland
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Брюксел	Брюксел	LOC	GPE-Brussles
Република Ирландия	Република Ирландия	LOC	GPE-Ireland
Добрия петък	Добрия петък	EVT	EVT-Good-Friday
Консервативна партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
Демократичната юнионистка партия	Демократична юнионистка партия	ORG	ORG-Democratic-Unionist-Party
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Камарата на общините	Камара на общините	ORG	ORG-House-of-Commons
Европейската комисия	Европейска комисия	ORG	ORG-European-Commission
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
