bg-938
The Daily Express	The Daily Express	PRO	PRO-The-Daily-Express
ЕС	ЕС	ORG	ORG-European-Union
Лондон	Лондон	LOC	GPE-London
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Брекзит	Брекзит	EVT	EVT-Brexit
Рибари за излизане	Рибари за излизане	ORG	ORG-Fishing-for-leave
Великобритания	Великобритания	LOC	GPE-Great-Britain
Нюкасъл	Нюкасъл	LOC	GPE-Newcastle
Хейстингс	Хейстингс	PER	PER-Alan-Hastings
Плимут	Плимут	LOC	LOC-Plymouth
Кент	Кент	LOC	GPE-Kent
Уайстейбъл	Уайтстейбъл	LOC	GPE-Whitstable
Найджъл Фараж	Найджъл Фараж	PER	PER-Nigel-Farage
Алън Хейстингс	Алън Хейстингс	PER	PER-Alan-Hastings
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Партията за независимост на Обединеното кралство	Партия за независимост на Обединеното кралство	ORG	ORG-UK-Independence-Party
ЮКИП	ЮКИП	ORG	ORG-UK-Independence-Party
Тереза Мей	Тереза Мей	PER	PER-Theresa-May
Иван Христов	Иван Христов	PER	PER-Ivan-Hristov
Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
