pl-19
AFP	AFP	ORG	ORG-AFP-Agence-France-Press
Asia Bibi	Asia Bibi	PER	PER-Asia-Bibi
Asię Bibi	Asia Bibi	PER	PER-Asia-Bibi
Bibi	Bibi	PER	PER-Asia-Bibi
Francja	Francja	LOC	GPE-France
Holandii	Holandia	LOC	GPE-Holland
Jean-Yves Le Drian	Jean-Yves Le Drian	PER	PER-Jean-Yves-Le-Drian
Lahaur	Lahaur	LOC	GPE-Lahore
Pakistan	Pakistan	LOC	GPE-Pakistan
Pakistanie	Pakistan	LOC	GPE-Pakistan
Pakistanu	Pakistan	LOC	GPE-Pakistan
Saif ul-Malook	Saif ul-Malook	PER	PER-Saif-Ul-Malook
Saqib Nisar	Saqib Nisar	PER	PER-Mian-Saqib-Nisar
Wielkiej Brytanii	Wielka Brytania	LOC	GPE-Great-Britain
ul-Malook	ul-Malook	PER	PER-Saif-Ul-Malook
