docId,sentenceId,tokenId,text,lemma,ner,clID
bg-13,0,1,Оправдаха,,O,
bg-13,0,2,християнката,,O,
bg-13,0,3,Азия,Асия,B-PER,PER-Asia-Bibi
bg-13,0,4,Биби,Биби,I-PER,PER-Asia-Bibi
bg-13,0,5,",",,O,
bg-13,0,6,осъдена,,O,
bg-13,0,7,на,,O,
bg-13,0,8,смърт,,O,
bg-13,0,9,за,,O,
bg-13,0,10,богохулство,,O,
bg-13,0,11,в,,O,
bg-13,0,12,Пакистан,Пакистан,B-LOC,GPE-Pakistan
bg-13,1,1,Християнка,,O,
bg-13,1,2,",",,O,
bg-13,1,3,осъдена,,O,
bg-13,1,4,на,,O,
bg-13,1,5,смърт,,O,
bg-13,1,6,в,,O,
bg-13,1,7,Пакистан,Пакистан,B-LOC,GPE-Pakistan
bg-13,1,8,за,,O,
bg-13,1,9,богохулство,,O,
bg-13,1,10,",",,O,
bg-13,1,11,спечели,,O,
bg-13,1,12,обжалваното,,O,
bg-13,1,13,от,,O,
bg-13,1,14,нея,,O,
bg-13,1,15,дело,,O,
bg-13,1,16,и,,O,
bg-13,1,17,беше,,O,
bg-13,1,18,оправдана,,O,
bg-13,1,19,",",,O,
bg-13,1,20,предаде,,O,
bg-13,1,21,ВВС,ВВС,B-PRO,PRO-BBC
bg-13,1,22,.,,O,
bg-13,2,1,Азия,Асия,B-PER,PER-Asia-Bibi
bg-13,2,2,Биби,Биби,I-PER,PER-Asia-Bibi
bg-13,2,3,беше,,O,
bg-13,2,4,осъдена,,O,
bg-13,2,5,през,,O,
bg-13,2,6,2010,,O,
bg-13,2,7,година,,O,
bg-13,2,8,по,,O,
bg-13,2,9,обвинение,,O,
bg-13,2,10,",",,O,
bg-13,2,11,че,,O,
bg-13,2,12,е,,O,
bg-13,2,13,нанесла,,O,
bg-13,2,14,обида,,O,
bg-13,2,15,на,,O,
bg-13,2,16,пророка,,O,
bg-13,2,17,Мохамед,Мохамед,B-PER,PER-Prophet-Muhammad
bg-13,2,18,в,,O,
bg-13,2,19,спор,,O,
bg-13,2,20,със,,O,
bg-13,2,21,съседите,,O,
bg-13,2,22,си,,O,
bg-13,2,23,.,,O,
bg-13,3,1,Случаят,,O,
bg-13,3,2,на,,O,
bg-13,3,3,Азия,Асия,B-PER,PER-Asia-Bibi
bg-13,4,1,Биби,Биби,I-PER,PER-Asia-Bibi
bg-13,4,2,предизвика,,O,
bg-13,4,3,дълбоко,,O,
bg-13,4,4,разделение,,O,
bg-13,4,5,в,,O,
bg-13,4,6,Пакистан,Пакистан,B-LOC,GPE-Pakistan
bg-13,4,7,",",,O,
bg-13,4,8,където,,O,
bg-13,4,9,законите,,O,
bg-13,4,10,за,,O,
bg-13,4,11,богохулството,,O,
bg-13,4,12,имат,,O,
bg-13,4,13,силна,,O,
bg-13,4,14,подкрепа,,O,
bg-13,4,15,.,,O,
bg-13,5,1,В,,O,
bg-13,5,2,столицата,,O,
bg-13,5,3,Исламабад,Исламабад,B-LOC,GPE-Islamabad
bg-13,5,4,бяха,,O,
bg-13,5,5,засилени,,O,
bg-13,5,6,мерките,,O,
bg-13,5,7,за,,O,
bg-13,5,8,сигурност,,O,
bg-13,5,9,заради,,O,
bg-13,5,10,опасения,,O,
bg-13,5,11,от,,O,
bg-13,5,12,избухване,,O,
bg-13,5,13,на,,O,
bg-13,5,14,насилие,,O,
bg-13,5,15,",",,O,
bg-13,5,16,след,,O,
bg-13,5,17,като,,O,
bg-13,5,18,твърдолинейни,,O,
bg-13,5,19,духовници,,O,
bg-13,5,20,призоваха,,O,
bg-13,5,21,привържениците,,O,
bg-13,5,22,си,,O,
bg-13,5,23,да,,O,
bg-13,5,24,излязат,,O,
bg-13,5,25,по,,O,
bg-13,5,26,улиците,,O,
bg-13,5,27,.,,O,
bg-13,6,1,Според,,O,
bg-13,6,2,критиците,,O,
bg-13,6,3,строгите,,O,
bg-13,6,4,пакистански,,O,
bg-13,6,5,закони,,O,
bg-13,6,6,за,,O,
bg-13,6,7,богохулството,,O,
bg-13,6,8,често,,O,
bg-13,6,9,се,,O,
bg-13,6,10,използват,,O,
bg-13,6,11,за,,O,
bg-13,6,12,отмъщение,,O,
bg-13,6,13,след,,O,
bg-13,6,14,лични,,O,
bg-13,6,15,спорове,,O,
bg-13,6,16,и,,O,
bg-13,6,17,присъдите,,O,
