docId,sentenceId,tokenId,text,lemma,ner,clID
bg_3035,0,1,Пакистански,,O,
bg_3035,0,2,съд,,O,
bg_3035,0,3,отмени,,O,
bg_3035,0,4,смъртната,,O,
bg_3035,0,5,присъда,,O,
bg_3035,0,6,на,,O,
bg_3035,0,7,християнка,,O,
bg_3035,0,8,",",,O,
bg_3035,0,9,обвинена,,O,
bg_3035,0,10,в,,O,
bg_3035,0,11,богохулство,,O,
bg_3035,1,1,Върховният,Върховен,B-ORG,ORG-Supreme-Court-of-Pakistan
bg_3035,1,2,съд,съд,I-ORG,ORG-Supreme-Court-of-Pakistan
bg_3035,1,3,на,на,I-ORG,ORG-Supreme-Court-of-Pakistan
bg_3035,1,4,Пакистан,Пакистан,I-ORG,ORG-Supreme-Court-of-Pakistan
bg_3035,1,5,отмени,,O,
bg_3035,1,6,смъртна,,O,
bg_3035,1,7,присъда,,O,
bg_3035,1,8,",",,O,
bg_3035,1,9,наложена,,O,
bg_3035,1,10,на,,O,
bg_3035,1,11,християнката,,O,
bg_3035,1,12,Ася,Ася,B-PER,PER-Asia-Bibi
bg_3035,1,13,Биби,Биби,I-PER,PER-Asia-Bibi
bg_3035,1,14,",",,O,
bg_3035,1,15,осъдена,,O,
bg_3035,1,16,за,,O,
bg_3035,1,17,богохулство,,O,
bg_3035,1,18,през,,O,
bg_3035,1,19,2010,,O,
bg_3035,1,20,г.,,O,
bg_3035,1,21,",",,O,
bg_3035,1,22,пише,,O,
bg_3035,1,23,"""",,O,
bg_3035,1,24,Гардиън,Гардиън,B-PRO,PRO-The-Guardian
bg_3035,1,25,"""",,O,
bg_3035,1,26,.,,O,
bg_3035,2,1,Изданието,,O,
bg_3035,2,2,отбелязва,,O,
bg_3035,2,3,",",,O,
bg_3035,2,4,че,,O,
bg_3035,2,5,важното,,O,
bg_3035,2,6,решение,,O,
bg_3035,2,7,е,,O,
bg_3035,2,8,взето,,O,
bg_3035,2,9,след,,O,
bg_3035,2,10,голямо,,O,
bg_3035,2,11,забавяне,,O,
bg_3035,2,12,.,,O,
bg_3035,3,1,Съдът,,O,
bg_3035,3,2,е,,O,
bg_3035,3,3,приветстван,,O,
bg_3035,3,4,за,,O,
bg_3035,3,5,смелостта,,O,
bg_3035,3,6,на,,O,
bg_3035,3,7,фона,,O,
bg_3035,3,8,на,,O,
bg_3035,3,9,заплахи,,O,
bg_3035,3,10,за,,O,
bg_3035,3,11,насилие,,O,
bg_3035,3,12,и,,O,
bg_3035,3,13,протести,,O,
bg_3035,3,14,от,,O,
bg_3035,3,15,ислямски,,O,
bg_3035,3,16,организации,,O,
bg_3035,3,17,.,,O,
bg_3035,4,1,Върховният,,O,
bg_3035,4,2,съд,,O,
bg_3035,4,3,",",,O,
bg_3035,4,4,който,,O,
bg_3035,4,5,е,,O,
bg_3035,4,6,от,,O,
bg_3035,4,7,трима,,O,
bg_3035,4,8,върховни,,O,
bg_3035,4,9,съдии,,O,
bg_3035,4,10,с,,O,
bg_3035,4,11,председател,,O,
bg_3035,4,12,Сакиб,Сакиб,B-PER,PER-Mian-Saqib-Nisar
bg_3035,4,13,Нисар,Нисар,I-PER,PER-Mian-Saqib-Nisar
bg_3035,4,14,",",,O,
bg_3035,4,15,съобщи,,O,
bg_3035,4,16,решението,,O,
bg_3035,4,17,в,,O,
bg_3035,4,18,Исламабад,Исламабад,B-LOC,GPE-Islamabad
bg_3035,4,19,тази,,O,
bg_3035,4,20,сутрин,,O,
bg_3035,4,21,-,,O,
bg_3035,4,22,три,,O,
bg_3035,4,23,седмици,,O,
bg_3035,4,24,след,,O,
bg_3035,4,25,достигане,,O,
bg_3035,4,26,до,,O,
bg_3035,4,27,решение,,O,
bg_3035,4,28,.,,O,
bg_3035,5,1,Забавянето,,O,
bg_3035,5,2,беше,,O,
bg_3035,5,3,последвано,,O,
bg_3035,5,4,от,,O,
bg_3035,5,5,заплахи,,O,
bg_3035,5,6,да,,O,
bg_3035,5,7,се,,O,
bg_3035,5,8,организират,,O,
bg_3035,5,9,големи,,O,
bg_3035,5,10,протести,,O,
bg_3035,5,11,и,,O,
bg_3035,5,12,да,,O,
bg_3035,5,13,се,,O,
bg_3035,5,14,убият,,O,
bg_3035,5,15,съдиите,,O,
bg_3035,5,16,",",,O,
bg_3035,5,17,ако,,O,
bg_3035,5,18,не,,O,
bg_3035,5,19,потвърдят,,O,
bg_3035,5,20,смъртната,,O,
bg_3035,5,21,присъда,,O,
bg_3035,5,22,.,,O,
bg_3035,6,1,47-годишната,,O,
bg_3035,6,2,фермерка,,O,
bg_3035,6,3,",",,O,
bg_3035,6,4,майка,,O,
bg_3035,6,5,на,,O,
bg_3035,6,6,четири,,O,
bg_3035,6,7,деца,,O,
bg_3035,6,8,",",,O,
bg_3035,6,9,беше,,O,
bg_3035,6,10,осъдена,,O,
bg_3035,6,11,на,,O,
bg_3035,6,12,обесване,,O,
bg_3035,6,13,за,,O,
bg_3035,6,14,богохулство,,O,
bg_3035,6,15,през,,O,
bg_3035,6,16,2010,,O,
bg_3035,6,17,г.,,O,
bg_3035,7,1,Тя,,O,
bg_3035,7,2,вбеси,,O,
bg_3035,7,3,мюсюлмански,,O,
bg_3035,7,4,фермери,,O,
bg_3035,7,5,",",,O,
bg_3035,7,6,след,,O,
bg_3035,7,7,като,,O,
bg_3035,7,8,нейните,,O,
bg_3035,7,9,съседи,,O,
bg_3035,7,10,й,,O,
bg_3035,7,11,направили,,O,
bg_3035,7,12,забележка,,O,
bg_3035,7,13,да,,O,
bg_3035,7,14,не,,O,
bg_3035,7,15,пие,,O,
bg_3035,7,16,вода,,O,
bg_3035,7,17,от,,O,
bg_3035,7,18,тяхна,,O,
bg_3035,7,19,чаша,,O,
bg_3035,7,20,",",,O,
bg_3035,7,21,защото,,O,
bg_3035,7,22,не,,O,
bg_3035,7,23,е,,O,
bg_3035,7,24,мюсюлманка,,O,
bg_3035,7,25,.,,O,
bg_3035,8,1,Когато,,O,
bg_3035,8,2,те,,O,
bg_3035,8,3,поискали,,O,
bg_3035,8,4,да,,O,
bg_3035,8,5,приеме,,O,
bg_3035,8,6,исляма,,O,
bg_3035,8,7,",",,O,
bg_3035,8,8,тя,,O,
bg_3035,8,9,отказала,,O,
bg_3035,8,10,",",,O,
bg_3035,8,11,след,,O,
bg_3035,8,12,което,,O,
bg_3035,8,13,тя,,O,
bg_3035,8,14,била,,O,
bg_3035,8,15,обвинена,,O,
bg_3035,8,16,от,,O,
bg_3035,8,17,хора,,O,
bg_3035,8,18,",",,O,
bg_3035,8,19,че,,O,
bg_3035,8,20,е,,O,
bg_3035,8,21,обидила,,O,
bg_3035,8,22,пророка,,O,
bg_3035,8,23,Мохамед,Мохамед,B-PER,PER-Prophet-Muhammad
bg_3035,8,24,.,,O,
bg_3035,9,1,Ася,Ася,B-PER,PER-Asia-Bibi
bg_3035,9,2,Биби,Биби,I-PER,PER-Asia-Bibi
bg_3035,9,3,ще,,O,
bg_3035,9,4,бъде,,O,
bg_3035,9,5,освободена,,O,
bg_3035,9,6,.,,O,
bg_3035,10,1,Съдиите,,O,
bg_3035,10,2,подчертаха,,O,
bg_3035,10,3,",",,O,
bg_3035,10,4,че,,O,
bg_3035,10,5,няма,,O,
bg_3035,10,6,солидни,,O,
bg_3035,10,7,доказателства,,O,
bg_3035,10,8,за,,O,
bg_3035,10,9,извършено,,O,
bg_3035,10,10,престъпление,,O,
bg_3035,10,11,.,,O,
bg_3035,11,1,Тримата,,O,
bg_3035,11,2,свидетели,,O,
bg_3035,11,3,",",,O,
bg_3035,11,4,дали,,O,
bg_3035,11,5,показания,,O,
bg_3035,11,6,срещу,,O,
bg_3035,11,7,нея,,O,
bg_3035,11,8,",",,O,
bg_3035,11,9,представили,,O,
bg_3035,11,10,противоречиви,,O,
bg_3035,11,11,истории,,O,
bg_3035,11,12,.,,O,
bg_3035,12,1,Съдебното,,O,
bg_3035,12,2,решение,,O,
bg_3035,12,3,предизвика,,O,
bg_3035,12,4,протести,,O,
bg_3035,12,5,на,,O,
bg_3035,12,6,недоволни,,O,
bg_3035,12,7,мюсюлмани,,O,
bg_3035,12,8,.,,O,
