docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-62,0,1,GLOSA,,glosa,NNFS1-----A----,NOUN,O,
cs-62,0,2,:,,:,Z:-------------,PUNCT,O,
cs-62,0,3,Podnět,,podnět,NNIS1-----A----,NOUN,O,
cs-62,0,4,pro,,pro,RR--4----------,ADP,O,
cs-62,0,5,vládu,,vláda,NNFS4-----A----,NOUN,O,
cs-62,1,1,Slovo,,slovo,NNNS1-----A----,NOUN,O,
cs-62,1,2,solidarita,,solidarita,NNFS1-----A----,NOUN,O,
cs-62,1,3,se,,se,P7-X4----------,PRON,O,
cs-62,1,4,v,,v,RR--6----------,ADP,O,
cs-62,1,5,souvislosti,,souvislost,NNFS6-----A----,NOUN,O,
cs-62,1,6,s,,s,RR--7----------,ADP,O,
cs-62,1,7,naší,,můj,PSFS7-P1-------,DET,O,
cs-62,1,8,zemí,,země,NNFS7-----A----,NOUN,O,
cs-62,1,9,skloňuje,,skloňovat,VB-S---3P-AA---,VERB,O,
cs-62,1,10,v,,v,RR--6----------,ADP,O,
cs-62,1,11,sedmi,,sedm,Cn-P6----------,NUM,O,
cs-62,1,12,pádech,,pád,NNIP6-----A----,NOUN,O,
cs-62,1,13,.,,.,Z:-------------,PUNCT,O,
cs-62,2,1,Že,,že,"J,-------------",SCONJ,O,
cs-62,2,2,prý,,prý,TT-------------,PART,O,
cs-62,2,3,jsme,,být,VB-P---1P-AA---,AUX,O,
cs-62,2,4,solidární,,solidární,AAMP1----1A----,ADJ,O,
cs-62,2,5,málo,,málo,Ca--4----------,DET,O,
cs-62,2,6,nebo,,nebo,J^-------------,CCONJ,O,
cs-62,2,7,dokonce,,dokonce,Db-------------,ADV,O,
cs-62,2,8,vůbec,,vůbec,Db-------------,ADV,O,
cs-62,2,9,ne,,ne,TT-------------,PART,O,
cs-62,2,10,",",,",",Z:-------------,PUNCT,O,
cs-62,2,11,a,,a,J^-------------,CCONJ,O,
cs-62,2,12,jiní,,jiný,AAMP1----1A----,ADJ,O,
cs-62,2,13,zase,,zase,Db-------------,ADV,O,
cs-62,2,14,",",,",",Z:-------------,PUNCT,O,
cs-62,2,15,že,,že,"J,-------------",SCONJ,O,
cs-62,2,16,dost,,dost,Dg-------1A----,ADV,O,
cs-62,2,17,a,,a,J^-------------,CCONJ,O,
cs-62,2,18,možná,,možná,Db-------------,ADV,O,
cs-62,2,19,až,,až,TT-------------,PART,O,
cs-62,2,20,moc,,moc,NNFS1-----A----,NOUN,O,
cs-62,2,21,.,,.,Z:-------------,PUNCT,O,
cs-62,3,1,Že,,že,"J,-------------",SCONJ,O,
cs-62,3,2,máme,,mít,VB-P---1P-AA---,VERB,O,
cs-62,3,3,být,,být,Vf--------A----,AUX,O,
cs-62,3,4,solidární,,solidární,AAMP1----1A----,ADJ,O,
cs-62,3,5,doma,,doma,Db-------------,ADV,O,
cs-62,3,6,anebo,,anebo,J^-------------,CCONJ,O,
cs-62,3,7,venku,,venku,Db-------------,ADV,O,
cs-62,3,8,.,,.,Z:-------------,PUNCT,O,
cs-62,4,1,Paní,,paní,NNFS1-----A----,NOUN,O,
cs-62,4,2,europoslankyně,,europoslankyně,NNFS1-----A----,NOUN,O,
cs-62,4,3,Michaela,Michaela,Michaela,NNFS1-----A----,PROPN,B-PER,PER-Michaela-Sojdrova
cs-62,4,4,Šojdrová,Šojdrová,Šojdrová,NNFS1-----A----,PROPN,I-PER,PER-Michaela-Sojdrova
cs-62,4,5,pátrá,,pátrat,VB-S---3P-AA---,VERB,O,
cs-62,4,6,kdesi,,kdesi,Db-------------,ADV,O,
cs-62,4,7,v,,v,RR--6----------,ADP,O,
cs-62,4,8,uprchlickém,,uprchlický,AAIS6----1A----,ADJ,O,
cs-62,4,9,prostoru,,prostor,NNIS6-----A----,NOUN,O,
cs-62,4,10,po,,po,RR--6----------,ADP,O,
cs-62,4,11,sirotcích,,sirotek,NNIP6-----A----,NOUN,O,
cs-62,4,12,a,,a,J^-------------,CCONJ,O,
cs-62,4,13,vede,,vést,VB-S---3P-AA---,VERB,O,
cs-62,4,14,se,,se,P7-X4----------,PRON,O,
cs-62,4,15,debata,,debata,NNFS1-----A----,NOUN,O,
cs-62,4,16,",",,",",Z:-------------,PUNCT,O,
cs-62,4,17,zdali,,zdali,"J,-------------",SCONJ,O,
cs-62,4,18,přijmout,,přijmout,Vf--------A----,VERB,O,
cs-62,4,19,nebo,,nebo,J^-------------,CCONJ,O,
cs-62,4,20,ne,,ne,TT-------------,PART,O,
cs-62,4,21,",",,",",Z:-------------,PUNCT,O,
cs-62,4,22,pokud,,pokud,"J,-------------",SCONJ,O,
cs-62,4,23,budou,,být,VB-P---3F-AA---,AUX,O,
cs-62,4,24,nalezeni,,nalezený,VsMP---XX-AP---,ADJ,O,
cs-62,4,25,.,,.,Z:-------------,PUNCT,O,
cs-62,5,1,Bude,,být,VB-S---3F-AA---,AUX,O,
cs-62,5,2,následovat,,následovat,Vf--------A----,VERB,O,
cs-62,5,3,solidarizační,,solidarizační,AAFS1----1A----,ADJ,O,
cs-62,5,4,debata,,debata,NNFS1-----A----,NOUN,O,
cs-62,5,5,o,,o,RR--6----------,ADP,O,
cs-62,5,6,míře,,míra,NNFS6-----A----,NOUN,O,
cs-62,5,7,jejich,,jeho,PSXXXXP3-------,DET,O,
cs-62,5,8,sirotství,,sirotství,NNNS2-----A----,NOUN,O,
cs-62,5,9,a,,a,J^-------------,CCONJ,O,
cs-62,5,10,bude,,být,VB-S---3F-AA---,AUX,O,
cs-62,5,11,se,,se,P7-X4----------,PRON,O,
