docId,sentenceId,tokenId,text,lemma,ner,clID
cs-2019-7,0,1,Nejvyšší,,O,
cs-2019-7,0,2,soud,,O,
cs-2019-7,0,3,Pákistánu,Pákistán,B-LOC,GPE-Pakistan
cs-2019-7,0,4,potvrdil,,O,
cs-2019-7,0,5,osvobození,,O,
cs-2019-7,0,6,křesťanky,,O,
cs-2019-7,0,7,",",,O,
cs-2019-7,0,8,která,,O,
cs-2019-7,0,9,měla,,O,
cs-2019-7,0,10,urazit,,O,
cs-2019-7,0,11,proroka,,O,
cs-2019-7,1,1,Asia,Asia,B-PER,PER-Asia-Bibi
cs-2019-7,1,2,Bibiová,Bibiová,I-PER,PER-Asia-Bibi
cs-2019-7,1,3,byla,,O,
cs-2019-7,1,4,zatčena,,O,
cs-2019-7,1,5,v,,O,
cs-2019-7,1,6,roce,,O,
cs-2019-7,1,7,2009,,O,
cs-2019-7,1,8,po,,O,
cs-2019-7,1,9,hádce,,O,
cs-2019-7,1,10,s,,O,
cs-2019-7,1,11,muslimskými,,O,
cs-2019-7,1,12,ženami,,O,
cs-2019-7,1,13,",",,O,
cs-2019-7,1,14,které,,O,
cs-2019-7,1,15,následně,,O,
cs-2019-7,1,16,tvrdily,,O,
cs-2019-7,1,17,",",,O,
cs-2019-7,1,18,že,,O,
cs-2019-7,1,19,urazila,,O,
cs-2019-7,1,20,proroka,,O,
cs-2019-7,1,21,.,,O,
cs-2019-7,2,1,O,,O,
cs-2019-7,2,2,rok,,O,
cs-2019-7,2,3,později,,O,
cs-2019-7,2,4,ji,,O,
cs-2019-7,2,5,soud,,O,
cs-2019-7,2,6,uznal,,O,
cs-2019-7,2,7,vinnou,,O,
cs-2019-7,2,8,a,,O,
cs-2019-7,2,9,vzhledem,,O,
cs-2019-7,2,10,k,,O,
cs-2019-7,2,11,tomu,,O,
cs-2019-7,2,12,",",,O,
cs-2019-7,2,13,že,,O,
cs-2019-7,2,14,v,,O,
cs-2019-7,2,15,Pákistánu,Pákistán,B-LOC,GPE-Pakistan
cs-2019-7,2,16,se,,O,
cs-2019-7,2,17,urážka,,O,
cs-2019-7,2,18,islámu,,O,
cs-2019-7,2,19,trestá,,O,
cs-2019-7,2,20,smrtí,,O,
cs-2019-7,2,21,",",,O,
cs-2019-7,2,22,ji,,O,
cs-2019-7,2,23,poslal,,O,
cs-2019-7,2,24,na,,O,
cs-2019-7,2,25,popraviště,,O,
cs-2019-7,2,26,.,,O,
cs-2019-7,3,1,Verdikt,,O,
cs-2019-7,3,2,ale,,O,
cs-2019-7,3,3,loni,,O,
cs-2019-7,3,4,v,,O,
cs-2019-7,3,5,říjnu,,O,
cs-2019-7,3,6,zvrátil,,O,
cs-2019-7,3,7,nejvyšší,,O,
cs-2019-7,3,8,soud,,O,
cs-2019-7,3,9,",",,O,
cs-2019-7,3,10,který,,O,
cs-2019-7,3,11,dospěl,,O,
cs-2019-7,3,12,k,,O,
cs-2019-7,3,13,závěru,,O,
cs-2019-7,3,14,",",,O,
cs-2019-7,3,15,že,,O,
cs-2019-7,3,16,žalobci,,O,
cs-2019-7,3,17,nebyli,,O,
cs-2019-7,3,18,schopní,,O,
cs-2019-7,3,19,dokázat,,O,
cs-2019-7,3,20,",",,O,
cs-2019-7,3,21,že,,O,
cs-2019-7,3,22,souzená,,O,
cs-2019-7,3,23,matka,,O,
cs-2019-7,3,24,čtyř,,O,
cs-2019-7,3,25,dětí,,O,
cs-2019-7,3,26,porušila,,O,
cs-2019-7,3,27,zákon,,O,
cs-2019-7,3,28,.,,O,
cs-2019-7,4,1,Sama,,O,
cs-2019-7,4,2,Bibiová,Bibiová,B-PER,PER-Asia-Bibi
cs-2019-7,4,3,odmítla,,O,
cs-2019-7,4,4,",",,O,
cs-2019-7,4,5,že,,O,
cs-2019-7,4,6,by,,O,
cs-2019-7,4,7,proroka,,O,
cs-2019-7,4,8,urazila,,O,
cs-2019-7,4,9,.,,O,
cs-2019-7,5,1,Od,,O,
cs-2019-7,5,2,svého,,O,
cs-2019-7,5,3,propuštění,,O,
cs-2019-7,5,4,z,,O,
cs-2019-7,5,5,vězení,,O,
cs-2019-7,5,6,se,,O,
cs-2019-7,5,7,skrývala,,O,
cs-2019-7,5,8,na,,O,
cs-2019-7,5,9,neznámém,,O,
cs-2019-7,5,10,místě,,O,
cs-2019-7,5,11,.,,O,
cs-2019-7,6,1,Značné,,O,
cs-2019-7,6,2,protesty,,O,
cs-2019-7,6,3,",",,O,
cs-2019-7,6,4,které,,O,
cs-2019-7,6,5,její,,O,
cs-2019-7,6,6,osvobození,,O,
cs-2019-7,6,7,v,,O,
cs-2019-7,6,8,zemi,,O,
cs-2019-7,6,9,vyvolalo,,O,
cs-2019-7,6,10,",",,O,
cs-2019-7,6,11,se,,O,
cs-2019-7,6,12,úřadům,,O,
cs-2019-7,6,13,podařilo,,O,
cs-2019-7,6,14,zmírnit,,O,
cs-2019-7,6,15,poté,,O,
cs-2019-7,6,16,",",,O,
cs-2019-7,6,17,co,,O,
cs-2019-7,6,18,slíbily,,O,
cs-2019-7,6,19,",",,O,
cs-2019-7,6,20,že,,O,
cs-2019-7,6,21,Bibiové,Bibiová,B-PER,PER-Asia-Bibi
cs-2019-7,6,22,nedovolí,,O,
cs-2019-7,6,23,do,,O,
cs-2019-7,6,24,zahraničí,,O,
cs-2019-7,6,25,odcestovat,,O,
cs-2019-7,6,26,.,,O,
cs-2019-7,7,1,Asia,Asia,B-PER,PER-Asia-Bibi
cs-2019-7,7,2,Bibiová,Bibiová,I-PER,PER-Asia-Bibi
cs-2019-7,7,3,.,,O,
cs-2019-7,8,1,FOTO,,O,
cs-2019-7,8,2,:,,O,
cs-2019-7,8,3,Uncredited,,O,
cs-2019-7,8,4,",",,O,
cs-2019-7,8,5,ČTK,ČTK,B-ORG,ORG-CTK
cs-2019-7,8,6,/,,O,
cs-2019-7,8,7,AP,AP,B-ORG,ORG-AP-The-Associated-Press
cs-2019-7,9,1,Případ,,O,
cs-2019-7,9,2,vyvolal,,O,
cs-2019-7,9,3,velké,,O,
cs-2019-7,9,4,emoce,,O,
cs-2019-7,9,5,v,,O,
cs-2019-7,9,6,Pákistánu,Pákistán,B-LOC,GPE-Pakistan
cs-2019-7,9,7,i,,O,
cs-2019-7,9,8,v,,O,
cs-2019-7,9,9,zahraničí,,O,
cs-2019-7,9,10,.,,O,
cs-2019-7,10,1,Rozsudek,,O,
cs-2019-7,10,2,v,,O,
cs-2019-7,10,3,celém,,O,
cs-2019-7,10,4,světě,,O,
cs-2019-7,10,5,pobouřil,,O,
cs-2019-7,10,6,křesťany,,O,
cs-2019-7,10,7,",",,O,
cs-2019-7,10,8,zatímco,,O,
cs-2019-7,10,9,v,,O,
cs-2019-7,10,10,Pákistánu,Pákistán,B-LOC,GPE-Pakistan
cs-2019-7,10,11,muslimští,,O,
cs-2019-7,10,12,fanatici,,O,
cs-2019-7,10,13,trvají,,O,
cs-2019-7,10,14,na,,O,
cs-2019-7,10,15,popravě,,O,
cs-2019-7,10,16,a,,O,
cs-2019-7,10,17,útočí,,O,
cs-2019-7,10,18,na,,O,
cs-2019-7,10,19,ty,,O,
cs-2019-7,10,20,",",,O,
cs-2019-7,10,21,kdo,,O,
cs-2019-7,10,22,se,,O,
cs-2019-7,10,23,Bibiové,Bibiová,B-PER,PER-Asia-Bibi
cs-2019-7,10,24,zastávají,,O,
cs-2019-7,10,25,.,,O,
cs-2019-7,11,1,Tak,,O,
cs-2019-7,11,2,byli,,O,
cs-2019-7,11,3,v,,O,
cs-2019-7,11,4,roce,,O,
cs-2019-7,11,5,2011,,O,
cs-2019-7,11,6,zavražděni,,O,
cs-2019-7,11,7,pákistánský,,O,
cs-2019-7,11,8,ministr,,O,
cs-2019-7,11,9,pro,,O,
cs-2019-7,11,10,menšiny,,O,
cs-2019-7,11,11,a,,O,
cs-2019-7,11,12,guvernér,,O,
cs-2019-7,11,13,provincie,,O,
cs-2019-7,11,14,Paňdžáb,Paňdžáb,B-LOC,GPE-Punjab
cs-2019-7,11,15,.,,O,
cs-2019-7,12,1,Islamistická,,O,
cs-2019-7,12,2,strana,,O,
cs-2019-7,12,3,Tehríke,Tehríke,B-ORG,ORG-Tehreek-e-Labbaik-Pakistan
cs-2019-7,12,4,Labajk,Labajk,I-ORG,ORG-Tehreek-e-Labbaik-Pakistan
cs-2019-7,12,5,(,,O,
cs-2019-7,12,6,TLP,TLP,B-ORG,ORG-Tehreek-e-Labbaik-Pakistan
cs-2019-7,12,7,),,O,
cs-2019-7,12,8,dokonce,,O,
cs-2019-7,12,9,žádala,,O,
cs-2019-7,12,10,smrt,,O,
cs-2019-7,12,11,předsedy,,O,
cs-2019-7,12,12,nejvyššího,,O,
cs-2019-7,12,13,soudu,,O,
cs-2019-7,12,14,a,,O,
cs-2019-7,12,15,dalších,,O,
cs-2019-7,12,16,dvou,,O,
cs-2019-7,12,17,soudců,,O,
cs-2019-7,12,18,",",,O,
cs-2019-7,12,19,kteří,,O,
cs-2019-7,12,20,trest,,O,
cs-2019-7,12,21,smrti,,O,
cs-2019-7,12,22,zvrátili,,O,
cs-2019-7,12,23,.,,O,
cs-2019-7,13,1,Úřadující,,O,
cs-2019-7,13,2,šéf,,O,
cs-2019-7,13,3,strany,,O,
cs-2019-7,13,4,Šafík,Šafík,B-PER,PER-Mohammad-Shafiq-Amini
cs-2019-7,13,5,Amíní,Amíní,I-PER,PER-Mohammad-Shafiq-Amini
cs-2019-7,13,6,soud,,O,
cs-2019-7,13,7,před,,O,
cs-2019-7,13,8,vynesením,,O,
cs-2019-7,13,9,verdiktu,,O,
cs-2019-7,13,10,znovu,,O,
cs-2019-7,13,11,varoval,,O,
cs-2019-7,13,12,před,,O,
cs-2019-7,13,13,výrokem,,O,
cs-2019-7,13,14,ve,,O,
cs-2019-7,13,15,prospěch,,O,
cs-2019-7,13,16,Bibiové,Bibiová,B-PER,PER-Asia-Bibi
cs-2019-7,13,17,.,,O,
