docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-102,0,1,Terlikowski,Terlikowski,Terlikowski,subst:sg:nom:m1,PROPN,B-PER,PER-Tomasz-Terlikowski
pl-102,0,2,:,,:,interp,PUNCT,O,
pl-102,0,3,Pamiętajmy,,pamiętać,impt:pl:pri:imperf,VERB,O,
pl-102,0,4,o,,o,prep:loc,ADP,O,
pl-102,0,5,męczennikach,,męczennik,subst:pl:loc:m1,NOUN,O,
pl-102,1,1,Asia,Asia,Asia,subst:sg:nom:f,PROPN,B-PER,PER-Asia-Bibi
pl-102,1,2,Bibi,Bibi,Bibi,subst:sg:nom:f,PROPN,I-PER,PER-Asia-Bibi
pl-102,1,3,dziewiąte,,dziewiąty,adj:sg:acc:n:pos,ADJ,O,
pl-102,1,4,święta,,święto,subst:pl:acc:n:ncol,NOUN,O,
pl-102,1,5,Bożego,Boże,boży,adj:sg:gen:n:pos,ADJ,B-EVT,EVT-Christmas
pl-102,1,6,Narodzenia,Narodzenie,narodzenie,subst:sg:gen:n:ncol,NOUN,I-EVT,EVT-Christmas
pl-102,1,7,spędziła,,spędzić,praet:sg:f:perf,VERB,O,
pl-102,1,8,w,,w,prep:loc:nwok,ADP,O,
pl-102,1,9,celi,,cela,subst:sg:loc:f,NOUN,O,
pl-102,1,10,śmierci,,śmierć,subst:sg:gen:f,NOUN,O,
pl-102,1,11,.,,.,interp,PUNCT,O,
pl-102,2,1,Jej,,on,ppron3:sg:gen:f:ter:akc:npraep,PRON,O,
pl-102,2,2,mąż,,mąż,subst:sg:nom:m1,NOUN,O,
pl-102,2,3,i,,i,conj,CCONJ,O,
pl-102,2,4,piątka,,piątka,subst:sg:nom:f,NOUN,O,
pl-102,2,5,dzieci,,dziecko,subst:pl:gen:n:col,NOUN,O,
pl-102,2,6,byli,,być,praet:pl:m1:imperf,VERB,O,
pl-102,2,7,w,,w,prep:loc:nwok,ADP,O,
pl-102,2,8,domu,,dom,subst:sg:loc:m3,NOUN,O,
pl-102,2,9,",",,",",interp,PUNCT,O,
pl-102,2,10,ale,,ale,conj,CCONJ,O,
pl-102,2,11,tuż,,tuż,part,PART,O,
pl-102,2,12,przed,,przed,prep:inst:nwok,ADP,O,
pl-102,2,13,świętami,,święto,subst:pl:inst:n:pt,NOUN,O,
pl-102,2,14,pozwolono,,pozwolić,imps:perf,VERB,O,
pl-102,2,15,jej,,on,ppron3:sg:dat:f:ter:akc:npraep,PRON,O,
pl-102,2,16,spotkać,,spotkać,inf:perf,VERB,O,
pl-102,2,17,się,,się,part,PRON,O,
pl-102,2,18,z,,z,prep:inst:nwok,ADP,O,
pl-102,2,19,najbliższymi,,bliski,adj:pl:inst:m1:sup,ADJ,O,
pl-102,2,20,.,,.,interp,PUNCT,O,
pl-102,3,1,I,,i,conj,CCONJ,O,
pl-102,3,2,choć,,choć,comp,SCONJ,O,
pl-102,3,3,wielu,,wiele,num:pl:nom:m1:rec,DET,O,
pl-102,3,4,z,,z,prep:gen:nwok,ADP,O,
pl-102,3,5,nas,,my,ppron12:pl:gen:m1:pri,PRON,O,
pl-102,3,6,może,,móc,fin:sg:ter:imperf,VERB,O,
pl-102,3,7,się,,się,part,PRON,O,
pl-102,3,8,to,,to,subst:sg:nom:n:ncol,PRON,O,
pl-102,3,9,wydawać,,wydawać,inf:imperf,VERB,O,
pl-102,3,10,nieprawdopodobne,,nieprawdopodobny,adj:sg:acc:n:pos,ADJ,O,
pl-102,3,11,",",,",",interp,PUNCT,O,
pl-102,3,12,to,,to,comp,SCONJ,O,
pl-102,3,13,właśnie,,właśnie,part,PART,O,
pl-102,3,14,oni,,on,ppron3:pl:nom:m1:ter:akc:npraep,PRON,O,
pl-102,3,15,zapewniają,,zapewniać,fin:pl:ter:imperf,VERB,O,
pl-102,3,16,",",,",",interp,PUNCT,O,
pl-102,3,17,że,,że,comp,SCONJ,O,
pl-102,3,18,kobieta,,kobieta,subst:sg:nom:f,NOUN,O,
pl-102,3,19,była,,być,praet:sg:f:imperf,AUX,O,
pl-102,3,20,spokojna,,spokojny,adj:sg:nom:f:pos,ADJ,O,
pl-102,3,21,",",,",",interp,PUNCT,O,
pl-102,3,22,zachowała,,zachować,praet:sg:f:perf,VERB,O,
pl-102,3,23,wiarę,,wiara,subst:sg:acc:f,NOUN,O,
pl-102,3,24,i,,i,conj,CCONJ,O,
pl-102,3,25,pogodę,,pogoda,subst:sg:acc:f,NOUN,O,
pl-102,3,26,ducha,,duch,subst:sg:gen:m2,NOUN,O,
pl-102,3,27,.,,.,interp,PUNCT,O,
pl-102,4,1,To,,to,part,PART,O,
pl-102,4,2,ona,,on,ppron3:sg:nom:f:ter:akc:npraep,PRON,O,
pl-102,4,3,pocieszała,,pocieszać,praet:sg:f:imperf,VERB,O,
pl-102,4,4,swoje,,swój,adj:pl:acc:f:pos,DET,O,
pl-102,4,5,córki,,córka,subst:pl:acc:f,NOUN,O,
pl-102,4,6,",",,",",interp,PUNCT,O,
pl-102,4,7,ona,,on,ppron3:sg:nom:f:ter:akc:npraep,PRON,O,
pl-102,4,8,umacniała,,umacniać,praet:sg:f:imperf,VERB,O,
pl-102,4,9,ich,,on,ppron3:pl:gen:m1:ter:akc:npraep,PRON,O,
pl-102,4,10,wiarę,,wiara,subst:sg:acc:f,NOUN,O,
pl-102,4,11,",",,",",interp,PUNCT,O,
pl-102,4,12,ona,,on,ppron3:sg:nom:f:ter:akc:npraep,PRON,O,
pl-102,4,13,wreszcie,,wreszcie,part,PART,O,
pl-102,4,14,przekonywała,,przekonywać,praet:sg:f:imperf,VERB,O,
pl-102,4,15,je,,on,ppron3:pl:acc:f:ter:akc:npraep,PRON,O,
pl-102,4,16,",",,",",interp,PUNCT,O,
pl-102,4,17,że,,że,comp,SCONJ,O,
pl-102,4,18,jej,,on,ppron3:sg:gen:f:ter:akc:npraep,PRON,O,
pl-102,4,19,i,,i,conj,CCONJ,O,
pl-102,4,20,ich,,on,ppron3:pl:gen:m1:ter:akc:npraep,PRON,O,
pl-102,4,21,historia,,historia,subst:sg:nom:f,NOUN,O,
pl-102,4,22,została,,zostać,praet:sg:f:perf,AUX,O,
pl-102,4,23,wyznaczona,,wyznaczyć,ppas:sg:nom:f:perf:aff,ADJ,O,
pl-102,4,24,przez,,przez,prep:acc:nwok,ADP,O,
pl-102,4,25,Opatrzność,,opatrzność,subst:sg:acc:f,NOUN,O,
pl-102,4,26,i,,i,conj,CCONJ,O,
pl-102,4,27,jest,,być,fin:sg:ter:imperf,AUX,O,
pl-102,4,28,najlepszą,,dobry,adj:sg:inst:f:sup,ADJ,O,
pl-102,4,29,z,,z,prep:gen:nwok,ADP,O,
pl-102,4,30,możliwych,,możliwy,adj:pl:gen:f:pos,ADJ,O,
pl-102,4,31,.,,.,interp,PUNCT,O,
pl-102,5,1,Ta,,ten,adj:sg:nom:f:pos,DET,O,
pl-102,5,2,historia,,historia,subst:sg:nom:f,NOUN,O,
