docId,sentenceId,tokenId,text,lemma,ner,clID
ru-174,0,1,Пакистанские,Пакистан,B-LOC,GPE-Pakistan
ru-174,0,2,власти,,O,
ru-174,0,3,выпустили,,O,
ru-174,0,4,из,,O,
ru-174,0,5,тюрьмы,,O,
ru-174,0,6,оправданную,,O,
ru-174,0,7,по,,O,
ru-174,0,8,делу,,O,
ru-174,0,9,о,,O,
ru-174,0,10,богохульстве,,O,
ru-174,0,11,христианку,,O,
ru-174,1,1,Представитель,,O,
ru-174,1,2,министерства,министерство,B-ORG,ORG-Ministry-of-Foreign-Affairs-Pakistan
ru-174,1,3,иностранных,иностранных,I-ORG,ORG-Ministry-of-Foreign-Affairs-Pakistan
ru-174,1,4,дел,дел,I-ORG,ORG-Ministry-of-Foreign-Affairs-Pakistan
ru-174,1,5,Пакистана,Пакистана,I-ORG,ORG-Ministry-of-Foreign-Affairs-Pakistan
ru-174,1,6,опроверг,,O,
ru-174,1,7,информацию,,O,
ru-174,1,8,о,,O,
ru-174,1,9,том,,O,
ru-174,1,10,",",,O,
ru-174,1,11,что,,O,
ru-174,1,12,Биби,Биби,B-PER,PER-Asia-Bibi
ru-174,1,13,покинула,,O,
ru-174,1,14,страну,,O,
ru-174,1,15,.,,O,
ru-174,2,1,«,,O,
ru-174,2,2,Асия,Асия,B-PER,PER-Asia-Bibi
ru-174,2,3,Биби,Биби,I-PER,PER-Asia-Bibi
ru-174,2,4,находится,,O,
ru-174,2,5,в,,O,
ru-174,2,6,безопасном,,O,
ru-174,2,7,месте,,O,
ru-174,2,8,на,,O,
ru-174,2,9,территории,,O,
ru-174,2,10,Пакистана,Пакистан,B-LOC,GPE-Pakistan
ru-174,2,11,»,,O,
ru-174,2,12,",",,O,
ru-174,2,13,-,,O,
ru-174,2,14,сказал,,O,
ru-174,2,15,чиновник,,O,
ru-174,2,16,.,,O,
ru-174,3,1,Он,,O,
ru-174,3,2,также,,O,
ru-174,3,3,подчеркнул,,O,
ru-174,3,4,",",,O,
ru-174,3,5,что,,O,
ru-174,3,6,решение,,O,
ru-174,3,7,о,,O,
ru-174,3,8,том,,O,
ru-174,3,9,",",,O,
ru-174,3,10,можно,,O,
ru-174,3,11,ли,,O,
ru-174,3,12,женщине,,O,
ru-174,3,13,покинуть,,O,
ru-174,3,14,страну,,O,
ru-174,3,15,",",,O,
ru-174,3,16,будет,,O,
ru-174,3,17,принимать,,O,
ru-174,3,18,суд,,O,
ru-174,3,19,.,,O,
ru-174,4,1,Католическая,,O,
ru-174,4,2,организация,,O,
ru-174,4,3,«,,O,
ru-174,4,4,Помощь,Помощь,B-ORG,ORG-ACN-Aid-to-the-Church-in-Need
ru-174,4,5,Церкви,Церкви,I-ORG,ORG-ACN-Aid-to-the-Church-in-Need
ru-174,4,6,в,в,I-ORG,ORG-ACN-Aid-to-the-Church-in-Need
ru-174,4,7,нужде,нужде,I-ORG,ORG-ACN-Aid-to-the-Church-in-Need
ru-174,4,8,»,,O,
ru-174,4,9,",",,O,
ru-174,4,10,которая,,O,
ru-174,4,11,ранее,,O,
ru-174,4,12,помогла,,O,
ru-174,4,13,организовать,,O,
ru-174,4,14,встречу,,O,
ru-174,4,15,семьи,,O,
ru-174,4,16,Биби,Биби,B-PER,PER-Asia-Bibi
ru-174,4,17,с,,O,
ru-174,4,18,Папой,,O,
ru-174,4,19,Римским,,O,
ru-174,4,20,Франциском,Франциск,B-PER,PER-Pope-Francis
ru-174,4,21,в,,O,
ru-174,4,22,Ватикане,Ватикан,B-LOC,GPE-Vatican
ru-174,4,23,",",,O,
ru-174,4,24,сообщила,,O,
ru-174,4,25,",",,O,
ru-174,4,26,что,,O,
ru-174,4,27,Асия,Асия,B-PER,PER-Asia-Bibi
ru-174,4,28,уже,,O,
ru-174,4,29,смогла,,O,
ru-174,4,30,встретиться,,O,
ru-174,4,31,с,,O,
ru-174,4,32,мужем,,O,
ru-174,4,33,.,,O,
ru-174,5,1,До,,O,
ru-174,5,2,этого,,O,
ru-174,5,3,организация,,O,
ru-174,5,4,заявляла,,O,
ru-174,5,5,",",,O,
ru-174,5,6,что,,O,
ru-174,5,7,семья,,O,
ru-174,5,8,Биби,Биби,B-PER,PER-Asia-Bibi
ru-174,5,9,ждет,,O,
ru-174,5,10,визу,,O,
ru-174,5,11,для,,O,
ru-174,5,12,выезда,,O,
ru-174,5,13,из,,O,
ru-174,5,14,страны,,O,
ru-174,5,15,.,,O,
ru-174,6,1,Однако,,O,
ru-174,6,2,в,,O,
ru-174,6,3,какое,,O,
ru-174,6,4,государство,,O,
ru-174,6,5,они,,O,
ru-174,6,6,намерены,,O,
ru-174,6,7,поехать,,O,
ru-174,6,8,",",,O,
ru-174,6,9,не,,O,
ru-174,6,10,сообщалось,,O,
ru-174,6,11,.,,O,
ru-174,7,1,Между,,O,
ru-174,7,2,тем,,O,
ru-174,7,3,муж,,O,
ru-174,7,4,оправданной,,O,
ru-174,7,5,пакистанки,,O,
ru-174,7,6,несколько,,O,
ru-174,7,7,дней,,O,
ru-174,7,8,назад,,O,
ru-174,7,9,обратился,,O,
ru-174,7,10,к,,O,
ru-174,7,11,правительствам,,O,
ru-174,7,12,США,США,B-LOC,GPE-USA
ru-174,7,13,",",,O,
ru-174,7,14,Великобритании,Великобритания,B-LOC,GPE-Great-Britain
ru-174,7,15,и,,O,
ru-174,7,16,Канады,Канада,B-LOC,GPE-Canada
ru-174,7,17,с,,O,
ru-174,7,18,просьбой,,O,
ru-174,7,19,предоставить,,O,
ru-174,7,20,им,,O,
ru-174,7,21,убежище,,O,
ru-174,7,22,.,,O,
ru-174,8,1,Асия,Асия,B-PER,PER-Asia-Bibi
ru-174,8,2,Биби,Биби,I-PER,PER-Asia-Bibi
ru-174,8,3,была,,O,
ru-174,8,4,приговорена,,O,
ru-174,8,5,в,,O,
ru-174,8,6,2010,,O,
ru-174,8,7,году,,O,
ru-174,8,8,к,,O,
ru-174,8,9,смертной,,O,
ru-174,8,10,казни,,O,
ru-174,8,11,через,,O,
ru-174,8,12,повешение,,O,
ru-174,8,13,за,,O,
ru-174,8,14,богохульство,,O,
ru-174,8,15,и,,O,
ru-174,8,16,восемь,,O,
ru-174,8,17,лет,,O,
ru-174,8,18,ждала,,O,
ru-174,8,19,исполнения,,O,
ru-174,8,20,приговора,,O,
ru-174,8,21,в,,O,
ru-174,8,22,тюрьме,,O,
ru-174,8,23,.,,O,
ru-174,9,1,По,,O,
ru-174,9,2,версии,,O,
ru-174,9,3,обвинения,,O,
ru-174,9,4,",",,O,
ru-174,9,5,во,,O,
ru-174,9,6,время,,O,
ru-174,9,7,ссоры,,O,
ru-174,9,8,с,,O,
ru-174,9,9,соседками,,O,
ru-174,9,10,в,,O,
ru-174,9,11,2009,,O,
ru-174,9,12,году,,O,
ru-174,9,13,она,,O,
ru-174,9,14,якобы,,O,
ru-174,9,15,произнесла,,O,
ru-174,9,16,три,,O,
ru-174,9,17,оскорбительных,,O,
ru-174,9,18,комментария,,O,
ru-174,9,19,в,,O,
ru-174,9,20,адрес,,O,
ru-174,9,21,пророка,,O,
ru-174,9,22,Мухаммада,Мухаммад,B-PER,PER-Prophet-Muhammad
ru-174,9,23,",",,O,
ru-174,9,24,когда,,O,
ru-174,9,25,те,,O,
ru-174,9,26,посоветовали,,O,
ru-174,9,27,ей,,O,
ru-174,9,28,принять,,O,
ru-174,9,29,ислам,,O,
ru-174,9,30,.,,O,
ru-174,10,1,Верховный,Верховный,B-ORG,ORG-Supreme-Court-of-Pakistan
ru-174,10,2,суд,суд,I-ORG,ORG-Supreme-Court-of-Pakistan
ru-174,10,3,31,,O,
ru-174,10,4,октября,,O,
ru-174,10,5,оправдал,,O,
ru-174,10,6,женщину,,O,
ru-174,10,7,",",,O,
ru-174,10,8,решив,,O,
ru-174,10,9,",",,O,
ru-174,10,10,что,,O,
ru-174,10,11,дело,,O,
ru-174,10,12,основано,,O,
ru-174,10,13,на,,O,
ru-174,10,14,неубедительных,,O,
ru-174,10,15,свидетельствах,,O,
ru-174,10,16,и,,O,
ru-174,10,17,нарушениях,,O,
ru-174,10,18,процедурных,,O,
ru-174,10,19,норм,,O,
ru-174,10,20,.,,O,
ru-174,11,1,Судьи,,O,
ru-174,11,2,отметили,,O,
ru-174,11,3,",",,O,
ru-174,11,4,что,,O,
ru-174,11,5,личное,,O,
ru-174,11,6,признание,,O,
ru-174,11,7,в,,O,
ru-174,11,8,богохульстве,,O,
ru-174,11,9,Биби,Биби,B-PER,PER-Asia-Bibi
ru-174,11,10,сделала,,O,
ru-174,11,11,перед,,O,
ru-174,11,12,толпой,,O,
ru-174,11,13,",",,O,
ru-174,11,14,угрожающей,,O,
ru-174,11,15,ее,,O,
ru-174,11,16,убить,,O,
ru-174,11,17,.,,O,
ru-174,12,1,Решение,,O,
ru-174,12,2,суда,,O,
ru-174,12,3,вызвало,,O,
ru-174,12,4,протест,,O,
ru-174,12,5,у,,O,
ru-174,12,6,консервативной,,O,
ru-174,12,7,части,,O,
ru-174,12,8,населения,,O,
ru-174,12,9,.,,O,
ru-174,13,1,В,,O,
ru-174,13,2,Карачи,Карачи,B-LOC,GPE-Karachi
ru-174,13,3,",",,O,
ru-174,13,4,Лахоре,Лахор,B-LOC,GPE-Lahore
ru-174,13,5,",",,O,
ru-174,13,6,Пешаваре,Пешавар,B-LOC,GPE-Peshawar
ru-174,13,7,и,,O,
ru-174,13,8,Исламабаде,Исламабад,B-LOC,GPE-Islamabad
ru-174,13,9,десятки,,O,
ru-174,13,10,тысяч,,O,
ru-174,13,11,человек,,O,
ru-174,13,12,вышли,,O,
ru-174,13,13,на,,O,
ru-174,13,14,улицы,,O,
ru-174,13,15,",",,O,
ru-174,13,16,требуя,,O,
ru-174,13,17,смертной,,O,
ru-174,13,18,казни,,O,
ru-174,13,19,для,,O,
ru-174,13,20,оправданной,,O,
ru-174,13,21,женщины,,O,
ru-174,13,22,.,,O,
ru-174,14,1,Протестующие,,O,
ru-174,14,2,перекрывали,,O,
ru-174,14,3,дороги,,O,
ru-174,14,4,",",,O,
ru-174,14,5,блокировали,,O,
ru-174,14,6,движение,,O,
ru-174,14,7,и,,O,
ru-174,14,8,устраивали,,O,
ru-174,14,9,столкновения,,O,
ru-174,14,10,с,,O,
ru-174,14,11,полицией,,O,
ru-174,14,12,.,,O,
ru-174,15,1,Позже,,O,
ru-174,15,2,власти,,O,
ru-174,15,3,пошли,,O,
ru-174,15,4,на,,O,
ru-174,15,5,переговоры,,O,
ru-174,15,6,с,,O,
