docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-99,0,1,В,,в,,ADP,O,
ru-99,0,2,Пакистане,Пакистан,Пакистан,,PROPN,B-LOC,GPE-Pakistan
ru-99,0,3,протестуют,,протестовать,,VERB,O,
ru-99,0,4,против,,против,,ADP,O,
ru-99,0,5,оправдания,,оправдание,,NOUN,O,
ru-99,0,6,за,,за,,ADP,O,
ru-99,0,7,богохульство,,богохульство,,NOUN,O,
ru-99,1,1,В,,в,,ADP,O,
ru-99,1,2,Пакистане,Пакистан,Пакистан,,PROPN,B-LOC,GPE-Pakistan
ru-99,1,3,проходят,,проходить,,VERB,O,
ru-99,1,4,акции,,акция,,NOUN,O,
ru-99,1,5,исламистов,,исламист,,NOUN,O,
ru-99,1,6,против,,против,,ADP,O,
ru-99,1,7,отмены,,отмена,,NOUN,O,
ru-99,1,8,Верховным,Верховный,верховный,,ADJ,B-ORG,ORG-Supreme-Court-of-Pakistan
ru-99,1,9,судом,суд,суд,,NOUN,I-ORG,ORG-Supreme-Court-of-Pakistan
ru-99,1,10,смертного,,смертный,,ADJ,O,
ru-99,1,11,приговора,,приговор,,NOUN,O,
ru-99,1,12,за,,за,,ADP,O,
ru-99,1,13,богохульство,,богохульство,,NOUN,O,
ru-99,1,14,христианке,,христианка,,NOUN,O,
ru-99,1,15,Асии,Асия,Асия,,PROPN,B-PER,PER-Asia-Bibi
ru-99,1,16,Биби,Биби,Биби,,PROPN,I-PER,PER-Asia-Bibi
ru-99,1,17,.,,.,,PUNCT,O,
ru-99,2,1,Как,,как,,SCONJ,O,
ru-99,2,2,сообщает,,сообщать,,VERB,O,
ru-99,2,3,Пакистанская,Пакистанская,пакистанский,,ADJ,B-PRO,PRO-Radio-Svoboda-Pakistan
ru-99,2,4,служба,служба,служба,,NOUN,I-PRO,PRO-Radio-Svoboda-Pakistan
ru-99,2,5,Радио,Радио,Радио,,PROPN,I-PRO,PRO-Radio-Svoboda-Pakistan
ru-99,2,6,Свобода,Свобода,Свобода,,PROPN,I-PRO,PRO-Radio-Svoboda-Pakistan
ru-99,2,7,",",,",",,PUNCT,O,
ru-99,2,8,в,,в,,ADP,O,
ru-99,2,9,городах,,город,,NOUN,O,
ru-99,2,10,Равалпинди,Равалпинди,Равалпинди,,PROPN,B-LOC,GPE-Rawalpindi
ru-99,2,11,",",,",",,PUNCT,O,
ru-99,2,12,Лахор,Лахор,Лахор,,PROPN,B-LOC,GPE-Lahore
ru-99,2,13,и,,и,,CCONJ,O,
ru-99,2,14,Пешавар,Пешавар,Пешавар,,PROPN,B-LOC,GPE-Peshawar
ru-99,2,15,сторонники,,сторонник,,NOUN,O,
ru-99,2,16,ультрарелигиозной,,ультрарелигиозный,,ADJ,O,
ru-99,2,17,организации,,организация,,NOUN,O,
ru-99,2,18,"""",,"""",,PUNCT,O,
ru-99,2,19,Техрик,Техрик,Техрик,,PROPN,B-ORG,ORG-Tehreek-e-Labbaik-Pakistan
ru-99,2,20,-,-,-,,PUNCT,I-ORG,ORG-Tehreek-e-Labbaik-Pakistan
ru-99,2,21,э-Лабаик,э-Лабаик,э-Лабаик,,PROPN,I-ORG,ORG-Tehreek-e-Labbaik-Pakistan
ru-99,2,22,Пакистан,Пакистан,Пакистан,,PROPN,I-ORG,ORG-Tehreek-e-Labbaik-Pakistan
ru-99,2,23,"""",,"""",,PUNCT,O,
ru-99,2,24,блокировали,,блокировать,,VERB,O,
ru-99,2,25,дороги,,дорога,,NOUN,O,
ru-99,2,26,и,,и,,CCONJ,O,
ru-99,2,27,требовали,,требовать,,VERB,O,
ru-99,2,28,исполнения,,исполнение,,NOUN,O,
ru-99,2,29,приговора,,приговор,,NOUN,O,
ru-99,2,30,.,,.,,PUNCT,O,
ru-99,3,1,В,,в,,ADP,O,
ru-99,3,2,городе,,город,,NOUN,O,
ru-99,3,3,Карачи,Карачи,Карачи,,PROPN,B-LOC,GPE-Karachi
ru-99,3,4,",",,",",,PUNCT,O,
ru-99,3,5,протестующие,,протестовать,,VERB,O,
ru-99,3,6,жгли,,жеть,,VERB,O,
ru-99,3,7,шины,,шина,,NOUN,O,
ru-99,3,8,.,,.,,PUNCT,O,
ru-99,4,1,В,,в,,ADP,O,
ru-99,4,2,провинции,,провинция,,NOUN,O,
ru-99,4,3,Пенджаб,Пенджаб,Пенджаб,,PROPN,B-LOC,GPE-Punjab
ru-99,4,4,произошли,,произойти,,VERB,O,
ru-99,4,5,столкновения,,столкновение,,NOUN,O,
ru-99,4,6,с,,с,,ADP,O,
ru-99,4,7,полицией,,полиция,,NOUN,O,
ru-99,4,8,.,,.,,PUNCT,O,
ru-99,5,1,Пакистанские,Пакистан,пакистанский,,ADJ,B-LOC,GPE-Pakistan
ru-99,5,2,силы,,сила,,NOUN,O,
ru-99,5,3,безопасности,,безопасность,,NOUN,O,
ru-99,5,4,установили,,установить,,VERB,O,
ru-99,5,5,охрану,,охрана,,NOUN,O,
ru-99,5,6,у,,у,,ADP,O,
ru-99,5,7,христианских,,христианский,,ADJ,O,
ru-99,5,8,церквей,,церковь,,NOUN,O,
ru-99,5,9,.,,.,,PUNCT,O,
ru-99,6,1,Охрану,,охрана,,NOUN,O,
ru-99,6,2,обеспечили,,обеспечить,,VERB,O,
ru-99,6,3,также,,также,,ADV,O,
ru-99,6,4,главному,,главный,,ADJ,O,
ru-99,6,5,верховному,,верховный,,ADJ,O,
ru-99,6,6,судье,,судья,,NOUN,O,
ru-99,6,7,Сакибу,Сакиб,Сакиба,,PROPN,B-PER,PER-Mian-Saqib-Nisar
ru-99,6,8,Нисару,Нисар,Нисар,,PROPN,I-PER,PER-Mian-Saqib-Nisar
ru-99,6,9,и,,и,,CCONJ,O,
ru-99,6,10,двум,,два,,NUM,O,
ru-99,6,11,другим,,другой,,ADJ,O,
ru-99,6,12,судьям,,судья,,NOUN,O,
ru-99,6,13,.,,.,,PUNCT,O,
ru-99,7,1,Ранее,,ранее,,ADV,O,
ru-99,7,2,они,,они,,PRON,O,
ru-99,7,3,получили,,получить,,VERB,O,
ru-99,7,4,угрозы,,угроза,,NOUN,O,
ru-99,7,5,в,,в,,ADP,O,
ru-99,7,6,свой,,свой,,DET,O,
ru-99,7,7,адрес,,адрес,,NOUN,O,
ru-99,7,8,.,,.,,PUNCT,O,
ru-99,8,1,Министерство,Министерство,министерство,,NOUN,B-ORG,ORG-Ministry-of-Foreign-Affairs-Pakistan
ru-99,8,2,внутренних,внутренних,внутренний,,ADJ,I-ORG,ORG-Ministry-of-Foreign-Affairs-Pakistan
ru-99,8,3,дел,дел,дело,,NOUN,I-ORG,ORG-Ministry-of-Foreign-Affairs-Pakistan
ru-99,8,4,Пакистана,Пакистана,Пакистан,,PROPN,I-ORG,ORG-Ministry-of-Foreign-Affairs-Pakistan
ru-99,8,5,заявило,,заявить,,VERB,O,
ru-99,8,6,",",,",",,PUNCT,O,
ru-99,8,7,что,,что,,SCONJ,O,
ru-99,8,8,ведет,,вести,,VERB,O,
ru-99,8,9,переговоры,,переговоры,,NOUN,O,
ru-99,8,10,с,,с,,ADP,O,
ru-99,8,11,лидерами,,лидер,,NOUN,O,
ru-99,8,12,протеста,,протест,,NOUN,O,
ru-99,8,13,о,,о,,ADP,O,
ru-99,8,14,поисках,,поиск,,NOUN,O,
ru-99,8,15,мирного,,мирный,,ADJ,O,
ru-99,8,16,выхода,,выход,,NOUN,O,
ru-99,8,17,из,,из,,ADP,O,
ru-99,8,18,сложившейся,,сложиться,,VERB,O,
ru-99,8,19,ситуации,,ситуация,,NOUN,O,
ru-99,8,20,.,,.,,PUNCT,O,
ru-99,9,1,Асии,Асия,асия,,NOUN,B-PER,PER-Asia-Bibi
ru-99,9,2,Биби,Биби,Биби,,PROPN,I-PER,PER-Asia-Bibi
ru-99,9,3,54,,54,,NUM,O,
ru-99,9,4,года,,год,,NOUN,O,
ru-99,9,5,.,,.,,PUNCT,O,
ru-99,10,1,Она,,она,,PRON,O,
ru-99,10,2,мать,,мать,,NOUN,O,
ru-99,10,3,пятерых,,пятеро,,NUM,O,
ru-99,10,4,детей,,ребенок,,NOUN,O,
ru-99,10,5,.,,.,,PUNCT,O,
ru-99,11,1,Биби,Биби,Биби,,PROPN,B-PER,PER-Asia-Bibi
ru-99,11,2,стала,,стать,,VERB,O,
ru-99,11,3,первой,,первый,,ADJ,O,
ru-99,11,4,женщиной,,женщина,,NOUN,O,
ru-99,11,5,",",,",",,PUNCT,O,
ru-99,11,6,приговоренной,,приговорить,,VERB,O,
ru-99,11,7,в,,в,,ADP,O,
ru-99,11,8,Пакистане,Пакистан,Пакистан,,PROPN,B-LOC,GPE-Pakistan
ru-99,11,9,к,,к,,ADP,O,
ru-99,11,10,смертной,,смертный,,ADJ,O,
ru-99,11,11,казни,,казнь,,NOUN,O,
ru-99,11,12,за,,за,,ADP,O,
ru-99,11,13,богохульство,,богохульство,,NOUN,O,
ru-99,11,14,.,,.,,PUNCT,O,
ru-99,12,1,Женщину,,женщина,,NOUN,O,
ru-99,12,2,обвинили,,обвинить,,VERB,O,
ru-99,12,3,в,,в,,ADP,O,
ru-99,12,4,оскорблении,,оскорбление,,NOUN,O,
