docId,sentenceId,tokenId,text,lemma,ner,clID
ru-2019-1,0,1,Верховный,Верховный,B-ORG,ORG-Supreme-Court-of-Pakistan
ru-2019-1,0,2,Суд,Суд,I-ORG,ORG-Supreme-Court-of-Pakistan
ru-2019-1,0,3,Пакистана,Пакистана,I-ORG,ORG-Supreme-Court-of-Pakistan
ru-2019-1,0,4,отклонил,,O,
ru-2019-1,0,5,иск,,O,
ru-2019-1,0,6,против,,O,
ru-2019-1,0,7,христианки,,O,
ru-2019-1,0,8,Асии,Асия,B-PER,PER-Asia-Bibi
ru-2019-1,0,9,Биби,Биби,I-PER,PER-Asia-Bibi
ru-2019-1,1,1,",",,O,
ru-2019-1,1,2,12,,O,
ru-2019-1,1,3,:,,O,
ru-2019-1,1,4,34,,O,
ru-2019-1,1,5,REGNUM,REGNUM,B-ORG,ORG-REGNUM-News-Agency
ru-2019-1,1,6,30,,O,
ru-2019-1,1,7,января,,O,
ru-2019-1,1,8,в,,O,
ru-2019-1,1,9,Верховном,Верховный,B-ORG,ORG-Supreme-Court-of-Pakistan
ru-2019-1,1,10,Суде,Суд,I-ORG,ORG-Supreme-Court-of-Pakistan
ru-2019-1,1,11,Пакистана,Пакистана,I-ORG,ORG-Supreme-Court-of-Pakistan
ru-2019-1,1,12,состоялось,,O,
ru-2019-1,1,13,слушание,,O,
ru-2019-1,1,14,по,,O,
ru-2019-1,1,15,резонансному,,O,
ru-2019-1,1,16,делу,,O,
ru-2019-1,1,17,христианки,,O,
ru-2019-1,1,18,Асии,Асия,B-PER,PER-Asia-Bibi
ru-2019-1,1,19,Биби,Биби,I-PER,PER-Asia-Bibi
ru-2019-1,1,20,",",,O,
ru-2019-1,1,21,обвинённой,,O,
ru-2019-1,1,22,в,,O,
ru-2019-1,1,23,богохульстве,,O,
ru-2019-1,1,24,.,,O,
ru-2019-1,2,1,По,,O,
ru-2019-1,2,2,сообщению,,O,
ru-2019-1,2,3,пакистанского,,O,
ru-2019-1,2,4,телеканала,,O,
ru-2019-1,2,5,Samaa,Samaa,B-PRO,PRO-Samaa-TV
ru-2019-1,2,6,TV,TV,I-PRO,PRO-Samaa-TV
ru-2019-1,2,7,",",,O,
ru-2019-1,2,8,Верховный,Верховный,B-ORG,ORG-Supreme-Court-of-Pakistan
ru-2019-1,2,9,суд,суд,I-ORG,ORG-Supreme-Court-of-Pakistan
ru-2019-1,2,10,подтвердил,,O,
ru-2019-1,2,11,своё,,O,
ru-2019-1,2,12,предыдущее,,O,
ru-2019-1,2,13,решение,,O,
ru-2019-1,2,14,о,,O,
ru-2019-1,2,15,невиновности,,O,
ru-2019-1,2,16,Биби,Биби,B-PER,PER-Asia-Bibi
ru-2019-1,2,17,",",,O,
ru-2019-1,2,18,отклонив,,O,
ru-2019-1,2,19,петицию,,O,
ru-2019-1,2,20,представителей,,O,
ru-2019-1,2,21,радикальных,,O,
ru-2019-1,2,22,мусульманских,,O,
ru-2019-1,2,23,групп,,O,
ru-2019-1,2,24,.,,O,
ru-2019-1,3,1,Председатель,,O,
ru-2019-1,3,2,Верховного,Верховный,B-ORG,ORG-Supreme-Court-of-Pakistan
ru-2019-1,3,3,суда,суд,I-ORG,ORG-Supreme-Court-of-Pakistan
ru-2019-1,3,4,Асиф,Асиф,B-PER,PER-Asif-Saeed-Khan-Khosa
ru-2019-1,3,5,Саид,Саид,I-PER,PER-Asif-Saeed-Khan-Khosa
ru-2019-1,3,6,Хоса,Хоса,I-PER,PER-Asif-Saeed-Khan-Khosa
ru-2019-1,3,7,заявил,,O,
ru-2019-1,3,8,",",,O,
ru-2019-1,3,9,что,,O,
ru-2019-1,3,10,в,,O,
ru-2019-1,3,11,пользу,,O,
ru-2019-1,3,12,виновности,,O,
ru-2019-1,3,13,Асии,Асия,B-PER,PER-Asia-Bibi
ru-2019-1,3,14,Биби,Биби,I-PER,PER-Asia-Bibi
ru-2019-1,3,15,не,,O,
ru-2019-1,3,16,было,,O,
ru-2019-1,3,17,представлено,,O,
ru-2019-1,3,18,никаких,,O,
ru-2019-1,3,19,доказательств,,O,
ru-2019-1,3,20,",",,O,
ru-2019-1,3,21,а,,O,
ru-2019-1,3,22,свидетели,,O,
ru-2019-1,3,23,лгали,,O,
ru-2019-1,3,24,под,,O,
ru-2019-1,3,25,присягой,,O,
ru-2019-1,3,26,",",,O,
ru-2019-1,3,27,что,,O,
ru-2019-1,3,28,могло,,O,
ru-2019-1,3,29,бы,,O,
ru-2019-1,3,30,привести,,O,
ru-2019-1,3,31,их,,O,
ru-2019-1,3,32,к,,O,
ru-2019-1,3,33,пожизненному,,O,
ru-2019-1,3,34,сроку,,O,
ru-2019-1,3,35,",",,O,
ru-2019-1,3,36,если,,O,
ru-2019-1,3,37,бы,,O,
ru-2019-1,3,38,дело,,O,
ru-2019-1,3,39,не,,O,
ru-2019-1,3,40,было,,O,
ru-2019-1,3,41,столь,,O,
ru-2019-1,3,42,щепетильным,,O,
ru-2019-1,3,43,.,,O,
ru-2019-1,4,1,Председатель,,O,
ru-2019-1,4,2,суда,,O,
ru-2019-1,4,3,также,,O,
ru-2019-1,4,4,отметил,,O,
ru-2019-1,4,5,",",,O,
ru-2019-1,4,6,что,,O,
ru-2019-1,4,7,в,,O,
ru-2019-1,4,8,рассмотрении,,O,
ru-2019-1,4,9,дела,,O,
ru-2019-1,4,10,Биби,Биби,B-PER,PER-Asia-Bibi
ru-2019-1,4,11,суд,,O,
ru-2019-1,4,12,руководствовался,,O,
ru-2019-1,4,13,гражданским,,O,
ru-2019-1,4,14,законодательством,,O,
ru-2019-1,4,15,",",,O,
ru-2019-1,4,16,которое,,O,
