docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-2019-5,0,1,В,,в,,ADP,O,
ru-2019-5,0,2,Пакистане,Пакистан,Пакистан,,PROPN,B-LOC,GPE-Pakistan
ru-2019-5,0,3,адвокат,,адвокат,,NOUN,O,
ru-2019-5,0,4,христианки,,христианка,,NOUN,O,
ru-2019-5,0,5,Асии,Асия,Асия,,PROPN,B-PER,PER-Asia-Bibi
ru-2019-5,0,6,Биби,Биби,Биби,,PROPN,I-PER,PER-Asia-Bibi
ru-2019-5,0,7,попросил,,просить,,VERB,O,
ru-2019-5,0,8,гражданства,,гражданство,,NOUN,O,
ru-2019-5,0,9,в,,в,,ADP,O,
ru-2019-5,0,10,ЕС,ЕС,ЕС,,PROPN,B-ORG,ORG-European-Union
ru-2019-5,1,1,",",,",",,PUNCT,O,
ru-2019-5,1,2,13,,13,,NUM,O,
ru-2019-5,1,3,:,,:,,PUNCT,O,
ru-2019-5,1,4,54,,54,,NUM,O,
ru-2019-5,1,5,REGNUM,REGNUM,REGNUM,,PROPN,B-ORG,ORG-REGNUM-News-Agency
ru-2019-5,1,6,3,,3,,NUM,O,
ru-2019-5,1,7,февраля,,февраль,,NOUN,O,
ru-2019-5,1,8,юрист,,юрист,,NOUN,O,
ru-2019-5,1,9,Саифа-ул-Мулука,Саиф-ул-Мулук,Саифа-ул-Мулука,,PROPN,B-PER,PER-Saif-Ul-Malook
ru-2019-5,1,10,",",,",",,PUNCT,O,
ru-2019-5,1,11,пакистанского,,пакистанский,,ADJ,O,
ru-2019-5,1,12,адвоката,,адвокат,,NOUN,O,
ru-2019-5,1,13,",",,",",,PUNCT,O,
ru-2019-5,1,14,защищавшего,,защищать,,VERB,O,
ru-2019-5,1,15,христианку,,христианка,,NOUN,O,
ru-2019-5,1,16,Асию,Асия,Асия,,PROPN,B-PER,PER-Asia-Bibi
ru-2019-5,1,17,Биби,Биби,Биби,,PROPN,I-PER,PER-Asia-Bibi
ru-2019-5,1,18,",",,",",,PUNCT,O,
ru-2019-5,1,19,сообщил,,сообщить,,VERB,O,
ru-2019-5,1,20,",",,",",,PUNCT,O,
ru-2019-5,1,21,что,,что,,SCONJ,O,
ru-2019-5,1,22,его,,он,,PRON,O,
ru-2019-5,1,23,клиент,,клиент,,NOUN,O,
ru-2019-5,1,24,попросил,,просить,,VERB,O,
ru-2019-5,1,25,гражданство,,гражданство,,NOUN,O,
ru-2019-5,1,26,ЕС,ЕС,ЕС,,PROPN,B-ORG,ORG-European-Union
ru-2019-5,1,27,.,,.,,PUNCT,O,
ru-2019-5,2,1,По,,по,,ADP,O,
ru-2019-5,2,2,сообщению,,сообщение,,NOUN,O,
ru-2019-5,2,3,пакистанского,,пакистанский,,ADJ,O,
ru-2019-5,2,4,телеканала,,телеканал,,NOUN,O,
ru-2019-5,2,5,Samaa,Samaa,Samaa,,PROPN,B-PRO,PRO-Samaa-TV
ru-2019-5,2,6,TV,TV,TV,,PROPN,I-PRO,PRO-Samaa-TV
ru-2019-5,2,7,",",,",",,PUNCT,O,
ru-2019-5,2,8,адвокат,,адвокат,,NOUN,O,
ru-2019-5,2,9,Саиф-ул-Мулук,Саиф-ул-Мулук,Саиф-ул-Мулук,,PROPN,B-PER,PER-Saif-Ul-Malook
ru-2019-5,2,10,начал,,начать,,VERB,O,
ru-2019-5,2,11,получать,,получать,,VERB,O,
ru-2019-5,2,12,сообщения,,сообщение,,NOUN,O,
