docId,sentenceId,tokenId,text,lemma,ner,clID
uk-2,0,1,Пакистан,Пакистан,B-LOC,GPE-Pakistan
uk-2,0,2,:,,O,
uk-2,0,3,чоловік,,O,
uk-2,0,4,виправданої,,O,
uk-2,0,5,християнки,,O,
uk-2,0,6,просить,,O,
uk-2,0,7,Захід,,O,
uk-2,0,8,про,,O,
uk-2,0,9,притулок,,O,
uk-2,0,10,Родина,,O,
uk-2,0,11,пакистанської,,O,
uk-2,0,12,християнки,,O,
uk-2,0,13,Азії,Азія,B-PER,PER-Asia-Bibi
uk-2,0,14,Бібі,Бібі,I-PER,PER-Asia-Bibi
uk-2,0,15,",",,O,
uk-2,0,16,засудженої,,O,
uk-2,0,17,до,,O,
uk-2,0,18,страти,,O,
uk-2,0,19,",",,O,
uk-2,0,20,але,,O,
uk-2,0,21,згодом,,O,
uk-2,0,22,виправданої,,O,
uk-2,0,23,",",,O,
uk-2,0,24,побоюється,,O,
uk-2,0,25,за,,O,
uk-2,0,26,свою,,O,
uk-2,0,27,безпеку,,O,
uk-2,0,28,та,,O,
uk-2,0,29,просить,,O,
uk-2,0,30,західні,,O,
uk-2,0,31,країни,,O,
uk-2,0,32,про,,O,
uk-2,0,33,притулок,,O,
uk-2,0,34,.,,O,
uk-2,1,1,Після,,O,
uk-2,1,2,протестів,,O,
uk-2,1,3,ісламістів,,O,
uk-2,1,4,її,,O,
uk-2,1,5,справу,,O,
uk-2,1,6,переглянуть,,O,
uk-2,1,7,.,,O,
uk-2,2,1,Чоловік,,O,
uk-2,2,2,пакистанської,,O,
uk-2,2,3,християнки,,O,
uk-2,2,4,Азії,Азія,B-PER,PER-Asia-Bibi
uk-2,2,5,Бібі,Бібі,I-PER,PER-Asia-Bibi
uk-2,2,6,",",,O,
uk-2,2,7,якій,,O,
uk-2,2,8,суд,,O,
uk-2,2,9,скасував,,O,
uk-2,2,10,смертний,,O,
uk-2,2,11,вирок,,O,
uk-2,2,12,за,,O,
uk-2,2,13,богохульство,,O,
uk-2,2,14,",",,O,
uk-2,2,15,і,,O,
uk-2,2,16,яку,,O,
uk-2,2,17,закликають,,O,
uk-2,2,18,стратити,,O,
uk-2,2,19,радикальні,,O,
uk-2,2,20,ісламісти,,O,
uk-2,2,21,",",,O,
uk-2,2,22,у,,O,
uk-2,2,23,неділю,,O,
uk-2,2,24,",",,O,
uk-2,2,25,4,,O,
uk-2,2,26,листопада,,O,
uk-2,2,27,",",,O,
uk-2,2,28,попросив,,O,
uk-2,2,29,західні,,O,
uk-2,2,30,країни,,O,
uk-2,2,31,про,,O,
uk-2,2,32,притулок,,O,
uk-2,2,33,.,,O,
uk-2,3,1,У,,O,
uk-2,3,2,відеозверненні,,O,
uk-2,3,3,",",,O,
uk-2,3,4,записаному,,O,
uk-2,3,5,британською,,O,
uk-2,3,6,Пакистанською,Пакистанська,B-ORG,ORG-British-Pakistani-Christian-Association
uk-2,3,7,християнською,християнська,I-ORG,ORG-British-Pakistani-Christian-Association
uk-2,3,8,асоціацією,асоціація,I-ORG,ORG-British-Pakistani-Christian-Association
uk-2,3,9,",",,O,
uk-2,3,10,Ашіг,Ашіг,B-PER,PER-Ashiq-Masih
uk-2,3,11,Масіх,Масіх,I-PER,PER-Ashiq-Masih
uk-2,3,12,звернувся,,O,
uk-2,3,13,до,,O,
uk-2,3,14,прем'єр,,O,
uk-2,3,15,-,,O,
uk-2,3,16,міністерки,,O,
uk-2,3,17,Великобританії,Великобританія,B-LOC,GPE-Great-Britain
uk-2,3,18,Терези,Тереза,B-PER,PER-Theresa-May
uk-2,3,19,Мей,Мей,I-PER,PER-Theresa-May
uk-2,3,20,",",,O,
uk-2,3,21,президента,,O,
uk-2,3,22,США,США,B-LOC,GPE-USA
uk-2,3,23,Дональда,Дональд,B-PER,PER-Donald-Trump
uk-2,3,24,Трампа,Трамп,I-PER,PER-Donald-Trump
uk-2,3,25,та,,O,
uk-2,3,26,прем'єра,,O,
uk-2,3,27,Канади,Канада,B-LOC,GPE-Canada
uk-2,3,28,Джастіна,Джастін,B-PER,PER-Justin-Trudeau
uk-2,3,29,Трюдо,Трюдо,I-PER,PER-Justin-Trudeau
uk-2,3,30,із,,O,
uk-2,3,31,проханням,,O,
uk-2,3,32,допомогти,,O,
uk-2,3,33,родині,,O,
uk-2,3,34,виїхати,,O,
uk-2,3,35,з,,O,
uk-2,3,36,Пакистану,Пакистан,B-LOC,GPE-Pakistan
uk-2,3,37,.,,O,
uk-2,4,1,"""",,O,
uk-2,4,2,Будь,,O,
uk-2,4,3,ласка,,O,
uk-2,4,4,",",,O,
uk-2,4,5,допоможіть,,O,
uk-2,4,6,нам,,O,
uk-2,4,7,",",,O,
uk-2,4,8,ми,,O,
uk-2,4,9,в,,O,
uk-2,4,10,біді,,O,
uk-2,4,11,в,,O,
uk-2,4,12,Пакистані,Пакистан,B-LOC,GPE-Pakistan
uk-2,4,13,.,,O,
uk-2,5,1,Ми,,O,
uk-2,5,2,живемо,,O,
uk-2,5,3,зараз,,O,
uk-2,5,4,у,,O,
uk-2,5,5,сильному,,O,
uk-2,5,6,страху,,O,
uk-2,5,7,"""",,O,
uk-2,5,8,",",,O,
uk-2,5,9,-,,O,
uk-2,5,10,сказав,,O,
uk-2,5,11,він,,O,
uk-2,5,12,.,,O,
uk-2,6,1,В,,O,
uk-2,6,2,інтерв'ю,,O,
uk-2,6,3,DW,DW,B-ORG,ORG-Deutsche-Welle
uk-2,6,4,Ашіг,Ашіг,B-PER,PER-Ashiq-Masih
uk-2,6,5,Масіх,Масіх,I-PER,PER-Ashiq-Masih
uk-2,6,6,повідомив,,O,
uk-2,6,7,",",,O,
uk-2,6,8,що,,O,
uk-2,6,9,родина,,O,
uk-2,6,10,почувається,,O,
uk-2,6,11,в,,O,
uk-2,6,12,небезпеці,,O,
uk-2,6,13,після,,O,
uk-2,6,14,того,,O,
uk-2,6,15,",",,O,
uk-2,6,16,як,,O,
uk-2,6,17,було,,O,
uk-2,6,18,вирішено,,O,
uk-2,6,19,",",,O,
uk-2,6,20,що,,O,
uk-2,6,21,виправдувальний,,O,
uk-2,6,22,вирок,,O,
uk-2,6,23,для,,O,
uk-2,6,24,його,,O,
uk-2,6,25,дружини,,O,
uk-2,6,26,може,,O,
uk-2,6,27,бути,,O,
uk-2,6,28,оскаржений,,O,
uk-2,6,29,.,,O,
uk-2,7,1,Він,,O,
uk-2,7,2,з,,O,
uk-2,7,3,доньками,,O,
uk-2,7,4,переїхав,,O,
uk-2,7,5,у,,O,
uk-2,7,6,інше,,O,
uk-2,7,7,місце,,O,
uk-2,7,8,з,,O,
uk-2,7,9,міркувань,,O,
uk-2,7,10,безпеки,,O,
uk-2,7,11,.,,O,
uk-2,8,1,Чоловік,,O,
uk-2,8,2,також,,O,
uk-2,8,3,побоюється,,O,
uk-2,8,4,",",,O,
uk-2,8,5,що,,O,
uk-2,8,6,на,,O,
uk-2,8,7,його,,O,
uk-2,8,8,дружину,,O,
uk-2,8,9,можуть,,O,
uk-2,8,10,скоїти,,O,
uk-2,8,11,напад,,O,
uk-2,8,12,у,,O,
uk-2,8,13,в'язниці,,O,
uk-2,8,14,.,,O,
uk-2,9,1,"""",,O,
uk-2,9,2,Нинішня,,O,
uk-2,9,3,ситуація,,O,
uk-2,9,4,для,,O,
uk-2,9,5,нас,,O,
uk-2,9,6,дуже,,O,
uk-2,9,7,небезпечна,,O,
uk-2,9,8,.,,O,
uk-2,10,1,Ми,,O,
uk-2,10,2,не,,O,
uk-2,10,3,маємо,,O,
uk-2,10,4,захисту,,O,
uk-2,10,5,і,,O,
uk-2,10,6,ховаємось,,O,
uk-2,10,7,тут,,O,
uk-2,10,8,і,,O,
uk-2,10,9,там,,O,
uk-2,10,10,",",,O,
uk-2,10,11,часто,,O,
uk-2,10,12,змінюючи,,O,
uk-2,10,13,місце,,O,
uk-2,10,14,",",,O,
uk-2,10,15,-,,O,
uk-2,10,16,сказав,,O,
uk-2,10,17,Масіх,Масіх,B-PER,PER-Ashiq-Masih
uk-2,10,18,.,,O,
uk-2,11,1,Як,,O,
uk-2,11,2,повідомлялося,,O,
uk-2,11,3,",",,O,
uk-2,11,4,напередодні,,O,
uk-2,11,5,з,,O,
uk-2,11,6,міркувань,,O,
uk-2,11,7,безпеки,,O,
uk-2,11,8,адвокат,,O,
uk-2,11,9,жінки,,O,
uk-2,11,10,залишив,,O,
uk-2,11,11,Пакистан,Пакистан,B-LOC,GPE-Pakistan
uk-2,11,12,.,,O,
