docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
bg-3058,0,1,Върховният,Върховен,върховен,Amsf,ADJ,B-ORG,ORG-Supreme-Court-of-Pakistan
bg-3058,0,2,съд,съд,съд,Ncmsi,NOUN,I-ORG,ORG-Supreme-Court-of-Pakistan
bg-3058,0,3,на,на,на,R,ADP,I-ORG,ORG-Supreme-Court-of-Pakistan
bg-3058,0,4,Пакистан,Пакистан,пакистан,Npmsi,PROPN,I-ORG,ORG-Supreme-Court-of-Pakistan
bg-3058,0,5,отложи,,отложа-(се),Vpptf-o3s,VERB,O,
bg-3058,0,6,екзекуцията,,екзекуция,Ncfsd,NOUN,O,
bg-3058,0,7,на,,на,R,ADP,O,
bg-3058,0,8,християнката,,християнка,Ncfsd,NOUN,O,
bg-3058,0,9,Асия,Асия,асия,Npfsi,PROPN,B-PER,PER-Asia-Bibi
bg-3058,0,10,Биби,Биби,биби,Hfsi,PROPN,I-PER,PER-Asia-Bibi
bg-3058,0,11,",",,",",punct,PUNCT,O,
bg-3058,0,12,обвинена,,обвиня,Vpptcv--sfi,ADJ,O,
bg-3058,0,13,в,,в,R,ADP,O,
bg-3058,0,14,богохулство,,богохулство,Ncnsi,NOUN,O,
bg-3058,1,1,Върховният,,върховен,Amsf,ADJ,O,
bg-3058,1,2,съд,,съд,Ncmsi,NOUN,O,
bg-3058,1,3,на,,на,R,ADP,O,
bg-3058,1,4,азиатската,,азиатски,Afsd,ADJ,O,
bg-3058,1,5,държава,,държава,Ncfsi,NOUN,O,
bg-3058,1,6,Пакистан,Пакистан,пакистан,Npmsi,PROPN,B-LOC,GPE-Pakistan
bg-3058,1,7,отложи,,отложа-(се),Vpptf-o3s,VERB,O,
bg-3058,1,8,екзекуцията,,екзекуция,Ncfsd,NOUN,O,
bg-3058,1,9,на,,на,R,ADP,O,
bg-3058,1,10,Асия,Асия,асия,Npfsi,PROPN,B-PER,PER-Asia-Bibi
bg-3058,1,11,Биби,Биби,биби,Hfsi,PROPN,I-PER,PER-Asia-Bibi
bg-3058,1,12,",",,",",punct,PUNCT,O,
bg-3058,1,13,която,,който,Pre-os-f,PRON,O,
bg-3058,1,14,е,,съм,Vxitf-r3s,AUX,O,
bg-3058,1,15,християнка,,християнка,Ncfsi,NOUN,O,
bg-3058,1,16,и,,и,Cp,CCONJ,O,
bg-3058,1,17,е,,съм,Vxitf-r3s,AUX,O,
bg-3058,1,18,осъдена,,осъдя,Vpptcv--sfi,VERB,O,
bg-3058,1,19,на,,на,R,ADP,O,
bg-3058,1,20,смърт,,смърт,Ncfsi,NOUN,O,
bg-3058,1,21,за,,за,R,ADP,O,
bg-3058,1,22,богохулство,,богохулство,Ncnsi,NOUN,O,
bg-3058,1,23,",",,",",punct,PUNCT,O,
bg-3058,1,24,съобщава,,съобщавам,Vpitf-r3s,VERB,O,
bg-3058,1,25,Би,Би,би,Npnsi,PROPN,B-PRO,PRO-BBC
bg-3058,1,26,Би,Би,би,Npnsi,PROPN,I-PRO,PRO-BBC
bg-3058,1,27,Си,Си,си,Npnsi,PROPN,I-PRO,PRO-BBC
bg-3058,1,28,.,,.,punct,PUNCT,O,
bg-3058,2,1,Тя,,аз,Ppe-os3f,PRON,O,
bg-3058,2,2,очаква,,очаквам,Vpitf-r3s,VERB,O,
bg-3058,2,3,в,,в,R,ADP,O,
bg-3058,2,4,затвора,,затвор,Ncmsh,NOUN,O,
bg-3058,2,5,изпълнение,,изпълнение,Ncnsi,NOUN,O,
bg-3058,2,6,на,,на,R,ADP,O,
bg-3058,2,7,смъртната,,смъртен,Afsd,ADJ,O,
bg-3058,2,8,си,,свой,Psxto,PRON,O,
bg-3058,2,9,присъда,,присъда,Ncfsi,NOUN,O,
bg-3058,2,10,вече,,вече,Dt,ADV,O,
bg-3058,2,11,пет,,пет,Mc-pi,NUM,O,
bg-3058,2,12,години,,година,Ncfpi,NOUN,O,
bg-3058,2,13,.,,.,punct,PUNCT,O,
bg-3058,3,1,Със,,със,R,ADP,O,
bg-3058,3,2,съдебното,,съдебен,Ansd,ADJ,O,
bg-3058,3,3,решение,,решение,Ncnsi,NOUN,O,
bg-3058,3,4,от,,от,R,ADP,O,
bg-3058,3,5,сряда,,сряда,Ncfsi,NOUN,O,
bg-3058,3,6,й,,неин,Ppetds3f,PRON,O,
bg-3058,3,7,е,,съм,Vxitf-r3s,AUX,O,
bg-3058,3,8,дадено,,дам-(се),Vpptcv--sni,VERB,O,
bg-3058,3,9,право,,право,Ncnsi,NOUN,O,
bg-3058,3,10,да,,да,Tx,AUX,O,
bg-3058,3,11,се,,се,Ppxta,PRON,O,
bg-3058,3,12,обърне,,обърна-(се),Vpptf-r3s,VERB,O,
bg-3058,3,13,към,,към,R,ADP,O,
bg-3058,3,14,Апелативния,,апелативен,Amsh,ADJ,O,
bg-3058,3,15,съд,,съд,Ncmsi,NOUN,O,
bg-3058,3,16,.,,.,punct,PUNCT,O,
bg-3058,4,1,Тя,,аз,Ppe-os3f,PRON,O,
bg-3058,4,2,отрича,,отричам-(се),Vpitf-r3s,VERB,O,
bg-3058,4,3,обвиненията,,обвинение,Ncnpd,NOUN,O,
bg-3058,4,4,в,,в,R,ADP,O,
bg-3058,4,5,оскърбяване,,оскърбяване,Ncnsi,NOUN,O,
bg-3058,4,6,на,,на,R,ADP,O,
bg-3058,4,7,пророка,,пророк,Ncmsh,NOUN,O,
bg-3058,4,8,Мохамед,Мохамед,мохамед,Npmsi,PROPN,B-PER,PER-Prophet-Muhammad
bg-3058,4,9,и,,и,Cp,CCONJ,O,
bg-3058,4,10,твърди,,твърдя,Vpitf-r3s,VERB,O,
bg-3058,4,11,",",,",",punct,PUNCT,O,
bg-3058,4,12,че,,че,Cs,SCONJ,O,
bg-3058,4,13,е,,съм,Vxitf-r3s,AUX,O,
bg-3058,4,14,станала,,стана,Vppicao-sfi,VERB,O,
bg-3058,4,15,жертва,,жертва,Ncfsi,NOUN,O,
bg-3058,4,16,на,,на,R,ADP,O,
bg-3058,4,17,клевета,,клевета,Ncfsi,NOUN,O,
bg-3058,4,18,.,,.,punct,PUNCT,O,
bg-3058,5,1,Правозащитните,,правозащитен,A-pd,ADJ,O,
bg-3058,5,2,организации,,организация,Ncfpi,NOUN,O,
bg-3058,5,3,в,,в,R,ADP,O,
bg-3058,5,4,Пакистан,Пакистан,пакистан,Npmsi,PROPN,B-LOC,GPE-Pakistan
bg-3058,5,5,посочват,,посочвам,Vpitf-r3p,VERB,O,
bg-3058,5,6,",",,",",punct,PUNCT,O,
bg-3058,5,7,че,,че,Cs,SCONJ,O,
bg-3058,5,8,съществуващите,,съществувам,Vpitcar-p-d,ADJ,O,
bg-3058,5,9,в,,в,R,ADP,O,
bg-3058,5,10,страната,,страна,Ncfsd,NOUN,O,
bg-3058,5,11,закони,,закон,Ncmpi,NOUN,O,
bg-3058,5,12,против,,против,R,ADP,O,
bg-3058,5,13,богохулството,,богохулство,Ncnsd,NOUN,O,
bg-3058,5,14,често,,често,Dm,ADV,O,
bg-3058,5,15,се,,се,Ppxta,PRON,O,
bg-3058,5,16,ползват,,ползвам-(се),Vpitf-r3p,VERB,O,
bg-3058,5,17,за,,за,R,ADP,O,
bg-3058,5,18,разчистване,,разчистване,Ncnsi,NOUN,O,
bg-3058,5,19,на,,на,R,ADP,O,
bg-3058,5,20,лични,,личен,A-pi,ADJ,O,
bg-3058,5,21,сметки,,сметка,Ncfpi,NOUN,O,
bg-3058,5,22,и,,и,Cp,CCONJ,O,
bg-3058,5,23,за,,за,R,ADP,O,
bg-3058,5,24,преследване,,преследване,Ncnsi,NOUN,O,
bg-3058,5,25,на,,на,R,ADP,O,
bg-3058,5,26,религиозни,,религиозен,A-pi,ADJ,O,
bg-3058,5,27,и,,и,Cp,CCONJ,O,
bg-3058,5,28,етнически,,етнически,A-pi,ADJ,O,
