docId,sentenceId,tokenId,text,lemma,ner,clID
cs-14,0,1,Pákistánský,,O,
cs-14,0,2,soud,,O,
cs-14,0,3,osvobodil,,O,
cs-14,0,4,křesťanku,,O,
cs-14,0,5,odsouzenou,,O,
cs-14,0,6,za,,O,
cs-14,0,7,rouhačství,,O,
cs-14,0,8,",",,O,
cs-14,0,9,islamisté,,O,
cs-14,0,10,se,,O,
cs-14,0,11,bouří,,O,
cs-14,1,1,Pákistánský,Pákistánský,B-ORG,ORG-High-Court-Pakistan
cs-14,1,2,nejvyšší,nejvyšší,I-ORG,ORG-High-Court-Pakistan
cs-14,1,3,soud,soud,I-ORG,ORG-High-Court-Pakistan
cs-14,1,4,osvobodil,,O,
cs-14,1,5,křesťanku,,O,
cs-14,1,6,",",,O,
cs-14,1,7,která,,O,
cs-14,1,8,byla,,O,
cs-14,1,9,v,,O,
cs-14,1,10,roce,,O,
cs-14,1,11,2010,,O,
cs-14,1,12,odsouzena,,O,
cs-14,1,13,k,,O,
cs-14,1,14,trestu,,O,
cs-14,1,15,smrti,,O,
cs-14,1,16,za,,O,
cs-14,1,17,urážku,,O,
cs-14,1,18,islámského,,O,
cs-14,1,19,proroka,,O,
cs-14,1,20,Mohameda,Mohamed,B-PER,PER-Prophet-Muhammad
cs-14,1,21,.,,O,
cs-14,2,1,Matku,,O,
cs-14,2,2,čtyř,,O,
cs-14,2,3,dětí,,O,
cs-14,2,4,soud,,O,
cs-14,2,5,nařídil,,O,
cs-14,2,6,propustit,,O,
cs-14,2,7,na,,O,
cs-14,2,8,svobodu,,O,
cs-14,2,9,.,,O,
cs-14,3,1,Rozhodnutí,,O,
cs-14,3,2,by,,O,
cs-14,3,3,mohlo,,O,
cs-14,3,4,vyvolat,,O,
cs-14,3,5,masivní,,O,
cs-14,3,6,pouliční,,O,
cs-14,3,7,protesty,,O,
cs-14,3,8,tvrdých,,O,
cs-14,3,9,zastánců,,O,
cs-14,3,10,islámu,,O,
cs-14,3,11,.,,O,
cs-14,4,1,Krátce,,O,
cs-14,4,2,po,,O,
cs-14,4,3,verdiktu,,O,
