docId,sentenceId,tokenId,text,lemma,ner,clID
ru-99,0,1,В,,O,
ru-99,0,2,Пакистане,Пакистан,B-LOC,GPE-Pakistan
ru-99,0,3,протестуют,,O,
ru-99,0,4,против,,O,
ru-99,0,5,оправдания,,O,
ru-99,0,6,за,,O,
ru-99,0,7,богохульство,,O,
ru-99,1,1,В,,O,
ru-99,1,2,Пакистане,Пакистан,B-LOC,GPE-Pakistan
ru-99,1,3,проходят,,O,
ru-99,1,4,акции,,O,
ru-99,1,5,исламистов,,O,
ru-99,1,6,против,,O,
ru-99,1,7,отмены,,O,
ru-99,1,8,Верховным,Верховный,B-ORG,ORG-Supreme-Court-of-Pakistan
ru-99,1,9,судом,суд,I-ORG,ORG-Supreme-Court-of-Pakistan
ru-99,1,10,смертного,,O,
ru-99,1,11,приговора,,O,
ru-99,1,12,за,,O,
ru-99,1,13,богохульство,,O,
ru-99,1,14,христианке,,O,
ru-99,1,15,Асии,Асия,B-PER,PER-Asia-Bibi
ru-99,1,16,Биби,Биби,I-PER,PER-Asia-Bibi
ru-99,1,17,.,,O,
ru-99,2,1,Как,,O,
ru-99,2,2,сообщает,,O,
ru-99,2,3,Пакистанская,Пакистанская,B-PRO,PRO-Radio-Svoboda-Pakistan
ru-99,2,4,служба,служба,I-PRO,PRO-Radio-Svoboda-Pakistan
ru-99,2,5,Радио,Радио,I-PRO,PRO-Radio-Svoboda-Pakistan
ru-99,2,6,Свобода,Свобода,I-PRO,PRO-Radio-Svoboda-Pakistan
ru-99,2,7,",",,O,
ru-99,2,8,в,,O,
ru-99,2,9,городах,,O,
ru-99,2,10,Равалпинди,Равалпинди,B-LOC,GPE-Rawalpindi
ru-99,2,11,",",,O,
ru-99,2,12,Лахор,Лахор,B-LOC,GPE-Lahore
ru-99,2,13,и,,O,
ru-99,2,14,Пешавар,Пешавар,B-LOC,GPE-Peshawar
ru-99,2,15,сторонники,,O,
ru-99,2,16,ультрарелигиозной,,O,
ru-99,2,17,организации,,O,
ru-99,2,18,"""",,O,
ru-99,2,19,Техрик,,O,
ru-99,2,20,-,,O,
ru-99,2,21,э-Лабаик,,O,
ru-99,2,22,Пакистан,Пакистан,B-LOC,GPE-Pakistan
ru-99,2,23,"""",,O,
ru-99,2,24,блокировали,,O,
ru-99,2,25,дороги,,O,
ru-99,2,26,и,,O,
ru-99,2,27,требовали,,O,
ru-99,2,28,исполнения,,O,
ru-99,2,29,приговора,,O,
ru-99,2,30,.,,O,
ru-99,3,1,В,,O,
ru-99,3,2,городе,,O,
ru-99,3,3,Карачи,Карачи,B-LOC,GPE-Karachi
ru-99,3,4,",",,O,
ru-99,3,5,протестующие,,O,
ru-99,3,6,жгли,,O,
ru-99,3,7,шины,,O,
ru-99,3,8,.,,O,
ru-99,4,1,В,,O,
ru-99,4,2,провинции,,O,
ru-99,4,3,Пенджаб,Пенджаб,B-LOC,GPE-Punjab
ru-99,4,4,произошли,,O,
ru-99,4,5,столкновения,,O,
ru-99,4,6,с,,O,
ru-99,4,7,полицией.,,O,
ru-99,5,1,Пакистанские,Пакистан,B-LOC,GPE-Pakistan
ru-99,5,2,силы,,O,
ru-99,5,3,безопасности,,O,
ru-99,5,4,установили,,O,
ru-99,5,5,охрану,,O,
ru-99,5,6,у,,O,
ru-99,5,7,христианских,,O,
ru-99,5,8,церквей,,O,
ru-99,5,9,.,,O,
ru-99,6,1,Охрану,,O,
ru-99,6,2,обеспечили,,O,
ru-99,6,3,также,,O,
ru-99,6,4,главному,,O,
ru-99,6,5,верховному,,O,
ru-99,6,6,судье,,O,
ru-99,6,7,Сакибу,Сакиб,B-PER,PER-Mian-Saqib-Nisar
ru-99,6,8,Нисару,Нисар,I-PER,PER-Mian-Saqib-Nisar
ru-99,6,9,и,,O,
ru-99,6,10,двум,,O,
ru-99,6,11,другим,,O,
ru-99,6,12,судьям,,O,
ru-99,6,13,.,,O,
ru-99,7,1,Ранее,,O,
ru-99,7,2,они,,O,
ru-99,7,3,получили,,O,
ru-99,7,4,угрозы,,O,
ru-99,7,5,в,,O,
ru-99,7,6,свой,,O,
ru-99,7,7,адрес,,O,
ru-99,7,8,.,,O,
ru-99,8,1,Министерство,Министерство,B-ORG,ORG-Ministry-of-Foreign-Affairs-Pakistan
