bg-1401
The Guardian	The Guardian	PRO	PRO-The-Guardian
Амбър Ръд	Амбър Ръд	PER	PER-Amber-Rudd
Борис Джонсън	Борис Джонсън	PER	PER-Boris-Johnson
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Джонсън	Джонсън	PER	PER-Boris-Johnson
ЕС	ЕС	ORG	ORG-European-Union
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Евросъюза	Евросъюз	ORG	ORG-European-Union
Норвегия	Норвегия	LOC	GPE-Norway
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Филип Хамънд	Филип Хамънд	PER	PER-Philip-Hammond
Фокус	Фокус	ORG	ORG-Focus-News-Agency
