bg-879
BBC	BBC	PRO	PRO-BBC
Андрю Мар	Андрю Мар	PER	PER-Andrew-Marr
Брекзит	Брекзит	EVT	EVT-Brexit
Великобритания	Великобритания	LOC	GPE-Great-Britain
Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
ЕС	ЕС	ORG	ORG-European-Union
Европа	Европа	LOC	LOC-Europe
Европейския съюз	Европейски съюз	ORG	ORG-European-Union
Еманюел Макрон	Еманюел Макрон	PER	PER-Emmanuel-Macron
Ким Чен-ун	Ким Чен-ун	PER	PER-Kim-Jong-Un
Китай	Китай	LOC	GPE-China
Лондон	Лондон	LOC	GPE-London
Макрон	Макрон	PER	PER-Emmanuel-Macron
ООН	ООН	ORG	ORG-United-Nations
Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
Северна Корея	Северна Корея	LOC	GPE-North-Korea
Ситито	Ситито	LOC	LOC-City-of-London
Франция	Франция	LOC	GPE-France
британците	британци	PER	GPE-Great-Britain
