docId,sentenceId,tokenId,text,lemma,ner,clID
bg-774,0,1,ЕС,ЕС,B-ORG,ORG-European-Union
bg-774,0,2,заплашва,,O,
bg-774,0,3,Великобритания,Великобритания,B-LOC,GPE-Great-Britain
bg-774,0,4,със,,O,
bg-774,0,5,санкции,,O,
bg-774,0,6,",",,O,
bg-774,0,7,за,,O,
bg-774,0,8,да,,O,
bg-774,0,9,не,,O,
bg-774,0,10,допусне,,O,
bg-774,0,11,подкопаване,,O,
bg-774,0,12,на,,O,
bg-774,0,13,икономиката,,O,
bg-774,0,14,в,,O,
bg-774,0,15,Общността,,O,
bg-774,0,16,след,,O,
bg-774,0,17,Брекзит,Брекзит,B-EVT,EVT-Brexit
bg-774,1,1,Европейският,Европейски,B-ORG,ORG-European-Union
bg-774,1,2,съюз,съюз,I-ORG,ORG-European-Union
bg-774,1,3,заплашва,,O,
bg-774,1,4,със,,O,
bg-774,1,5,санкции,,O,
bg-774,1,6,",",,O,
bg-774,1,7,за,,O,
bg-774,1,8,да,,O,
bg-774,1,9,не,,O,
bg-774,1,10,допусне,,O,
bg-774,1,11,възможността,,O,
bg-774,2,1,Обединеното,Обединеното,B-LOC,GPE-Great-Britain
bg-774,2,2,кралство,кралство,I-LOC,GPE-Great-Britain
bg-774,2,3,да,,O,
bg-774,2,4,подкопае,,O,
bg-774,2,5,икономиката,,O,
bg-774,2,6,на,,O,
bg-774,2,7,Общността,,O,
bg-774,2,8,след,,O,
bg-774,2,9,излизането,,O,
bg-774,2,10,от,,O,
bg-774,2,11,структурите,,O,
bg-774,2,12,й,,O,
bg-774,2,13,",",,O,
bg-774,2,14,пише,,O,
bg-774,2,15,британският,,O,
bg-774,2,16,вестник,,O,
bg-774,2,17,The,The,B-PRO,PRO-The-Times
bg-774,2,18,Times,Times,I-PRO,PRO-The-Times
bg-774,2,19,.,,O,
bg-774,3,1,Въвеждане,,O,
bg-774,3,2,на,,O,
bg-774,3,3,ограничения,,O,
bg-774,3,4,срещу,,O,
bg-774,3,5,компании,,O,
bg-774,3,6,",",,O,
bg-774,3,7,които,,O,
bg-774,3,8,получават,,O,
bg-774,3,9,държавни,,O,
bg-774,3,10,субсидии,,O,
bg-774,3,11,",",,O,
bg-774,3,12,а,,O,
bg-774,3,13,също,,O,
bg-774,3,14,и,,O,
bg-774,3,15,включването,,O,
bg-774,3,16,на,,O,
bg-774,3,17,Великобритания,Великобритания,B-LOC,GPE-Great-Britain
bg-774,3,18,в,,O,
bg-774,3,19,„черен,,O,
bg-774,3,20,списък,,O,
bg-774,3,21,“,,O,
bg-774,3,22,с,,O,
bg-774,3,23,некоректни,,O,
bg-774,3,24,юрисдикции,,O,
bg-774,3,25,са,,O,
bg-774,3,26,само,,O,
bg-774,3,27,част,,O,
bg-774,3,28,от,,O,
bg-774,3,29,предложенията,,O,
bg-774,3,30,в,,O,
bg-774,3,31,стратегически,,O,
bg-774,3,32,документ,,O,
bg-774,3,33,",",,O,
bg-774,3,34,публикуван,,O,
