docId,sentenceId,tokenId,text,lemma,ner,clID
cs-1080,0,1,Mayová,Mayová,B-PER,PER-Theresa-May
cs-1080,0,2,pod,,O,
cs-1080,0,3,palbou,,O,
cs-1080,0,4,kvůli,,O,
cs-1080,0,5,clům,,O,
cs-1080,0,6,po,,O,
cs-1080,0,7,brexitu,brexit,B-EVT,EVT-Brexit
cs-1080,1,1,Skupina,,O,
cs-1080,1,2,60,,O,
cs-1080,1,3,britských,,O,
cs-1080,1,4,konzervativních,konzervativní,B-PER,ORG-Conservative-and-Unionist-Party-UK
cs-1080,1,5,poslanců,poslanci,I-PER,ORG-Conservative-and-Unionist-Party-UK
cs-1080,1,6,a,,O,
cs-1080,1,7,zastánců,,O,
cs-1080,1,8,brexitu,brexit,B-EVT,EVT-Brexit
cs-1080,1,9,včera,,O,
cs-1080,1,10,odmítla,,O,
cs-1080,1,11,obě,,O,
cs-1080,1,12,varianty,,O,
cs-1080,1,13,budoucího,,O,
cs-1080,1,14,celního,,O,
cs-1080,1,15,partnerství,,O,
cs-1080,1,16,Británie,Británie,B-LOC,GPE-Great-Britain
cs-1080,1,17,s,,O,
cs-1080,1,18,Evropskou,Evropská,B-ORG,ORG-European-Union
cs-1080,1,19,unií,unie,I-ORG,ORG-European-Union
cs-1080,1,20,",",,O,
cs-1080,1,21,jak,,O,
cs-1080,1,22,je,,O,
cs-1080,1,23,předložila,,O,
cs-1080,1,24,vláda,,O,
cs-1080,1,25,premiérky,,O,
cs-1080,1,26,Theresy,Theresa,B-PER,PER-Theresa-May
cs-1080,1,27,Mayové,Mayová,I-PER,PER-Theresa-May
cs-1080,1,28,.,,O,
cs-1080,2,1,O,,O,
cs-1080,2,2,variantách,,O,
cs-1080,2,3,celního,,O,
cs-1080,2,4,uspořádání,,O,
cs-1080,2,5,po,,O,
cs-1080,2,6,odchodu,,O,
cs-1080,2,7,Británie,Británie,B-LOC,GPE-Great-Britain
cs-1080,2,8,z,,O,
cs-1080,2,9,EU,EU,B-ORG,ORG-European-Union
cs-1080,2,10,klíčoví,,O,
cs-1080,2,11,ministři,,O,
cs-1080,2,12,jednali,,O,
cs-1080,2,13,včera,,O,
cs-1080,2,14,odpoledne,,O,
cs-1080,2,15,.,,O,
cs-1080,3,1,(,,O,
cs-1080,3,2,ČTK,ČTK,B-ORG,ORG-CTK
cs-1080,3,3,",",,O,
cs-1080,3,4,BBC,BBC,B-PRO,PRO-BBC
cs-1080,3,5,",",,O,
cs-1080,3,6,rm,,O,
cs-1080,3,7,),,O,
