docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-796,0,1,Firmy,,firma,NNFP1-----A----,NOUN,O,
cs-796,0,2,se,,se,P7-X4----------,PRON,O,
cs-796,0,3,bojí,,bát,VB-P---3P-AA---,VERB,O,
cs-796,0,4,obchodní,,obchodní,AAFS2----1A----,ADJ,O,
cs-796,0,5,války,,válka,NNFS2-----A----,NOUN,O,
cs-796,0,6,mezi,,mezi,RR--7----------,ADP,O,
cs-796,0,7,EU,EU,EU,NNFXX-----A---8,PROPN,B-ORG,ORG-European-Union
cs-796,0,8,a,,a,J^-------------,CCONJ,O,
cs-796,0,9,USA,USA,USA,NNIPX-----A----,PROPN,B-LOC,GPE-USA
cs-796,0,10,i,,i,J^-------------,CCONJ,O,
cs-796,0,11,brexitu,brexit,brexit,NNIS2-----A----,NOUN,B-EVT,EVT-Brexit
cs-796,1,1,.,,.,Z:-------------,PUNCT,O,
cs-796,2,1,Budoucí,,budoucí,AAIS4----1A----,ADJ,O,
cs-796,2,2,makroekonomický,,makroekonomický,AAIS4----1A----,ADJ,O,
cs-796,2,3,vývoj,,vývoj,NNIS1-----A----,NOUN,O,
cs-796,2,4,vnímá,,vnímat,VB-S---3P-AA---,VERB,O,
cs-796,2,5,jako,,jako,"J,-------------",SCONJ,O,
cs-796,2,6,největší,,velký,AANS4----3A----,ADJ,O,
cs-796,2,7,riziko,,riziko,NNNS4-----A----,NOUN,O,
cs-796,2,8,pro,,pro,RR--4----------,ADP,O,
cs-796,2,9,své,,svůj,P8NS4---------1,DET,O,
cs-796,2,10,podnikání,,podnikání,NNNS4-----A----,NOUN,O,
cs-796,2,11,60,,60,C=-------------,NUM,O,
cs-796,2,12,procent,,procento,NNNP2-----A----,NOUN,O,
cs-796,2,13,společností,,společnost,NNFP2-----A----,NOUN,O,
cs-796,2,14,napříč,,napříč,Db-------------,ADV,O,
cs-796,2,15,různými,,různý,AANP7----1A----,ADJ,O,
cs-796,2,16,odvětvími,,odvětví,NNNP7-----A----,NOUN,O,
cs-796,2,17,.,,.,Z:-------------,PUNCT,O,
cs-796,3,1,Vyplynulo,,vyplynout,VpNS---XR-AA---,VERB,O,
cs-796,3,2,to,,ten,PDNS1----------,DET,O,
cs-796,3,3,z,,z,RR--2----------,ADP,O,
cs-796,3,4,průzkumu,,průzkum,NNIS2-----A----,NOUN,O,
cs-796,3,5,poradenské,,poradenský,AAFS2----1A----,ADJ,O,
cs-796,3,6,společnosti,,společnost,NNFS2-----A----,NOUN,O,
cs-796,3,7,BDO,BDO,BDO,NNFXX-----A---8,PROPN,B-ORG,ORG-BDO-Global
cs-796,3,8,mezi,,mezi,RR--7----------,ADP,O,
cs-796,3,9,více,,hodně,Dg-------2A----,ADV,O,
cs-796,3,10,než,,než,"J,-------------",SCONJ,O,
cs-796,3,11,500,,500,C=-------------,NUM,O,
cs-796,3,12,představiteli,,představitel,NNMP7-----A----,NOUN,O,
cs-796,3,13,firem,,firma,NNFP2-----A----,NOUN,O,
cs-796,3,14,po,,po,RR--6----------,ADP,O,
cs-796,3,15,celém,,celý,AAIS6----1A----,ADJ,O,
cs-796,3,16,světě,,svět,NNIS6-----A----,NOUN,O,
cs-796,3,17,.,,.,Z:-------------,PUNCT,O,
cs-796,4,1,Firmy,,firma,NNFP1-----A----,NOUN,O,
cs-796,4,2,se,,se,P7-X4----------,PRON,O,
cs-796,4,3,bojí,,bát,VB-P---3P-AA---,VERB,O,
cs-796,4,4,například,,například,Db-------------,ADV,O,
cs-796,4,5,brexitu,brexit,brexit,NNIS2-----A----,NOUN,B-EVT,EVT-Brexit
cs-796,4,6,nebo,,nebo,J^-------------,CCONJ,O,
cs-796,4,7,hrozící,,hrozící,AGFS2-----A----,ADJ,O,
cs-796,4,8,obchodní,,obchodní,AAFS2----1A----,ADJ,O,
cs-796,4,9,války,,válka,NNFS2-----A----,NOUN,O,
cs-796,4,10,mezi,,mezi,RR--7----------,ADP,O,
cs-796,4,11,EU,EU,EU,NNFXX-----A---8,PROPN,B-ORG,ORG-European-Union
cs-796,4,12,a,,a,J^-------------,CCONJ,O,
cs-796,4,13,USA,USA,USA,NNIPX-----A----,PROPN,B-LOC,GPE-USA
cs-796,4,14,.,,.,Z:-------------,PUNCT,O,
cs-796,5,1,Ještě,,ještě,Db-------------,ADV,O,
cs-796,5,2,více,,hodně,Dg-------2A----,ADV,O,
cs-796,5,3,se,,se,P7-X4----------,PRON,O,
cs-796,5,4,ale,,ale,J^-------------,CCONJ,O,
cs-796,5,5,firmy,,firma,NNFP1-----A----,NOUN,O,
cs-796,5,6,obávají,,obávat,VB-P---3P-AA---,VERB,O,
cs-796,5,7,rizika,,riziko,NNNS2-----A----,NOUN,O,
cs-796,5,8,státních,,státní,AAFP2----1A----,ADJ,O,
cs-796,5,9,a,,a,J^-------------,CCONJ,O,
cs-796,5,10,mezinárodních,,mezinárodní,AAFP2----1A----,ADJ,O,
cs-796,5,11,regulací,,regulace,NNFP2-----A----,NOUN,O,
cs-796,5,12,.,,.,Z:-------------,PUNCT,O,
