docId,sentenceId,tokenId,text,lemma,ner,clID
pl-1358,0,1,Co,,O,
pl-1358,0,2,z,,O,
pl-1358,0,3,Europejczykami,Europejczycy,B-PER,LOC-Europe
pl-1358,0,4,w,,O,
pl-1358,0,5,Wielkiej,Wielka,B-LOC,GPE-Great-Britain
pl-1358,0,6,Brytanii,Brytania,I-LOC,GPE-Great-Britain
pl-1358,0,7,po,,O,
pl-1358,0,8,brexicie,Brexit,B-EVT,EVT-Brexit
pl-1358,0,9,?,,O,
pl-1358,1,1,Powstanie,,O,
pl-1358,1,2,system,,O,
pl-1358,1,3,rejestracji,,O,
pl-1358,2,1,System,,O,
pl-1358,2,2,ma,,O,
pl-1358,2,3,służyć,,O,
pl-1358,2,4,uzyskiwaniu,,O,
pl-1358,2,5,po,,O,
pl-1358,2,6,wyjściu,,O,
pl-1358,2,7,Wielkiej,Wielka,B-LOC,GPE-Great-Britain
pl-1358,2,8,Brytanii,Brytania,I-LOC,GPE-Great-Britain
pl-1358,2,9,z,,O,
pl-1358,2,10,UE,UE,B-ORG,ORG-European-Union
pl-1358,2,11,statusu,,O,
pl-1358,2,12,osoby,,O,
pl-1358,2,13,osiedlonej,,O,
pl-1358,2,14,",",,O,
pl-1358,2,15,które,,O,
pl-1358,2,16,zagwarantuje,,O,
pl-1358,2,17,unijnym,,O,
pl-1358,2,18,obywatelom,,O,
pl-1358,2,19,mieszkającym,,O,
pl-1358,2,20,na,,O,
pl-1358,2,21,Wyspach,Wyspy,B-LOC,GPE-Great-Britain
pl-1358,2,22,utrzymanie,,O,
pl-1358,2,23,swoich,,O,
pl-1358,2,24,praw,,O,
pl-1358,2,25,.,,O,
pl-1358,3,1,Rejestracja,,O,
pl-1358,3,2,ma,,O,
pl-1358,3,3,polegać,,O,
pl-1358,3,4,na,,O,
pl-1358,3,5,udzieleniu,,O,
pl-1358,3,6,odpowiedzi,,O,
pl-1358,3,7,na,,O,
pl-1358,3,8,zaledwie,,O,
pl-1358,3,9,trzy,,O,
pl-1358,3,10,pytania,,O,
pl-1358,3,11,.,,O,
pl-1358,4,1,Brytyjski,,O,
pl-1358,4,2,rząd,,O,
pl-1358,4,3,spodziewa,,O,
pl-1358,4,4,się,,O,
pl-1358,4,5,przynajmniej,,O,
pl-1358,4,6,"3,5",,O,
pl-1358,4,7,mln,,O,
pl-1358,4,8,wniosków,,O,
pl-1358,4,9,.,,O,
pl-1358,5,1,Informacje,,O,
pl-1358,5,2,w,,O,
pl-1358,5,3,sprawie,,O,
pl-1358,5,4,systemu,,O,
pl-1358,5,5,rejestracyjnego,,O,
pl-1358,5,6,dla,,O,
pl-1358,5,7,obywateli,,O,
pl-1358,5,8,UE,UE,B-ORG,ORG-European-Union
pl-1358,5,9,w,,O,
pl-1358,5,10,Wielkiej,Wielka,B-LOC,GPE-Great-Britain
pl-1358,5,11,Brytanii,Brytania,I-LOC,GPE-Great-Britain
pl-1358,5,12,przedstawił,,O,
pl-1358,5,13,minister,,O,
pl-1358,5,14,spraw,,O,
pl-1358,5,15,wewnętrznych,,O,
pl-1358,5,16,Sajid,Sajid,B-PER,PER-Sajid-Javid
pl-1358,5,17,Javid,Javid,I-PER,PER-Sajid-Javid
pl-1358,5,18,",",,O,
pl-1358,5,19,który,,O,
pl-1358,5,20,wystąpił,,O,
pl-1358,5,21,przed,,O,
pl-1358,5,22,komisją,,O,
pl-1358,5,23,Izby,Izba,B-ORG,ORG-House-of-Lords
pl-1358,5,24,Lordów,Lordów,I-ORG,ORG-House-of-Lords
pl-1358,5,25,.,,O,
pl-1358,6,1,Jak,,O,
pl-1358,6,2,zapewniał,,O,
pl-1358,6,3,",",,O,
pl-1358,6,4,podstawową,,O,
pl-1358,6,5,funkcją,,O,
pl-1358,6,6,systemu,,O,
pl-1358,6,7,ma,,O,
pl-1358,6,8,być,,O,
pl-1358,6,9,„,,O,
pl-1358,6,10,przyznawanie,,O,
pl-1358,6,11,statusu,,O,
pl-1358,6,12,osoby,,O,
pl-1358,6,13,osiedlonej,,O,
pl-1358,6,14,",",,O,
pl-1358,6,15,a,,O,
pl-1358,6,16,nie,,O,
pl-1358,6,17,jego,,O,
pl-1358,6,18,odmawianie,,O,
pl-1358,6,19,”,,O,
pl-1358,6,20,.,,O,
pl-1358,7,1,Dlatego,,O,
pl-1358,7,2,wniosek,,O,
pl-1358,7,3,on-line,,O,
pl-1358,7,4,ma,,O,
pl-1358,7,5,się,,O,
pl-1358,7,6,składać,,O,
pl-1358,7,7,tylko,,O,
pl-1358,7,8,z,,O,
pl-1358,7,9,trzech,,O,
pl-1358,7,10,pytań,,O,
pl-1358,7,11,–,,O,
pl-1358,7,12,o,,O,
pl-1358,7,13,dane,,O,
pl-1358,7,14,osobowe,,O,
pl-1358,7,15,",",,O,
pl-1358,7,16,potwierdzenie,,O,
pl-1358,7,17,zamieszkania,,O,
pl-1358,7,18,w,,O,
pl-1358,7,19,Wielkiej,Wielka,B-LOC,GPE-Great-Britain
pl-1358,7,20,Brytanii,Brytania,I-LOC,GPE-Great-Britain
pl-1358,7,21,oraz,,O,
pl-1358,7,22,ewentualną,,O,
pl-1358,7,23,przeszłość,,O,
pl-1358,7,24,kryminalną,,O,
pl-1358,7,25,.,,O,
pl-1358,8,1,Wszystko,,O,
pl-1358,8,2,ma,,O,
pl-1358,8,3,zostać,,O,
pl-1358,8,4,błyskawicznie,,O,
pl-1358,8,5,zweryfikowane,,O,
pl-1358,8,6,w,,O,
pl-1358,8,7,rządowych,,O,
pl-1358,8,8,bazach,,O,
pl-1358,8,9,danych,,O,
pl-1358,8,10,",",,O,
pl-1358,8,11,a,,O,
pl-1358,8,12,decyzje,,O,
pl-1358,8,13,mają,,O,
pl-1358,8,14,być,,O,
pl-1358,8,15,ogłaszane,,O,
pl-1358,8,16,bardzo,,O,
pl-1358,8,17,szybko,,O,
pl-1358,8,18,–,,O,
pl-1358,8,19,maksymalnie,,O,
pl-1358,8,20,przed,,O,
pl-1358,8,21,upływem,,O,
pl-1358,8,22,dwóch,,O,
pl-1358,8,23,tygodni,,O,
pl-1358,8,24,.,,O,
pl-1358,9,1,Procedura,,O,
pl-1358,9,2,ma,,O,
pl-1358,9,3,funkcjonować,,O,
