docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-1524,0,1,Wściekłość,,wściekłość,subst:sg:nom:f,NOUN,O,
pl-1524,0,2,Donalda,Donald,Donald,subst:sg:gen:m1,PROPN,B-PER,PER-Donald-Tusk
pl-1524,0,3,Tuska,Tusk,Tusk,subst:sg:gen:m1,PROPN,I-PER,PER-Donald-Tusk
pl-1524,0,4,Włodzimierz,Włodzimierz,Włodzimierz,subst:sg:nom:m1,PROPN,B-PER,PER-Włodzimierz-Jurasz
pl-1524,0,5,Jurasz,Jurasz,Jurasz,subst:sg:nom:m1,PROPN,I-PER,PER-Włodzimierz-Jurasz
pl-1524,1,1,Donald,Donald,Donald,subst:sg:nom:m1,PROPN,B-PER,PER-Donald-Tusk
pl-1524,1,2,Tusk,Tusk,Tusk,subst:sg:nom:m1,PROPN,I-PER,PER-Donald-Tusk
pl-1524,1,3,znów,,znów,part,PART,O,
pl-1524,1,4,się,,się,part,PRON,O,
pl-1524,1,5,wściekł,,wściec,praet:sg:m1:perf,VERB,O,
pl-1524,1,6,.,,.,interp,PUNCT,O,
pl-1524,2,1,Poprzednio,,poprzednio,adv:pos,ADV,O,
pl-1524,2,2,obecny,,obecny,adj:sg:nom:m1:pos,ADJ,O,
pl-1524,2,3,przewodniczący,,przewodniczący,subst:sg:nom:m1,NOUN,O,
pl-1524,2,4,Rady,Rada,rada,subst:sg:gen:f,NOUN,B-ORG,ORG-European-Council
pl-1524,2,5,Europejskiej,Europejska,europejski,adj:sg:gen:f:pos,ADJ,I-ORG,ORG-European-Council
pl-1524,2,6,wściekał,,wściekać,praet:sg:m1:imperf,VERB,O,
pl-1524,2,7,się,,się,part,PRON,O,
pl-1524,2,8,równie,,równie,adv:pos,ADV,O,
pl-1524,2,9,oficjalnie,,oficjalnie,adv:pos,ADV,O,
pl-1524,2,10,jeszcze,,jeszcze,part,PART,O,
pl-1524,2,11,jako,,jako,comp,SCONJ,O,
pl-1524,2,12,polski,,polski,adj:sg:nom:m1:pos,ADJ,O,
pl-1524,2,13,premier,,premier,subst:sg:nom:m1,NOUN,O,
pl-1524,2,14,",",,",",interp,PUNCT,O,
pl-1524,2,15,na,,na,prep:acc,ADP,O,
pl-1524,2,16,przykład,,przykład,subst:sg:acc:m3,NOUN,O,
pl-1524,2,17,w,,w,prep:loc:nwok,ADP,O,
pl-1524,2,18,roku,,rok,subst:sg:loc:m3,NOUN,O,
pl-1524,2,19,2009,,2009,adj:sg:loc:m3:pos,ADJ,O,
pl-1524,2,20,na,,na,prep:acc,ADP,O,
pl-1524,2,21,sztab,,sztab,subst:sg:acc:m3,NOUN,O,
pl-1524,2,22,wyborczy,,wyborczy,adj:sg:acc:m3:pos,ADJ,O,
pl-1524,2,23,Platformy,Platforma,platforma,subst:sg:gen:f,NOUN,B-ORG,ORG-PO-Civic-Platform
pl-1524,2,24,Obywatelskiej,Obywatelska,obywatelski,adj:sg:gen:f:pos,ADJ,I-ORG,ORG-PO-Civic-Platform
pl-1524,2,25,.,,.,interp,PUNCT,O,
pl-1524,3,1,Teraz,,teraz,adv,ADV,O,
pl-1524,3,2,przyszła,,przyjść,praet:sg:f:perf,VERB,O,
pl-1524,3,3,pora,,pora,pred,VERB,O,
pl-1524,3,4,na,,na,prep:loc,ADP,O,
pl-1524,3,5,Angoli,Angole,Angola,subst:sg:loc:f,PROPN,B-PER,GPE-England
pl-1524,3,6,.,,.,interp,PUNCT,O,
pl-1524,4,1,Przemawiając,,przemawiać,pcon:imperf,VERB,O,
pl-1524,4,2,w,,w,prep:loc:nwok,ADP,O,
pl-1524,4,3,Dublinie,Dublin,Dublin,subst:sg:loc:m3,PROPN,B-LOC,GPE-Dublin
pl-1524,4,4,Donald,Donald,Donald,subst:sg:nom:m1,PROPN,B-PER,PER-Donald-Tusk
pl-1524,4,5,Tusk,Tusk,Tusk,subst:sg:nom:m1,PROPN,I-PER,PER-Donald-Tusk
pl-1524,4,6,stwierdził,,stwierdzić,praet:sg:m1:perf,VERB,O,
pl-1524,4,7,:,,:,interp,PUNCT,O,
pl-1524,4,8,„,,„,interp,PUNCT,O,
pl-1524,4,9,Brexit,Brexit,brexit,subst:sg:nom:m3,NOUN,B-EVT,EVT-Brexit
pl-1524,4,10,mi,,ja,ppron12:sg:dat:m1:pri:nakc,PRON,O,
pl-1524,4,11,się,,się,part,PRON,O,
pl-1524,4,12,nie,,nie,part,PART,O,
pl-1524,4,13,podoba,,podobać,fin:sg:ter:imperf,VERB,O,
pl-1524,4,14,.,,.,interp,PUNCT,O,
pl-1524,5,1,Więcej,,więcej,num:pl:nom:m3:rec,DET,O,
pl-1524,5,2,",",,",",interp,PUNCT,O,
pl-1524,5,3,wydaje,,wydawać,fin:sg:ter:imperf,VERB,O,
pl-1524,5,4,mi,,ja,ppron12:sg:dat:m1:pri:nakc,PRON,O,
pl-1524,5,5,się,,się,part,PRON,O,
pl-1524,5,6,",",,",",interp,PUNCT,O,
pl-1524,5,7,że,,że,comp,SCONJ,O,
pl-1524,5,8,brexit,Brexit,brexit,subst:sg:nom:m3,NOUN,B-EVT,EVT-Brexit
pl-1524,5,9,to,,to,pred,AUX,O,
pl-1524,5,10,jeden,,jeden,adj:sg:nom:m3:pos,ADJ,O,
pl-1524,5,11,z,,z,prep:gen:nwok,ADP,O,
pl-1524,5,12,najsmutniejszych,,gmutny,adj:pl:gen:m3:sup,ADJ,O,
pl-1524,5,13,momentów,,moment,subst:pl:gen:m3,NOUN,O,
pl-1524,5,14,w,,w,prep:loc:nwok,ADP,O,
pl-1524,5,15,historii,,historia,subst:sg:loc:f,NOUN,O,
pl-1524,5,16,Europy,Europa,Europa,subst:sg:gen:f,PROPN,B-LOC,LOC-Europe
pl-1524,5,17,XXI,,XXI,adj:sg:gen:m3:pos,ADJ,O,
pl-1524,5,18,wieku,,wiek,subst:sg:gen:m3,NOUN,O,
pl-1524,5,19,.,,.,interp,PUNCT,O,
pl-1524,6,1,Przyznam,,przyznać,fin:sg:pri:perf,VERB,O,
pl-1524,6,2,",",,",",interp,PUNCT,O,
pl-1524,6,3,że,,że,comp,SCONJ,O,
pl-1524,6,4,czasami,,czas,subst:pl:inst:m3,NOUN,O,
pl-1524,6,5,jestem,,być,fin:sg:pri:imperf,AUX,O,
pl-1524,6,6,z,,z,prep:gen:nwok,ADP,O,
pl-1524,6,7,tego,,ten,adj:sg:gen:m3:pos,DET,O,
