docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-1028,0,1,Новым,,новый,,ADJ,O,
ru-1028,0,2,министром,,министр,,NOUN,O,
ru-1028,0,3,по,,по,,ADP,O,
ru-1028,0,4,делам,,дело,,NOUN,O,
ru-1028,0,5,Brexit,Brexit,Brexit,,PROPN,B-EVT,EVT-Brexit
ru-1028,0,6,стал,,стать,,VERB,O,
ru-1028,0,7,Доминик,Доминик,Доминик,,PROPN,B-PER,PER-Dominic-Raab
ru-1028,0,8,Рааб,Рааб,Рааб,,PROPN,I-PER,PER-Dominic-Raab
ru-1028,1,1,Среди,,среди,,ADP,O,
ru-1028,1,2,претендентов,,претендент,,NOUN,O,
ru-1028,1,3,на,,на,,ADP,O,
ru-1028,1,4,этот,,этот,,DET,O,
ru-1028,1,5,пост,,пост,,NOUN,O,
ru-1028,1,6,английские,,английский,,ADJ,O,
ru-1028,1,7,СМИ,,сми,,NOUN,O,
ru-1028,1,8,называли,,называть,,VERB,O,
ru-1028,1,9,также,,также,,ADV,O,
ru-1028,1,10,имена,,имя,,NOUN,O,
ru-1028,1,11,министра,,министр,,NOUN,O,
ru-1028,1,12,охраны,,охрана,,NOUN,O,
ru-1028,1,13,окружающей,,окружать,,VERB,O,
ru-1028,1,14,среды,,среда,,NOUN,O,
ru-1028,1,15,",",,",",,PUNCT,O,
ru-1028,1,16,продовольствия,,продовольствие,,NOUN,O,
ru-1028,1,17,и,,и,,CCONJ,O,
ru-1028,1,18,сельскохозяйственного,,сельскохозяйственный,,ADJ,O,
ru-1028,1,19,развития,,развитие,,NOUN,O,
ru-1028,1,20,Майкла,Майкл,Майкла,,PROPN,B-PER,PER-Michael-Gove
ru-1028,1,21,Гоува,Гоув,Гоув,,PROPN,I-PER,PER-Michael-Gove
ru-1028,1,22,",",,",",,PUNCT,O,
ru-1028,1,23,руководителя,,руководитель,,NOUN,O,
ru-1028,1,24,секретариата,,секретариат,,NOUN,O,
ru-1028,1,25,Кабмина,Кабмин,Кабмин,,PROPN,B-ORG,ORG-Cabinet-of-the-United-Kingdom
ru-1028,1,26,Дэвида,Дэвид,Дэвид,,PROPN,B-PER,PER-David-Lidington
ru-1028,1,27,Лидингтона,Лидингтон,Лидингтон,,PROPN,I-PER,PER-David-Lidington
ru-1028,1,28,и,,и,,CCONJ,O,
ru-1028,1,29,руководителя,,руководитель,,NOUN,O,
ru-1028,1,30,МИД,МИД,МИД,,PROPN,B-ORG,ORG-Foreign-Office
ru-1028,1,31,Бориса,Борис,Борис,,PROPN,B-PER,PER-Boris-Johnson
ru-1028,1,32,Джонсона,Джонсон,Джонсон,,PROPN,I-PER,PER-Boris-Johnson
ru-1028,1,33,.,,.,,PUNCT,O,
ru-1028,2,1,Отмечается,,отмечать,,VERB,O,
ru-1028,2,2,",",,",",,PUNCT,O,
ru-1028,2,3,что,,что,,SCONJ,O,
ru-1028,2,4,Дэвис,Дэвис,Дэвис,,PROPN,B-PER,PER-David-Davis
ru-1028,2,5,ушел,,уйти,,VERB,O,
ru-1028,2,6,с,,с,,ADP,O,
ru-1028,2,7,поста,,пост,,NOUN,O,
ru-1028,2,8,в,,в,,ADP,O,
ru-1028,2,9,знак,,знак,,NOUN,O,
ru-1028,2,10,несогласия,,несогласие,,NOUN,O,
ru-1028,2,11,с,,с,,ADP,O,
ru-1028,2,12,позицией,,позиция,,NOUN,O,
ru-1028,2,13,по,,по,,ADP,O,
ru-1028,2,14,Brexit,Brexit,Brexit,,PROPN,B-EVT,EVT-Brexit
ru-1028,2,15,премьера,,премьер,,NOUN,O,
ru-1028,2,16,Терезы,Тереза,Тереза,,PROPN,B-PER,PER-Theresa-May
ru-1028,2,17,Мэй,Мэй,Мэй,,PROPN,I-PER,PER-Theresa-May
ru-1028,2,18,.,,.,,PUNCT,O,
ru-1028,3,1,Прежний,,прежний,,ADJ,O,
ru-1028,3,2,министр,,министр,,NOUN,O,
ru-1028,3,3,жилищного,,жилищный,,ADJ,O,
