docId,sentenceId,tokenId,text,lemma,ner,clID
ru-1142,0,1,Джереми,Джереми,B-PER,PER-Jeremy-Hunt
ru-1142,0,2,Хант,Хант,I-PER,PER-Jeremy-Hunt
ru-1142,0,3,назначен,,O,
ru-1142,0,4,новым,,O,
ru-1142,0,5,главой,,O,
ru-1142,0,6,МИД,МИД,B-ORG,ORG-Foreign-Office
ru-1142,0,7,Великобритании,Великобритании,I-ORG,ORG-Foreign-Office
ru-1142,1,1,Новым,,O,
ru-1142,1,2,министром,,O,
ru-1142,1,3,иностранных,,O,
ru-1142,1,4,дел,,O,
ru-1142,1,5,Великобритании,Великобритания,B-LOC,GPE-Great-Britain
ru-1142,1,6,назначен,,O,
ru-1142,1,7,Джереми,Джереми,B-PER,PER-Jeremy-Hunt
ru-1142,1,8,Хант,Хант,I-PER,PER-Jeremy-Hunt
ru-1142,1,9,",",,O,
ru-1142,1,10,ранее,,O,
ru-1142,1,11,занимавший,,O,
ru-1142,1,12,пост,,O,
ru-1142,1,13,министра,,O,
ru-1142,1,14,здравоохранения,,O,
ru-1142,1,15,в,,O,
ru-1142,1,16,правительствах,,O,
ru-1142,1,17,Дэвида,Дэвид,B-PER,PER-David-Cameron
ru-1142,1,18,Кэмерона,Кэмерон,I-PER,PER-David-Cameron
ru-1142,1,19,и,,O,
ru-1142,1,20,Терезы,Тереза,B-PER,PER-Theresa-May
ru-1142,1,21,Мэй,Мэй,I-PER,PER-Theresa-May
ru-1142,1,22,.,,O,
ru-1142,2,1,О,,O,
ru-1142,2,2,назначении,,O,
ru-1142,2,3,51-летнего,,O,
ru-1142,2,4,консерватора,,O,
ru-1142,2,5,Джереми,Джереми,B-PER,PER-Jeremy-Hunt
ru-1142,2,6,Ханта,Хант,I-PER,PER-Jeremy-Hunt
ru-1142,2,7,на,,O,
ru-1142,2,8,должность,,O,
ru-1142,2,9,главы,,O,
ru-1142,2,10,британского,,O,
ru-1142,2,11,МИД,МИД,B-ORG,ORG-Foreign-Office
ru-1142,2,12,Тереза,Тереза,B-PER,PER-Theresa-May
ru-1142,2,13,Мэй,Мэй,I-PER,PER-Theresa-May
ru-1142,2,14,объявила,,O,
ru-1142,2,15,вечером,,O,
ru-1142,2,16,9,,O,
ru-1142,2,17,июля.,,O,
ru-1142,3,1,За,,O,
ru-1142,3,2,несколько,,O,
ru-1142,3,3,часов,,O,
ru-1142,3,4,до,,O,
ru-1142,3,5,этого,,O,
ru-1142,3,6,стало,,O,
ru-1142,3,7,известно,,O,
ru-1142,3,8,об,,O,
ru-1142,3,9,отставке,,O,
ru-1142,3,10,Бориса,Борис,B-PER,PER-Boris-Johnson
ru-1142,3,11,Джонсона,Джонсон,I-PER,PER-Boris-Johnson
ru-1142,3,12,",",,O,
ru-1142,3,13,выразившего,,O,
ru-1142,3,14,несогласие,,O,
ru-1142,3,15,с,,O,
ru-1142,3,16,"""",,O,
ru-1142,3,17,мягким,,O,
ru-1142,3,18,"""",,O,
ru-1142,3,19,вариантом,,O,
ru-1142,3,20,Мэй,Мэй,B-PER,PER-Theresa-May
ru-1142,3,21,по,,O,
ru-1142,3,22,выходу,,O,
ru-1142,3,23,Великобритании,Великобритания,B-LOC,GPE-Great-Britain
ru-1142,3,24,из,,O,
ru-1142,3,25,Евросоюза,Евросоюз,B-ORG,ORG-European-Union
ru-1142,3,26,.,,O,
ru-1142,4,1,В,,O,
ru-1142,4,2,отличие,,O,
ru-1142,4,3,от,,O,
ru-1142,4,4,Джонсона,Джонсон,B-PER,PER-Boris-Johnson
ru-1142,4,5,",",,O,
ru-1142,4,6,выступавшего,,O,
ru-1142,4,7,за,,O,
ru-1142,4,8,полный,,O,
ru-1142,4,9,"""",,O,
ru-1142,4,10,развод,,O,
ru-1142,4,11,"""",,O,
ru-1142,4,12,с,,O,
ru-1142,4,13,Евросоюзом,Евросоюз,B-ORG,ORG-European-Union
ru-1142,4,14,",",,O,
ru-1142,4,15,Хант,Хант,B-PER,PER-Jeremy-Hunt
ru-1142,4,16,ранее,,O,
ru-1142,4,17,был,,O,
ru-1142,4,18,известен,,O,
ru-1142,4,19,как,,O,
ru-1142,4,20,противник,,O,
ru-1142,4,21,"""",,O,
ru-1142,4,22,Брекзита,Брекзит,B-EVT,EVT-Brexit
ru-1142,4,23,"""",,O,
ru-1142,4,24,.,,O,
ru-1142,5,1,6,,O,
ru-1142,5,2,июля,,O,
ru-1142,5,3,британский,,O,
ru-1142,5,4,кабинет,,O,
ru-1142,5,5,министров,,O,
ru-1142,5,6,согласовал,,O,
ru-1142,5,7,коллективную,,O,
ru-1142,5,8,позицию,,O,
ru-1142,5,9,по,,O,
ru-1142,5,10,будущим,,O,
ru-1142,5,11,переговорам,,O,
ru-1142,5,12,с,,O,
ru-1142,5,13,Евросоюзом,Евросоюз,B-ORG,ORG-European-Union
ru-1142,5,14,.,,O,
ru-1142,6,1,По,,O,
ru-1142,6,2,его,,O,
ru-1142,6,3,итогам,,O,
ru-1142,6,4,Мэй,Мэй,B-PER,PER-Theresa-May
ru-1142,6,5,объявила,,O,
ru-1142,6,6,",",,O,
ru-1142,6,7,что,,O,
ru-1142,6,8,Великобритания,Великобритания,B-LOC,GPE-Great-Britain
ru-1142,6,9,выступает,,O,
ru-1142,6,10,за,,O,
ru-1142,6,11,создание,,O,
ru-1142,6,12,зоны,,O,
ru-1142,6,13,свободной,,O,
ru-1142,6,14,торговли,,O,
ru-1142,6,15,с,,O,
ru-1142,6,16,ЕС,ЕС,B-ORG,ORG-European-Union
ru-1142,6,17,.,,O,
ru-1142,7,1,Джонсон,Джонсон,B-PER,PER-Boris-Johnson
ru-1142,7,2,выразил,,O,
ru-1142,7,3,несогласие,,O,
ru-1142,7,4,с,,O,
ru-1142,7,5,этой,,O,
ru-1142,7,6,позицией,,O,
ru-1142,7,7,.,,O,
ru-1142,8,1,По,,O,
ru-1142,8,2,его,,O,
ru-1142,8,3,словам,,O,
ru-1142,8,4,",",,O,
ru-1142,8,5,"""",,O,
ru-1142,8,6,Брекзит,Брекзит,B-EVT,EVT-Brexit
ru-1142,8,7,"""",,O,
ru-1142,8,8,должен,,O,
ru-1142,8,9,был,,O,
ru-1142,8,10,стать,,O,
ru-1142,8,11,шансом,,O,
ru-1142,8,12,вести,,O,
ru-1142,8,13,дела,,O,
ru-1142,8,14,по-другому,,O,
ru-1142,8,15,",",,O,
ru-1142,8,16,стать,,O,
ru-1142,8,17,стране,,O,
ru-1142,8,18,более,,O,
ru-1142,8,19,гибкой,,O,
ru-1142,8,20,и,,O,
ru-1142,8,21,динамичной,,O,
ru-1142,8,22,и,,O,
ru-1142,8,23,максимально,,O,
ru-1142,8,24,использовать,,O,
ru-1142,8,25,преимущества,,O,
ru-1142,8,26,Великобритании,Великобритания,B-LOC,GPE-Great-Britain
ru-1142,8,27,как,,O,
ru-1142,8,28,открытой,,O,
ru-1142,8,29,",",,O,
ru-1142,8,30,глобальной,,O,
ru-1142,8,31,экономики,,O,
ru-1142,8,32,.,,O,
ru-1142,9,1,"""",,O,
ru-1142,9,2,Эта,,O,
ru-1142,9,3,мечта,,O,
ru-1142,9,4,умирает,,O,
ru-1142,9,5,",",,O,
ru-1142,9,6,задыхаясь,,O,
ru-1142,9,7,в,,O,
ru-1142,9,8,бессмысленных,,O,
ru-1142,9,9,сомнениях,,O,
ru-1142,9,10,в,,O,
ru-1142,9,11,самих,,O,
ru-1142,9,12,себе,,O,
ru-1142,9,13,"""",,O,
ru-1142,9,14,",",,O,
ru-1142,9,15,-,,O,
ru-1142,9,16,написал,,O,
ru-1142,9,17,Джонсон,Джонсон,B-PER,PER-Boris-Johnson
ru-1142,9,18,в,,O,
ru-1142,9,19,письме,,O,
ru-1142,9,20,премьер-министру,,O,
ru-1142,9,21,Терезе,Тереза,B-PER,PER-Theresa-May
ru-1142,9,22,Мэй,Мэй,I-PER,PER-Theresa-May
ru-1142,9,23,.,,O,
ru-1142,10,1,Мэй,Мэй,B-PER,PER-Theresa-May
ru-1142,10,2,пока,,O,
ru-1142,10,3,никак,,O,
ru-1142,10,4,не,,O,
ru-1142,10,5,объяснила,,O,
ru-1142,10,6,решение,,O,
ru-1142,10,7,о,,O,
ru-1142,10,8,назначении,,O,
ru-1142,10,9,Ханта,Хант,B-PER,PER-Jeremy-Hunt
ru-1142,10,10,на,,O,
ru-1142,10,11,главный,,O,
ru-1142,10,12,внешнеполитический,,O,
