docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
sl-188,0,1,Brexit,brexit,Brexit,Npmsn,PROPN,B-EVT,EVT-Brexit
sl-188,0,2,napol,,napol,Rgp,ADV,O,
sl-188,0,3,pod,,pod,Si,ADP,O,
sl-188,0,4,streho,,streha,Ncfsi,NOUN,O,
sl-188,1,1,Nasprotniki,,nasprotnik,Ncmpn,NOUN,O,
sl-188,1,2,brexita,brexit,brexit,Ncmsg,NOUN,B-EVT,EVT-Brexit
sl-188,1,3,še,,še,Q,PART,O,
sl-188,1,4,kar,,kar,Rgp,ADV,O,
sl-188,1,5,verjamejo,,verjeti,Vmbr3p,VERB,O,
sl-188,1,6,",",,",",Z,PUNCT,O,
sl-188,1,7,da,,da,Cs,SCONJ,O,
sl-188,1,8,se,,se,Px------y,PRON,O,
sl-188,1,9,ta,,ta,Pd-msn,DET,O,
sl-188,1,10,ne,,ne,Q,PART,O,
sl-188,1,11,bo,,biti,Va-f3s-n,AUX,O,
sl-188,1,12,zgodil,,zgoditi,Vmep-sm,VERB,O,
sl-188,1,13,.,,.,Z,PUNCT,O,
sl-188,2,1,Izstop,,izstop,Ncmsan,NOUN,O,
sl-188,2,2,Velike,Velika,velik,Agpfsg,ADJ,B-LOC,GPE-Great-Britain
sl-188,2,3,Britanije,Britanija,Britanija,Npfsg,PROPN,I-LOC,GPE-Great-Britain
sl-188,2,4,iz,,iz,Sg,ADP,O,
sl-188,2,5,EU,EU,EU,Npfsg,PROPN,B-ORG,ORG-European-Union
sl-188,2,6,sta,,biti,Va-r3d-n,AUX,O,
sl-188,2,7,z,,z,Si,ADP,O,
sl-188,2,8,dogovorom,,dogovor,Ncmsi,NOUN,O,
sl-188,2,9,tik,,tik,Rgp,ADV,O,
sl-188,2,10,pred,,pred,Si,ADP,O,
sl-188,2,11,zdajci,,zdajec,Ncmpi,NOUN,O,
sl-188,2,12,potrdili,,potrditi,Vmep-df,VERB,O,
sl-188,2,13,evropska,,evropski,Agpfsn,ADJ,O,
sl-188,2,14,in,,in,Cc,CCONJ,O,
sl-188,2,15,britanska,,britanski,Agpfsn,ADJ,O,
sl-188,2,16,vlada,,vlada,Ncfsn,NOUN,O,
sl-188,2,17,",",,",",Z,PUNCT,O,
sl-188,2,18,toda,,toda,Cc,CCONJ,O,
sl-188,2,19,odločali,,odločati,Vmpp-pm,VERB,O,
sl-188,2,20,bodo,,biti,Va-f3p-n,AUX,O,
sl-188,2,21,poslanci,,poslanec,Ncmpn,NOUN,O,
sl-188,2,22,.,,.,Z,PUNCT,O,
sl-188,3,1,Skoraj,,skoraj,Q,PART,O,
sl-188,3,2,natanko,,natanko,Rgp,ADV,O,
sl-188,3,3,40,,40,Mdc,NUM,O,
sl-188,3,4,mesecev,,mesec,Ncmpg,NOUN,O,
sl-188,3,5,po,,po,Sl,ADP,O,
sl-188,3,6,britanskem,,britanski,Agpmsl,ADJ,O,
sl-188,3,7,referendumu,,referendum,Ncmsl,NOUN,O,
sl-188,3,8,",",,",",Z,PUNCT,O,
sl-188,3,9,na,,na,Sl,ADP,O,
sl-188,3,10,katerem,,kateri,Pq-msl,DET,O,
sl-188,3,11,je,,biti,Va-r3s-n,AUX,O,
sl-188,3,12,slabih,,slab,Agpmpg,ADJ,O,
sl-188,3,13,52,,52,Mdc,NUM,O,
sl-188,3,14,odstotkov,,odstotek,Ncmpg,NOUN,O,
sl-188,3,15,volivcev,,volivec,Ncmpg,NOUN,O,
sl-188,3,16,glasovalo,,glasovati,Vmbp-sn,VERB,O,
sl-188,3,17,za,,za,Sa,ADP,O,
sl-188,3,18,odhod,,odhod,Ncmsan,NOUN,O,
sl-188,3,19,Združenega,Združeno,združen,Appnsg,ADJ,B-LOC,GPE-Great-Britain
sl-188,3,20,kraljestva,kraljestvo,kraljestvo,Ncnsg,NOUN,I-LOC,GPE-Great-Britain
sl-188,3,21,Velike,Velike,velik,Agpfsg,ADJ,I-LOC,GPE-Great-Britain
