docId,sentenceId,tokenId,text,lemma,ner,clID
ua-1008,0,1,У,,O,
ua-1008,0,2,Великій,Велика,B-LOC,GPE-Great-Britain
ua-1008,0,3,Британії,Британія,I-LOC,GPE-Great-Britain
ua-1008,0,4,призначили,,O,
ua-1008,0,5,нового,,O,
ua-1008,0,6,міністра,,O,
ua-1008,0,7,з,,O,
ua-1008,0,8,питань,,O,
ua-1008,0,9,Brexit,Brexit,B-EVT,EVT-Brexit
ua-1008,1,1,Новим,,O,
ua-1008,1,2,міністром,,O,
ua-1008,1,3,Сполученого,Сполучене,B-LOC,GPE-Great-Britain
ua-1008,1,4,Королівства,Королівство,I-LOC,GPE-Great-Britain
ua-1008,1,5,Великої,Велика,B-LOC,GPE-Great-Britain
ua-1008,1,6,Британії,Британія,I-LOC,GPE-Great-Britain
ua-1008,1,7,та,,O,
ua-1008,1,8,Північної,Північна,B-LOC,GPE-Northern-Ireland
ua-1008,1,9,Ірландії,Ірландія,I-LOC,GPE-Northern-Ireland
ua-1008,1,10,з,,O,
ua-1008,1,11,питань,,O,
ua-1008,1,12,Brexit,Brexit,B-EVT,EVT-Brexit
ua-1008,1,13,став,,O,
ua-1008,1,14,Стівен,Стівен,B-PER,PER-Stiven-Barkli
ua-1008,1,15,Барклі,Барклі,I-PER,PER-Stiven-Barkli
ua-1008,1,16,.,,O,
ua-1008,2,1,Про,,O,
ua-1008,2,2,це,,O,
ua-1008,2,3,повідомили,,O,
ua-1008,2,4,на,,O,
ua-1008,2,5,офіційній,,O,
ua-1008,2,6,сторінці,,O,
ua-1008,2,7,британського,,O,
ua-1008,2,8,уряду,,O,
ua-1008,2,9,в,,O,
ua-1008,2,10,Twitter,Twitter,B-PRO,PRO-Twitter
ua-1008,2,11,.,,O,
ua-1008,3,1,"""",,O,
ua-1008,3,2,Королева,,O,
ua-1008,3,3,рада,,O,
ua-1008,3,4,схвалити,,O,
ua-1008,3,5,призначення,,O,
ua-1008,3,6,Стівена,Стівен,B-PER,PER-Stiven-Barkli
ua-1008,3,7,Барклі,Барклі,I-PER,PER-Stiven-Barkli
ua-1008,3,8,на,,O,
ua-1008,3,9,посаду,,O,
ua-1008,3,10,міністра,,O,
ua-1008,3,11,із,,O,
ua-1008,3,12,виходу,,O,
ua-1008,3,13,з,,O,
ua-1008,3,14,Європейського,Європейський,B-ORG,ORG-European-Union
ua-1008,3,15,союзу,союз,I-ORG,ORG-European-Union
ua-1008,3,16,"""",,O,
ua-1008,3,17,",",,O,
ua-1008,3,18,-,,O,
ua-1008,3,19,йдеться,,O,
ua-1008,3,20,в,,O,
ua-1008,3,21,повідомленні,,O,
ua-1008,3,22,.,,O,
ua-1008,4,1,Барклі,Барклі,B-PER,PER-Stiven-Barkli
ua-1008,4,2,змінив,,O,
ua-1008,4,3,на,,O,
ua-1008,4,4,цій,,O,
ua-1008,4,5,посаді,,O,
ua-1008,4,6,Домініка,Домінік,B-PER,PER-Dominic-Raab
ua-1008,4,7,Рабе,Рабе,I-PER,PER-Dominic-Raab
ua-1008,4,8,",",,O,
ua-1008,4,9,який,,O,
ua-1008,4,10,15,,O,
ua-1008,4,11,листопада,,O,
ua-1008,4,12,пішов,,O,
ua-1008,4,13,у,,O,
ua-1008,4,14,відставку,,O,
ua-1008,4,15,.,,O,
ua-1008,5,1,Як,,O,
ua-1008,5,2,повідомляв,,O,
ua-1008,5,3,УНІАН,УНІАН,B-ORG,ORG-UNIAN
ua-1008,5,4,",",,O,
ua-1008,5,5,14,,O,
ua-1008,5,6,листопада,,O,
ua-1008,5,7,представники,,O,
ua-1008,5,8,Європейського,Європейський,B-ORG,ORG-European-Union
ua-1008,5,9,Союзу,союз,I-ORG,ORG-European-Union
ua-1008,5,10,та,,O,
ua-1008,5,11,Великої,Велика,B-LOC,GPE-Great-Britain
ua-1008,5,12,Британії,Британія,I-LOC,GPE-Great-Britain
ua-1008,5,13,узгодили,,O,
ua-1008,5,14,попередній,,O,
ua-1008,5,15,текст,,O,
ua-1008,5,16,угоди,,O,
ua-1008,5,17,про,,O,
ua-1008,5,18,Brexit,Brexit,B-EVT,EVT-Brexit
ua-1008,5,19,після,,O,
ua-1008,5,20,місяців,,O,
ua-1008,5,21,складних,,O,
ua-1008,5,22,переговорів,,O,
ua-1008,5,23,.,,O,
ua-1008,6,1,Остаточний,,O,
ua-1008,6,2,вихід,,O,
ua-1008,6,3,Британії,Британія,B-LOC,GPE-Great-Britain
ua-1008,6,4,з,,O,
ua-1008,6,5,ЄС,ЄС,B-LOC,ORG-European-Union
ua-1008,6,6,запланований,,O,
ua-1008,6,7,на,,O,
ua-1008,6,8,29,,O,
ua-1008,6,9,березня,,O,
ua-1008,6,10,2019,,O,
ua-1008,6,11,року,,O,
ua-1008,6,12,",",,O,
ua-1008,6,13,після,,O,
ua-1008,6,14,чого,,O,
