docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ua-1027,0,1,Тереза,Тереза,Тереза,Npfsny,PROPN,B-PER,PER-Theresa-May
ua-1027,0,2,Мей,Мей,Мей,Npfsny,PROPN,I-PER,PER-Theresa-May
ua-1027,0,3,:,,:,U,PUNCT,O,
ua-1027,0,4,Наступні,,наступний,Ao--pnsn,ADJ,O,
ua-1027,0,5,сім,,сей,Ncfpan,NOUN,O,
ua-1027,0,6,днів,,день,Ncmpgn,NOUN,O,
ua-1027,0,7,будуть,,бути,Vapif3p,AUX,O,
ua-1027,0,8,критичними,,критичний,Afp-pif,ADJ,O,
ua-1027,0,9,для,,для,Spsg,ADP,O,
ua-1027,0,10,країни,,країна,Ncfsgn,NOUN,O,
ua-1027,1,1,Прем’єр,,прем’єрний,A,ADJ,O,
ua-1027,1,2,-,,-,U,PUNCT,O,
ua-1027,1,3,міністр,,міністр,Ncmsny,NOUN,O,
ua-1027,1,4,Великої,Велика,великий,Afpfsgf,ADJ,B-LOC,GPE-Great-Britain
ua-1027,1,5,Британії,Британія,Британія,Npfsgn,PROPN,I-LOC,GPE-Great-Britain
ua-1027,1,6,Тереза,Тереза,Тереза,Npfsny,PROPN,B-PER,PER-Theresa-May
ua-1027,1,7,Мей,Мей,Мей,Npfsny,PROPN,I-PER,PER-Theresa-May
ua-1027,1,8,заявила,,заявити,Vmeis-sf,VERB,O,
ua-1027,1,9,",",,",",U,PUNCT,O,
ua-1027,1,10,що,,що,Css,SCONJ,O,
ua-1027,1,11,наступні,,наступний,Ao--pns,ADJ,O,
ua-1027,1,12,сім,,сей,Ncfpnn,NOUN,O,
ua-1027,1,13,днів,,день,Ncmpgn,NOUN,O,
ua-1027,1,14,у,,у,Spsl,ADP,O,
ua-1027,1,15,процесі,,процес,Ncmsln,NOUN,O,
ua-1027,1,16,Brexit,Brexit,Brexit,X,X,B-EVT,EVT-Brexit
ua-1027,1,17,будуть,,бути,Vapif3p,AUX,O,
ua-1027,1,18,мати,,мати,Vmpn,VERB,O,
ua-1027,1,19,вирішальне,,вирішальний,Ao-nsas,ADJ,O,
ua-1027,1,20,значення,,значення,Ncnsan,NOUN,O,
ua-1027,1,21,для,,для,Spsg,ADP,O,
ua-1027,1,22,майбутнього,,майбутній,Ao-msgf,ADJ,O,
ua-1027,1,23,країни,,країна,Ncfsgn,NOUN,O,
ua-1027,1,24,.,,.,U,PUNCT,O,
ua-1027,2,1,Про,,про,Spsa,ADP,O,
ua-1027,2,2,це,,це,Pd--nnsan,PRON,O,
ua-1027,2,3,вона,,вона,Pp-3f-snn,PRON,O,
ua-1027,2,4,сказала,,сказати,Vmeis-sf,VERB,O,
ua-1027,2,5,в,,в,Spsl,ADP,O,
ua-1027,2,6,інтерв’ю,,інтерв’ю,Ncnsln,NOUN,O,
ua-1027,2,7,Sky,Sky,Sky,X,X,B-ORG,ORG-Sky-News
ua-1027,2,8,News,News,News,X,X,I-ORG,ORG-Sky-News
ua-1027,2,9,",",,",",U,PUNCT,O,
ua-1027,2,10,-,,-,U,PUNCT,O,
ua-1027,2,11,передає,,передавати,Vmpip3s,VERB,O,
ua-1027,2,12,ЄП,ЄП,ЄП,Y,NOUN,B-PRO,PRO-European-Truth
ua-1027,2,13,.,,.,U,PUNCT,O,
ua-1027,3,1,Ці,,цей,Pd----pna,DET,O,
ua-1027,3,2,наступні,,наступний,Ao--pns,ADJ,O,
ua-1027,3,3,сім,,сей,Ncfpnn,NOUN,O,
ua-1027,3,4,днів,,день,Ncmpgn,NOUN,O,
ua-1027,3,5,мають,,мати,Vmpip3p,VERB,O,
ua-1027,3,6,бути,,бути,Vapn,AUX,O,
ua-1027,3,7,критичними,,критичний,Afp-pif,ADJ,O,
ua-1027,3,8,",",,",",U,PUNCT,O,
ua-1027,3,9,вони,,вони,Pp-3--pnn,PRON,O,
ua-1027,3,10,стосуються,,стосуватися,Vmpip3p,VERB,O,
ua-1027,3,11,майбутнього,,майбутній,Ao-msgf,ADJ,O,
ua-1027,3,12,цієї,,цей,Pd--f-sga,DET,O,
ua-1027,3,13,країни,,країна,Ncfsgn,NOUN,O,
ua-1027,3,14,",",,",",U,PUNCT,O,
ua-1027,3,15,сказала,,сказати,Vmeis-sf,VERB,O,
ua-1027,3,16,Мей,Мей,Мей,Npfsny,PROPN,B-PER,PER-Theresa-May
ua-1027,3,17,.,,.,U,PUNCT,O,
ua-1027,4,1,Вона,,вона,Pp-3f-snn,PRON,O,
ua-1027,4,2,зазначила,,зазначити,Vmeis-sf,VERB,O,
ua-1027,4,3,",",,",",U,PUNCT,O,
ua-1027,4,4,що,,що,Css,SCONJ,O,
ua-1027,4,5,переговори,,переговори,Nc-pnn,NOUN,O,
ua-1027,4,6,досі,,досі,Pd------r,ADV,O,
ua-1027,4,7,тривають,,тривати,Vmpip3p,VERB,O,
ua-1027,4,8,",",,",",U,PUNCT,O,
ua-1027,4,9,щоб,,щоб,Css,SCONJ,O,
ua-1027,4,10,докладніше,,докладніше,Rc,ADV,O,
ua-1027,4,11,врахувати,,врахувати,Vmen,VERB,O,
ua-1027,4,12,всі,,весь,Pg---npaa,DET,O,
ua-1027,4,13,пропозиції,,пропозиція,Ncfpan,NOUN,O,
ua-1027,4,14,у,,у,Spsl,ADP,O,
ua-1027,4,15,майбутній,,майбутній,Ao-fslf,ADJ,O,
ua-1027,4,16,угоді,,угода,Ncfsln,NOUN,O,
ua-1027,4,17,.,,.,U,PUNCT,O,
ua-1027,5,1,Через,,через,Spsa,ADP,O,
ua-1027,5,2,тиждень,,тиждень,Ncmsan,NOUN,O,
ua-1027,5,3,має,,мати,Vmpip3s,VERB,O,
ua-1027,5,4,відбутися,,відбутися,Vmen,VERB,O,
ua-1027,5,5,позачерговий,,позачерговий,Ao-msnf,ADJ,O,
ua-1027,5,6,саміт,,саміт,Ncmsnn,NOUN,O,
ua-1027,5,7,",",,",",U,PUNCT,O,
ua-1027,5,8,присвячений,,присвячений,Ap-msnf-ep,ADJ,O,
ua-1027,5,9,завершенню,,завершення,Ncnsdn,NOUN,O,
ua-1027,5,10,роботи,,робота,Ncfsgn,NOUN,O,
ua-1027,5,11,над,,над,Spsi,ADP,O,
ua-1027,5,12,угодою,,угода,Ncfsin,NOUN,O,
ua-1027,5,13,щодо,,щодо,Spsg,ADP,O,
ua-1027,5,14,Brexit,Brexit,Brexit,X,X,B-EVT,EVT-Brexit
ua-1027,5,15,.,,.,U,PUNCT,O,
ua-1027,6,1,На,,на,Spsa,ADP,O,
ua-1027,6,2,запитання,,запитання,Ncnsan,NOUN,O,
ua-1027,6,3,",",,",",U,PUNCT,O,
ua-1027,6,4,чи,,чи,Ccs,CCONJ,O,
ua-1027,6,5,отримав,,отримати,Vmeis-sm,VERB,O,
ua-1027,6,6,Комітет,,комітет,Ncmsan,NOUN,O,
ua-1027,6,7,1922,,1922,Mlomsg,ADJ,O,
ua-1027,6,8,необхідну,,необхідний,Afpfsas,ADJ,O,
ua-1027,6,9,кількість,,кількість,Ncfsan,NOUN,O,
ua-1027,6,10,листів,,лист,Ncmpgn,NOUN,O,
ua-1027,6,11,від,,від,Spsg,ADP,O,
ua-1027,6,12,депутатів,,депутат,Ncmpgy,NOUN,O,
ua-1027,6,13,Консервативної,,консервативний,Afpfsgf,ADJ,O,
ua-1027,6,14,партії,,партія,Ncfsgn,NOUN,O,
ua-1027,6,15,",",,",",U,PUNCT,O,
ua-1027,6,16,щоб,,щоб,Css,SCONJ,O,
ua-1027,6,17,провести,,провести,Vmen,VERB,O,
ua-1027,6,18,голосування,,голосування,Ncnsan,NOUN,O,
ua-1027,6,19,за,,за,Spsa,ADP,O,
ua-1027,6,20,недовіру,,недовір,Ncfsan,NOUN,O,
ua-1027,6,21,",",,",",U,PUNCT,O,
ua-1027,6,22,Мей,Мей,Мей,Npfsny,PROPN,B-PER,PER-Theresa-May
ua-1027,6,23,відповіла,,відповісти,Vmeis-sf,VERB,O,
ua-1027,6,24,:,,:,U,PUNCT,O,
ua-1027,7,1,Наскільки,,наскільки,R,ADV,O,
ua-1027,7,2,я,,я,Pp-1-ysnn,PRON,O,
ua-1027,7,3,знаю,,знати,Vmpip1s,VERB,O,
ua-1027,7,4,",",,",",U,PUNCT,O,
ua-1027,7,5,ні,,ні,I,INTJ,O,
ua-1027,7,6,.,,.,U,PUNCT,O,
ua-1027,8,1,Частина,,частина,Ncfsnn,NOUN,O,
ua-1027,8,2,консерваторів,,консерватор,Ncmpgy,NOUN,O,
ua-1027,8,3,незадоволені,,незадоволений,Ap--pns-ep,ADJ,O,
ua-1027,8,4,проектом,,проект,Ncmsin,NOUN,O,
ua-1027,8,5,угоди,,угода,Ncfsgn,NOUN,O,
ua-1027,8,6,щодо,,щодо,Spsg,ADP,O,
ua-1027,8,7,виходу,,вихід,Ncmsgn,NOUN,O,
ua-1027,8,8,Британії,Британія,Британія,Npfsgn,PROPN,B-LOC,GPE-Great-Britain
ua-1027,8,9,з,,з,Spsg,ADP,O,
ua-1027,8,10,ЄС,ЄС,ЄС,Y,PROPN,B-LOC,ORG-European-Union
ua-1027,8,11,",",,",",U,PUNCT,O,
ua-1027,8,12,текст,,текст,Ncmsnn,NOUN,O,
ua-1027,8,13,якої,,який,Pr--f-sga,DET,O,
ua-1027,8,14,цього,,цей,Pd--m-sga,DET,O,
ua-1027,8,15,тижня,,тиждень,Ncmsgn,NOUN,O,
ua-1027,8,16,затвердив,,затвердити,Vmeis-sm,VERB,O,
ua-1027,8,17,британський,,британський,Ao-msafn,ADJ,O,
ua-1027,8,18,уряд,,уряд,Ncmsan,NOUN,O,
ua-1027,8,19,.,,.,U,PUNCT,O,
