docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-12,0,1,Theresa,Theresa,Theresa,NNFS1-----A----,PROPN,B-PER,PER-Theresa-May
cs-12,0,2,Mayová,Mayová,Mayová,NNFS1-----A----,PROPN,I-PER,PER-Theresa-May
cs-12,0,3,s,,s,RR--7----------,ADP,O,
cs-12,0,4,brexitem,brexit,brexit,NNIS7-----A----,NOUN,B-EVT,EVT-Brexit
cs-12,0,5,v,,v,RR--6----------,ADP,O,
cs-12,0,6,patách,,pata,NNFP6-----A----,NOUN,O,
cs-12,1,1,Hlavní,,hlavní,AAFS1----1A----,ADJ,O,
cs-12,1,2,potíž,,potíž,NNFS1-----A----,NOUN,O,
cs-12,1,3,brexitu,brexit,brexit,NNIS2-----A----,NOUN,B-EVT,EVT-Brexit
cs-12,1,4,je,,být,VB-S---3P-AA---,AUX,O,
cs-12,1,5,to,,ten,PDNS1----------,DET,O,
cs-12,1,6,",",,",",Z:-------------,PUNCT,O,
cs-12,1,7,že,,že,"J,-------------",SCONJ,O,
cs-12,1,8,až,,až,TT-------------,PART,O,
cs-12,1,9,dosud,,dosud,Db-------------,ADV,O,
cs-12,1,10,se,,se,P7-X4----------,PRON,O,
cs-12,1,11,nic,,nic,PW--1----------,PRON,O,
cs-12,1,12,jiného,,jiný,AANS2----1A----,ADJ,O,
cs-12,1,13,než,,než,"J,-------------",SCONJ,O,
cs-12,1,14,potíže,,potíž,NNFP4-----A----,NOUN,O,
cs-12,1,15,s,,s,RR--7----------,ADP,O,
cs-12,1,16,ním,,on,P5ZS7--3-------,PRON,O,
cs-12,1,17,nedalo,,dát,VpNS---XR-NA---,VERB,O,
cs-12,1,18,spojit,,spojit,Vf--------A----,VERB,O,
cs-12,1,19,.,,.,Z:-------------,PUNCT,O,
cs-12,2,1,Hlavní,,hlavní,AAMS1----1A----,ADJ,O,
cs-12,2,2,unijní,,unijní,AAMS1----1A----,ADJ,O,
cs-12,2,3,vyjednávač,,vyjednávač,NNMS1-----A----,NOUN,O,
cs-12,2,4,Michel,Michel,Michel,NNMS1-----A----,PROPN,B-PER,PER-Michel-Barnier
cs-12,2,5,Barnier,Barnier,Barnier,NNMS1-----A----,PROPN,I-PER,PER-Michel-Barnier
cs-12,2,6,upozorňuje,,upozorňovat,VB-S---3P-AA---,VERB,O,
cs-12,2,7,",",,",",Z:-------------,PUNCT,O,
cs-12,2,8,že,,že,"J,-------------",SCONJ,O,
cs-12,2,9,kdo,,kdo,PKM-1----------,PRON,O,
cs-12,2,10,chce,,chtít,VB-S---3P-AA---,VERB,O,
cs-12,2,11,úplně,,úplně,Dg-------1A----,ADV,O,
cs-12,2,12,odejít,,odejít,Vf--------A----,VERB,O,
cs-12,2,13,",",,",",Z:-------------,PUNCT,O,
cs-12,2,14,nemůže,,moci,VB-S---3P-NA---,VERB,O,
cs-12,2,15,počítat,,počítat,Vf--------A----,VERB,O,
cs-12,2,16,s,,s,RR--7----------,ADP,O,
cs-12,2,17,dosavadními,,dosavadní,AAFP7----1A----,ADJ,O,
cs-12,2,18,výhodami,,výhoda,NNFP7-----A----,NOUN,O,
cs-12,2,19,.,,.,Z:-------------,PUNCT,O,
cs-12,3,1,Britská,,britský,AAFS1----1A----,ADJ,O,
cs-12,3,2,premiérka,,premiérka,NNFS1-----A----,NOUN,O,
cs-12,3,3,při,,při,RR--6----------,ADP,O,
cs-12,3,4,nedávné,,dávný,AAFS6----1N----,ADJ,O,
cs-12,3,5,návštěvě,,návštěva,NNFS6-----A----,NOUN,O,
cs-12,3,6,Číny,Čína,Čína,NNFS2-----A----,PROPN,B-LOC,GPE-China
cs-12,3,7,svým,,svůj,P8XP3----------,DET,O,
cs-12,3,8,hostitelům,,hostitel,NNMP3-----A----,NOUN,O,
cs-12,3,9,neustupovala,,ustupovat,VpQW---XR-NA---,VERB,O,
cs-12,3,10,.,,.,Z:-------------,PUNCT,O,
cs-12,4,1,Ne,,ne,TT-------------,PART,O,
cs-12,4,2,proto,,proto,Db-------------,ADV,O,
cs-12,4,3,",",,",",Z:-------------,PUNCT,O,
cs-12,4,4,že,,že,"J,-------------",SCONJ,O,
cs-12,4,5,by,,být,Vc-------------,AUX,O,
cs-12,4,6,byla,,být,VpQW---XR-AA---,AUX,O,
cs-12,4,7,dost,,dost,Dg-------1A----,ADV,O,
cs-12,4,8,silná,,silný,AAFS1----1A----,ADJ,O,
cs-12,4,9,",",,",",Z:-------------,PUNCT,O,
cs-12,4,10,ale,,ale,J^-------------,CCONJ,O,
cs-12,4,11,proto,,proto,Db-------------,ADV,O,
cs-12,4,12,",",,",",Z:-------------,PUNCT,O,
cs-12,4,13,že,,že,"J,-------------",SCONJ,O,
cs-12,4,14,její,,jeho,PSFSXFS3-------,DET,O,
cs-12,4,15,domácí,,domácí,AAFS1----1A----,ADJ,O,
cs-12,4,16,pozice,,pozice,NNFS1-----A----,NOUN,O,
cs-12,4,17,je,,být,VB-S---3P-AA---,AUX,O,
cs-12,4,18,tak,,tak,Db-------------,ADV,O,
cs-12,4,19,slabá,,slabý,AAFS1----1A----,ADJ,O,
cs-12,4,20,",",,",",Z:-------------,PUNCT,O,
cs-12,4,21,že,,že,"J,-------------",SCONJ,O,
cs-12,4,22,si,,se,P7-X3----------,PRON,O,
cs-12,4,23,nemohla,,moci,VpQW---XR-NA---,VERB,O,
cs-12,4,24,dovolit,,dovolit,Vf--------A----,VERB,O,
cs-12,4,25,jako,,jako,"J,-------------",SCONJ,O,
cs-12,4,26,slabá,,slabý,AAFS1----1A----,ADJ,O,
cs-12,4,27,vypadat,,vypadat,Vf--------A----,VERB,O,
cs-12,4,28,.,,.,Z:-------------,PUNCT,O,
cs-12,5,1,Kdyžby,,když být,"J,------------- Vc-------------",SCONJ AUX,O,
cs-12,5,3,si,,se,P7-X3----------,PRON,O,
cs-12,5,4,vikářova,,vikářův,AUFS1M---------,ADJ,O,
cs-12,5,5,dcera,,dcera,NNFS1-----A----,NOUN,O,
cs-12,5,6,vedla,,vést,VpQW---XR-AA---,VERB,O,
cs-12,5,7,deník,,deník,NNIS4-----A----,NOUN,O,
cs-12,5,8,",",,",",Z:-------------,PUNCT,O,
cs-12,5,9,od,,od,RR--2----------,ADP,O,
cs-12,5,10,doby,,doba,NNFS2-----A----,NOUN,O,
cs-12,5,11,",",,",",Z:-------------,PUNCT,O,
cs-12,5,12,kdy,,kdy,Db-------------,ADV,O,
cs-12,5,13,se,,se,P7-X4----------,PRON,O,
cs-12,5,14,Theresa,Theresa,Theresa,NNFS1-----A----,PROPN,B-PER,PER-Theresa-May
cs-12,5,15,Mayová,Mayová,Mayová,NNFS1-----A----,PROPN,I-PER,PER-Theresa-May
cs-12,5,16,stala,,stát,VpQW---XR-AA---,VERB,O,
cs-12,5,17,historicky,,historicky,Dg-------1A----,ADV,O,
cs-12,5,18,druhou,,druhý,CrFS7----------,ADJ,O,
cs-12,5,19,britskou,,britský,AAFS7----1A----,ADJ,O,
cs-12,5,20,premiérkou,,premiérka,NNFS7-----A----,NOUN,O,
cs-12,5,21,",",,",",Z:-------------,PUNCT,O,
cs-12,5,22,by,,být,Vc-------------,AUX,O,
cs-12,5,23,se,,se,P7-X4----------,PRON,O,
cs-12,5,24,na,,na,RR--6----------,ADP,O,
cs-12,5,25,jeho,,jeho,PSXXXZS3-------,DET,O,
cs-12,5,26,stránkách,,stránka,NNFP6-----A----,NOUN,O,
cs-12,5,27,nejčastěji,,často,Dg-------3A----,ADV,O,
cs-12,5,28,vyskytovalo,,vyskytovat,VpNS---XR-AA---,VERB,O,
cs-12,5,29,slovo,,slovo,NNNS1-----A----,NOUN,O,
cs-12,5,30,brexit,brexit,brexit,NNIS1-----A----,NOUN,B-EVT,EVT-Brexit
cs-12,5,31,.,,.,Z:-------------,PUNCT,O,
cs-12,6,1,A,,a,J^-------------,CCONJ,O,
cs-12,6,2,hlavní,,hlavní,AAFS1----1A----,ADJ,O,
cs-12,6,3,potíž,,potíž,NNFS1-----A----,NOUN,O,
cs-12,6,4,brexitu,brexit,brexit,NNIS2-----A----,NOUN,B-EVT,EVT-Brexit
cs-12,6,5,je,,být,VB-S---3P-AA---,AUX,O,
cs-12,6,6,to,,ten,PDNS1----------,DET,O,
cs-12,6,7,",",,",",Z:-------------,PUNCT,O,
cs-12,6,8,že,,že,"J,-------------",SCONJ,O,
cs-12,6,9,až,,až,TT-------------,PART,O,
cs-12,6,10,dosud,,dosud,Db-------------,ADV,O,
cs-12,6,11,se,,se,P7-X4----------,PRON,O,
cs-12,6,12,s,,s,RR--7----------,ADP,O,
cs-12,6,13,ním,,on,P5ZS7--3-------,PRON,O,
cs-12,6,14,nic,,nic,PW--4----------,PRON,O,
cs-12,6,15,jiného,,jiný,AANS2----1A----,ADJ,O,
cs-12,6,16,než,,než,"J,-------------",SCONJ,O,
cs-12,6,17,potíže,,potíž,NNFP4-----A----,NOUN,O,
cs-12,6,18,nedalo,,dát,VpNS---XR-NA---,VERB,O,
cs-12,6,19,spojit,,spojit,Vf--------A----,VERB,O,
cs-12,6,20,.,,.,Z:-------------,PUNCT,O,
cs-12,7,1,Je,,být,VB-S---3P-AA---,AUX,O,
cs-12,7,2,jen,,jen,TT-------------,PART,O,
cs-12,7,3,malou,,malý,AAFS7----1A----,ADJ,O,
cs-12,7,4,útěchou,,útěcha,NNFS7-----A----,NOUN,O,
cs-12,7,5,",",,",",Z:-------------,PUNCT,O,
cs-12,7,6,že,,že,"J,-------------",SCONJ,O,
cs-12,7,7,pokud,,pokud,"J,-------------",SCONJ,O,
cs-12,7,8,dojde,,dojít,VB-S---3P-AA---,VERB,O,
cs-12,7,9,k,,k,RR--3----------,ADP,O,
cs-12,7,10,odchodu,,odchod,NNIS3-----A----,NOUN,O,
cs-12,7,11,ze,,z,RV--2----------,ADP,O,
cs-12,7,12,společného,,společný,AAIS2----1A----,ADJ,O,
cs-12,7,13,trhu,,trh,NNIS2-----A----,NOUN,O,
cs-12,7,14,a,,a,J^-------------,CCONJ,O,
cs-12,7,15,vzniku,,vznik,NNIS2-----A----,NOUN,O,
cs-12,7,16,obchodních,,obchodní,AAFP2----1A----,ADJ,O,
cs-12,7,17,bariér,,bariéra,NNFP2-----A----,NOUN,O,
cs-12,7,18,",",,",",Z:-------------,PUNCT,O,
cs-12,7,19,například,,například,Db-------------,ADV,O,
cs-12,7,20,cel,,clo,NNNP2-----A----,NOUN,O,
cs-12,7,21,či,,či,J^-------------,CCONJ,O,
cs-12,7,22,odlišných,,odlišný,AAFP2----1A----,ADJ,O,
cs-12,7,23,norem,,norma,NNFP2-----A----,NOUN,O,
cs-12,7,24,",",,",",Z:-------------,PUNCT,O,
cs-12,7,25,problémy,,problém,NNIP1-----A----,NOUN,O,
