docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
bg-112,0,1,Швейцарски,,швейцарски,Amsi,ADJ,O,
bg-112,0,2,съд,,съд,Ncmsi,NOUN,O,
bg-112,0,3,е,,съм,Vxitf-r3s,AUX,O,
bg-112,0,4,блокирал,,блокирам,Vpptcao-smi,VERB,O,
bg-112,0,5,плащания,,плащане,Ncnpi,NOUN,O,
bg-112,0,6,по,,по,R,ADP,O,
bg-112,0,7,"""",,"""",punct,PUNCT,O,
bg-112,0,8,Северен,Северен,северен,Amsi,ADJ,B-PRO,PRO-Nord-Stream-1
bg-112,0,9,поток,поток,поток,Ncmsi,NOUN,I-PRO,PRO-Nord-Stream-1
bg-112,0,10,"""",,"""",punct,PUNCT,O,
bg-112,0,11,към,,към,R,ADP,O,
bg-112,0,12,Газпром,Газпром,газпром,Npmsi,PROPN,B-ORG,ORG-Gazprom
bg-112,1,1,Швейцарски,,швейцарски,Amsi,ADJ,O,
bg-112,1,2,съд,,съд,Ncmsi,NOUN,O,
bg-112,1,3,е,,съм,Vxitf-r3s,AUX,O,
bg-112,1,4,издал,,издая,Vpptcao-smi,VERB,O,
bg-112,1,5,разпореждане,,разпореждане,Ncnsi,NOUN,O,
bg-112,1,6,",",,",",punct,PUNCT,O,
bg-112,1,7,което,,който,Pre-os-n,PRON,O,
bg-112,1,8,забранява,,забранявам,Vpitf-r3s,VERB,O,
bg-112,1,9,на,,на,R,ADP,O,
bg-112,1,10,операторите,,оператор,Ncmpd,NOUN,O,
bg-112,1,11,на,,на,R,ADP,O,
bg-112,1,12,газопровода,,газопровод,Ncmsh,NOUN,O,
bg-112,2,1,Северен,Северен,северен,Amsi,ADJ,B-PRO,PRO-Nord-Stream-1
bg-112,2,2,поток“,поток,поток,Ncmsi,NOUN,I-PRO,PRO-Nord-Stream-1
bg-112,2,3,да,,да,Tx,AUX,O,
bg-112,2,4,правят,,правя-(се),Vpitf-r3p,VERB,O,
bg-112,2,5,плащания,,плащане,Ncnpi,NOUN,O,
bg-112,2,6,на,,на,R,ADP,O,
bg-112,2,7,Газпром,Газпром,газпром,Npmsi,PROPN,B-ORG,ORG-Gazprom
bg-112,2,8,като,,като,R,ADP,O,
bg-112,2,9,част,,част,Ncfsi,NOUN,O,
bg-112,2,10,от,,от,R,ADP,O,
bg-112,2,11,правен,,правя-(се),Vpitcv--smi,ADJ,O,
bg-112,2,12,спор,,спор,Ncmsi,NOUN,O,
bg-112,2,13,между,,между,R,ADP,O,
bg-112,2,14,руския,Русия,руски,Amsh,ADJ,B-LOC,GPE-Russia
bg-112,2,15,производител,,производител,Ncmsi,NOUN,O,
bg-112,2,16,на,,на,R,ADP,O,
bg-112,2,17,газ,,газ,Ncmsi,NOUN,O,
bg-112,2,18,и,,и,Cp,CCONJ,O,
bg-112,2,19,украинската,,украински,Afsd,ADJ,O,
bg-112,2,20,Нафтогаз,Нафтогаз,нафтогаз,Ncfsi,NOUN,B-ORG,ORG-Naftogaz
bg-112,2,21,",",,",",punct,PUNCT,O,
bg-112,2,22,съобщи,,съобщя,Vpptf-o3s,VERB,O,
bg-112,2,23,Газпром,Газпром,газпром,Npmsi,PROPN,B-ORG,ORG-Gazprom
bg-112,2,24,",",,",",punct,PUNCT,O,
bg-112,2,25,цитирана,,цитирам,Vpptcv--sfi,ADJ,O,
bg-112,2,26,от,,от,R,ADP,O,
bg-112,2,27,Ройтерс,Ройтерс,ройтерс,Npmsi,PROPN,B-ORG,ORG-Reuters
bg-112,2,28,.,,.,punct,PUNCT,O,
bg-112,3,1,Всички,,всеки,Pce-op,DET,O,
bg-112,3,2,плащания,,плащане,Ncnpi,NOUN,O,
bg-112,3,3,от,,от,R,ADP,O,
bg-112,3,4,Nord,Nord,nord,Npnsi,PROPN,B-ORG,ORG-Nord-Stream-AG
bg-112,3,5,Stream,Stream,stream,Npmsi,PROPN,I-ORG,ORG-Nord-Stream-AG
bg-112,3,6,AG,AG,ag,Npmsi,PROPN,I-ORG,ORG-Nord-Stream-AG
bg-112,3,7,и,,и,Cp,CCONJ,O,
bg-112,3,8,Nord,Nord,nord,Np,PROPN,B-ORG,ORG-Nord-Stream-2-AG
bg-112,3,9,Stream,Stream,stream,Npmsi,PROPN,I-ORG,ORG-Nord-Stream-2-AG
bg-112,3,10,2,2,2,M,PROPN,I-ORG,ORG-Nord-Stream-2-AG
bg-112,3,11,AG,AG,ag,Npmsi,PROPN,I-ORG,ORG-Nord-Stream-2-AG
bg-112,3,12,към,,към,R,ADP,O,
bg-112,3,13,Газпром,Газпром,газпром,Npmsi,PROPN,B-ORG,ORG-Gazprom
bg-112,3,14,ще,,ще,Tx,AUX,O,
bg-112,3,15,бъдат,,бъда,Vyptf-r3p,AUX,O,
bg-112,3,16,насочени,,насоча-(се),Vpptcv--p-i,VERB,O,
bg-112,3,17,към,,към,R,ADP,O,
bg-112,3,18,швейцарски,,швейцарски,A-pi,ADJ,O,
bg-112,3,19,съдебни,,съдебен,A-pi,ADJ,O,
bg-112,3,20,изпълнители,,изпълнител,Ncmpi,NOUN,O,
bg-112,3,21,",",,",",punct,PUNCT,O,
bg-112,3,22,казва,,казвам-(се),Vpitf-r3s,VERB,O,
bg-112,3,23,Газпром,Газпром,газпром,Npmsi,PROPN,B-ORG,ORG-Gazprom
bg-112,3,24,в,,в,R,ADP,O,
bg-112,3,25,програма,,програма,Ncfsi,NOUN,O,
bg-112,3,26,за,,за,R,ADP,O,
bg-112,3,27,емитиране,,емитиране,Ncnsi,NOUN,O,
bg-112,3,28,на,,на,R,ADP,O,
bg-112,3,29,еврооблигации,,еврооблигация,Ncfpi,NOUN,O,
bg-112,3,30,от,,от,R,ADP,O,
bg-112,3,31,9,,девети,Momsi,ADJ,O,
bg-112,3,32,ноември,,ноември,Ncmsi,NOUN,O,
bg-112,3,33,.,,.,punct,PUNCT,O,
bg-112,4,1,Газпром,Газпром,газпром,Npmsi,PROPN,B-ORG,ORG-Gazprom
bg-112,4,2,възнамерява,,възнамерявам,Vpiif-r3s,VERB,O,
bg-112,4,3,да,,да,Tx,AUX,O,
bg-112,4,4,оспорва,,оспорвам,Vpitf-r3s,VERB,O,
bg-112,4,5,разпореждането,,разпореждане,Ncnsd,NOUN,O,
bg-112,4,6,в,,в,R,ADP,O,
bg-112,4,7,съда,,съд,Ncmsh,NOUN,O,
bg-112,4,8,",",,",",punct,PUNCT,O,
bg-112,4,9,съобщава,,съобщавам,Vpitf-r3s,VERB,O,
bg-112,4,10,агенция,,агенция,Ncfsi,NOUN,O,
bg-112,4,11,ТАСС,ТАСС,тасс,Npfsi,PROPN,B-ORG,ORG-TASS-Agency
bg-112,4,12,",",,",",punct,PUNCT,O,
bg-112,4,13,цитирайки,,цитирайкя-(се),Vpptz--2s,VERB,O,
bg-112,4,14,председателя,,председател,Ncmsh,NOUN,O,
bg-112,4,15,на,,на,R,ADP,O,
