docId,sentenceId,tokenId,text,lemma,ner,clID
bg-59,0,1,"""",,O,
bg-59,0,2,Газпром,Газпром,B-ORG,ORG-Gazprom
bg-59,0,3,"""",,O,
bg-59,0,4,заложил,,O,
bg-59,0,5,"""",,O,
bg-59,0,6,Северен,Северен,B-PRO,PRO-Nord-Stream-2
bg-59,0,7,поток,поток,I-PRO,PRO-Nord-Stream-2
bg-59,0,8,2,2,I-PRO,PRO-Nord-Stream-2
bg-59,0,9,"""",,O,
bg-59,0,10,в,,O,
bg-59,0,11,Лондон,Лондон,B-LOC,GPE-London
bg-59,1,1,Руският,,O,
bg-59,1,2,държавен,,O,
bg-59,1,3,доставчик,,O,
bg-59,1,4,"""",,O,
bg-59,1,5,Газпром,Газпром,B-ORG,ORG-Gazprom
bg-59,1,6,"""",,O,
bg-59,1,7,е,,O,
bg-59,1,8,заложил,,O,
bg-59,1,9,акциите,,O,
bg-59,1,10,на,,O,
bg-59,1,11,проектната,,O,
bg-59,1,12,си,,O,
bg-59,1,13,компания,,O,
bg-59,1,14,Nord,Nord,B-ORG,ORG-Nord-Stream-2-AG
bg-59,1,15,Stream,Stream,I-ORG,ORG-Nord-Stream-2-AG
bg-59,1,16,2,2,I-ORG,ORG-Nord-Stream-2-AG
bg-59,1,17,AG,AG,I-ORG,ORG-Nord-Stream-2-AG
bg-59,1,18,.,,O,
bg-59,2,1,По,,O,
bg-59,2,2,този,,O,
bg-59,2,3,начин,,O,
bg-59,2,4,руснаците,руснаци,B-PER,GPE-Russia
bg-59,2,5,са,,O,
bg-59,2,6,осигурили,,O,
bg-59,2,7,финансиране,,O,
bg-59,2,8,на,,O,
bg-59,2,9,газовия,,O,
bg-59,2,10,проект,,O,
bg-59,2,11,"""",,O,
bg-59,2,12,Северен,Северен,B-PRO,PRO-Nord-Stream-2
bg-59,2,13,поток,поток,I-PRO,PRO-Nord-Stream-2
bg-59,2,14,2,2,I-PRO,PRO-Nord-Stream-2
bg-59,2,15,"""",,O,
bg-59,2,16,.,,O,
bg-59,3,1,Акциите,,O,
bg-59,3,2,са,,O,
bg-59,3,3,заложени,,O,
bg-59,3,4,в,,O,
bg-59,3,5,британската,,O,
bg-59,3,6,финансово-кредитна,,O,
bg-59,3,7,агенция,,O,
bg-59,3,8,Glas,Glas,B-ORG,ORG-Glas-Trust-Company
bg-59,3,9,Trust,Trust,I-ORG,ORG-Glas-Trust-Company
bg-59,3,10,през,,O,
bg-59,3,11,август,,O,
bg-59,3,12,миналата,,O,
bg-59,3,13,година,,O,
bg-59,3,14,.,,O,
bg-59,4,1,"""",,O,
bg-59,4,2,Газпром,Газпром,B-ORG,ORG-Gazprom
bg-59,4,3,"""",,O,
bg-59,4,4,е,,O,
bg-59,4,5,получил,,O,
bg-59,4,6,90,,O,
bg-59,4,7,млрд.,,O,
bg-59,4,8,рубли,,O,
bg-59,4,9,",",,O,
bg-59,4,10,като,,O,
bg-59,4,11,срокът,,O,
bg-59,4,12,на,,O,
bg-59,4,13,залога,,O,
bg-59,4,14,е,,O,
bg-59,4,15,до,,O,
bg-59,4,16,2038,,O,
bg-59,4,17,г.,,O,
bg-59,4,18,",",,O,
bg-59,4,19,съобщава,,O,
bg-59,4,20,руското,,O,
bg-59,4,21,делово,,O,
bg-59,4,22,издание,,O,
bg-59,4,23,"""",,O,
bg-59,4,24,Комерсант,Комерсант,B-PRO,PRO-Kommersant
bg-59,4,25,"""",,O,
bg-59,4,26,.,,O,
bg-59,5,1,Средствата,,O,
bg-59,5,2,",",,O,
bg-59,5,3,необходими,,O,
bg-59,5,4,за,,O,
bg-59,5,5,изграждането,,O,
