docId,sentenceId,tokenId,text,lemma,ner,clID
cs-30000,0,1,Setkání,,O,
cs-30000,0,2,slovenského,Slovensko,B-LOC,GPE-Slovakia
cs-30000,0,3,premiéra,,O,
cs-30000,0,4,Petera,Peter,B-PER,PER-Peter-Pellegrini
cs-30000,0,5,Pellegriniho,Pellegrini,I-PER,PER-Peter-Pellegrini
cs-30000,0,6,s,,O,
cs-30000,0,7,Donaldem,Donald,B-PER,PER-Donald-Trump
cs-30000,0,8,Trumpem,Trump,I-PER,PER-Donald-Trump
cs-30000,0,9,v,,O,
cs-30000,0,10,Bílém,Bílý,B-LOC,LOC-White-House
cs-30000,0,11,domě,dům,I-LOC,LOC-White-House
cs-30000,1,1,Marček,Marček,B-PER,PER-Peter-Marcek
cs-30000,1,2,nikoho,,O,
cs-30000,1,3,nešetřil,,O,
cs-30000,1,4,:,,O,
cs-30000,1,5,Chování,,O,
cs-30000,1,6,Pellegriniho,Pellegrini,B-PER,PER-Peter-Pellegrini
cs-30000,1,7,v,,O,
cs-30000,1,8,Bílém,Bílý,B-LOC,LOC-White-House
cs-30000,1,9,domě,dům,I-LOC,LOC-White-House
cs-30000,1,10,bylo,,O,
cs-30000,1,11,až,,O,
cs-30000,1,12,nedůstojné,,O,
cs-30000,1,13,a,,O,
cs-30000,1,14,směšné,,O,
cs-30000,1,15,.,,O,
cs-30000,2,1,Trump,Trump,B-PER,PER-Donald-Trump
cs-30000,2,2,káže,,O,
cs-30000,2,3,vodu,,O,
cs-30000,2,4,a,,O,
cs-30000,2,5,pije,,O,
cs-30000,2,6,víno,,O,
cs-30000,3,1,V,,O,
cs-30000,3,2,pátek,,O,
cs-30000,3,3,zástupce,,O,
cs-30000,3,4,Slovenska,Slovensko,B-LOC,GPE-Slovakia
cs-30000,3,5,po,,O,
cs-30000,3,6,13,,O,
cs-30000,3,7,letech,,O,
cs-30000,3,8,znovu,,O,
cs-30000,3,9,navštívil,,O,
cs-30000,3,10,Bílý,Bílý,B-LOC,LOC-White-House
cs-30000,3,11,dům,dům,I-LOC,LOC-White-House
cs-30000,3,12,.,,O,
cs-30000,4,1,Předseda,,O,
cs-30000,4,2,slovenské,Slovensko,B-LOC,GPE-Slovakia
cs-30000,4,3,vlády,,O,
cs-30000,4,4,Peter,Peter,B-PER,PER-Peter-Pellegrini
cs-30000,4,5,Pellegrini,Pellegrini,I-PER,PER-Peter-Pellegrini
cs-30000,4,6,slíbil,,O,
cs-30000,4,7,americkému,,O,
cs-30000,4,8,prezidentu,,O,
cs-30000,4,9,Donaldu,Donald,B-PER,PER-Donald-Trump
cs-30000,4,10,Trumpovi,Trump,I-PER,PER-Donald-Trump
cs-30000,4,11,",",,O,
cs-30000,4,12,že,,O,
cs-30000,4,13,Slovensko,Slovensko,B-LOC,GPE-Slovakia
cs-30000,4,14,dosáhne,,O,
cs-30000,4,15,ve,,O,
cs-30000,4,16,vojenských,,O,
cs-30000,4,17,výdajích,,O,
cs-30000,4,18,dvou,,O,
cs-30000,4,19,procent,,O,
cs-30000,4,20,HDP,,O,
cs-30000,4,21,v,,O,
cs-30000,4,22,roce,,O,
cs-30000,4,23,2022,,O,
cs-30000,4,24,",",,O,
cs-30000,4,25,tedy,,O,
cs-30000,4,26,dříve,,O,
cs-30000,4,27,",",,O,
cs-30000,4,28,než,,O,
cs-30000,4,29,se,,O,
cs-30000,4,30,původně,,O,
cs-30000,4,31,předpokládalo,,O,
cs-30000,4,32,.,,O,
cs-30000,5,1,Je,,O,
cs-30000,5,2,zajímavé,,O,
cs-30000,5,3,",",,O,
cs-30000,5,4,že,,O,
cs-30000,5,5,zatím,,O,
cs-30000,5,6,není,,O,
cs-30000,5,7,žadná,,O,
cs-30000,5,8,zmínka,,O,
cs-30000,5,9,o,,O,
cs-30000,5,10,dohodě,,O,
cs-30000,5,11,o,,O,
cs-30000,5,12,spolupráci,,O,
cs-30000,5,13,v,,O,
cs-30000,5,14,obranné,,O,
cs-30000,5,15,sféře,,O,
cs-30000,5,16,",",,O,
cs-30000,5,17,i,,O,
cs-30000,5,18,když,,O,
cs-30000,5,19,Bílý,Bílý,B-LOC,LOC-White-House
cs-30000,5,20,dům,dům,I-LOC,LOC-White-House
cs-30000,5,21,dříve,,O,
cs-30000,5,22,oficiálně,,O,
cs-30000,5,23,oznámil,,O,
cs-30000,5,24,",",,O,
cs-30000,5,25,že,,O,
cs-30000,5,26,i,,O,
cs-30000,5,27,tato,,O,
cs-30000,5,28,otázka,,O,
cs-30000,5,29,bude,,O,
cs-30000,5,30,předmětem,,O,
cs-30000,5,31,rozhovoru,,O,
cs-30000,5,32,.,,O,
cs-30000,6,1,Že,,O,
cs-30000,6,2,by,,O,
cs-30000,6,3,tak,,O,
cs-30000,6,4,důležité,,O,
cs-30000,6,5,téma,,O,
cs-30000,6,6,politici,,O,
cs-30000,6,7,neprobírali,,O,
cs-30000,6,8,",",,O,
cs-30000,6,9,nebo,,O,
cs-30000,6,10,před,,O,
cs-30000,6,11,námi,,O,
cs-30000,6,12,něco,,O,
cs-30000,6,13,tají,,O,
cs-30000,6,14,?,,O,
cs-30000,7,1,Sputnik,Sputnik,B-PRO,PRO-Sputnik
cs-30000,7,2,požádal,,O,
cs-30000,7,3,o,,O,
cs-30000,7,4,komentář,,O,
cs-30000,7,5,poslance,,O,
cs-30000,7,6,Národní,Národní,B-ORG,ORG-Narodni-rada-Slovenske-republiky
cs-30000,7,7,rady,rada,I-ORG,ORG-Narodni-rada-Slovenske-republiky
cs-30000,7,8,Slovenské,Slovenské,I-ORG,ORG-Narodni-rada-Slovenske-republiky
cs-30000,7,9,republiky,republiky,I-ORG,ORG-Narodni-rada-Slovenske-republiky
cs-30000,7,10,a,,O,
cs-30000,7,11,předsedu,,O,
cs-30000,7,12,strany,,O,
cs-30000,7,13,Hlas,Hlas,B-ORG,ORG-Hlas-Ludu-Political-Party
cs-30000,7,14,ľudu,ľudu,I-ORG,ORG-Hlas-Ludu-Political-Party
cs-30000,7,15,Petera,Petera,B-PER,PER-Peter-Marcek
cs-30000,7,16,Marčeka,Marček,I-PER,PER-Peter-Marcek
cs-30000,7,17,.,,O,
