docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
cs-44,0,1,Gazprom,Gazprom,Gazprom,NNIS1-----A----,PROPN,B-ORG,ORG-Gazprom
cs-44,0,2,",",,",",Z:-------------,PUNCT,O,
cs-44,0,3,OMV,OMV,OMV,NNFXX-----A---8,PROPN,B-ORG,ORG-OMV
cs-44,0,4,a,,a,J^-------------,CCONJ,O,
cs-44,0,5,další,,další,AAFP1----1A----,ADJ,O,
cs-44,0,6,.,,.,Z:-------------,PUNCT,O,
cs-44,1,1,Polský,Polský,polský,AAIS1----1A----,ADJ,B-ORG,ORG-Polish-Antimonopoly-Office
cs-44,1,2,antimonopolní,antimonopolní,antimonopolní,AAIS1----1A----,ADJ,I-ORG,ORG-Polish-Antimonopoly-Office
cs-44,1,3,úřad,úřad,úřad,NNIS1-----A----,NOUN,I-ORG,ORG-Polish-Antimonopoly-Office
cs-44,1,4,hrozí,,hrozit,VB-S---3P-AA---,VERB,O,
cs-44,1,5,pokutami,,pokuta,NNFP7-----A----,NOUN,O,
cs-44,1,6,za,,za,RR--4----------,ADP,O,
cs-44,1,7,Nord,Nord,Nord,AAXXX----1A----,ADJ,B-PRO,PRO-Nord-Stream-2
cs-44,1,8,Stream,Stream,Stream,NNISX-----A----,PROPN,I-PRO,PRO-Nord-Stream-2
cs-44,1,9,2,2,2,C=-------------,NUM,I-PRO,PRO-Nord-Stream-2
cs-44,2,1,Polský,Polský,polský,AAIS1----1A----,ADJ,B-ORG,ORG-Polish-Antimonopoly-Office
cs-44,2,2,antimonopolní,antimonopolní,antimonopolní,AAIS1----1A----,ADJ,I-ORG,ORG-Polish-Antimonopoly-Office
cs-44,2,3,úřad,úřad,úřad,NNIS1-----A----,NOUN,I-ORG,ORG-Polish-Antimonopoly-Office
cs-44,2,4,zahájil,,zahájit,VpYS---XR-AA---,VERB,O,
cs-44,2,5,řízení,,řízení,NNNS4-----A----,NOUN,O,
cs-44,2,6,proti,,proti,RR--3----------,ADP,O,
cs-44,2,7,ruské,,ruský,AAFS3----1A----,ADJ,O,
cs-44,2,8,firmě,,firma,NNFS3-----A----,NOUN,O,
cs-44,2,9,Gazprom,Gazprom,Gazprom,NNIS1-----A----,PROPN,B-ORG,ORG-Gazprom
cs-44,2,10,a,,a,J^-------------,CCONJ,O,
cs-44,2,11,dalším,,další,AAFP3----1A----,ADJ,O,
cs-44,2,12,pěti,,pět,Cn-P3----------,NUM,O,
cs-44,2,13,evropským,,evropský,AAFP3----1A----,ADJ,O,
cs-44,2,14,společnostem,,společnost,NNFP3-----A----,NOUN,O,
cs-44,2,15,kvůli,,kvůli,RR--3----------,ADP,O,
cs-44,2,16,financování,,financování,NNNS3-----A----,NOUN,O,
cs-44,2,17,plánovaného,,plánovaný,AAIS2----1A----,ADJ,O,
cs-44,2,18,plynovodu,,plynovod,NNIS2-----A----,NOUN,O,
cs-44,2,19,Nord,Nord,Nord,NNIS1-----A----,PROPN,B-PRO,PRO-Nord-Stream-2
cs-44,2,20,Stream,Stream,Stream,NNIS1-----A----,PROPN,I-PRO,PRO-Nord-Stream-2
cs-44,2,21,2,2,2,C=-------------,NUM,I-PRO,PRO-Nord-Stream-2
cs-44,2,22,",",,",",Z:-------------,PUNCT,O,
cs-44,2,23,který,,který,P4YS1----------,DET,O,
cs-44,2,24,má,,mít,VB-S---3P-AA---,VERB,O,
cs-44,2,25,vést,,vést,Vf--------A----,VERB,O,
cs-44,2,26,z,,z,RR--2----------,ADP,O,
cs-44,2,27,Ruska,Rusko,Rusko,NNNS2-----A----,PROPN,B-LOC,GPE-Russia
cs-44,2,28,po,,po,RR--6----------,ADP,O,
cs-44,2,29,dně,,dno,NNNS6-----A----,NOUN,O,
cs-44,2,30,Baltu,Balt,balt,NNIS2-----A----,PROPN,B-LOC,LOC-Baltic-Sea
cs-44,2,31,do,,do,RR--2----------,ADP,O,
cs-44,2,32,Německa,Německo,Německo,NNNS2-----A----,PROPN,B-LOC,GPE-Germany
cs-44,2,33,.,,.,Z:-------------,PUNCT,O,
cs-44,3,1,Zmíněným,,zmíněný,AAFP3----1A----,ADJ,O,
cs-44,3,2,společnostem,,společnost,NNFP3-----A----,NOUN,O,
cs-44,3,3,podle,,podle,RR--2----------,ADP,O,
cs-44,3,4,polských,,polský,AANP2----1A----,ADJ,O,
cs-44,3,5,médií,,médium,NNNP2-----A----,NOUN,O,
cs-44,3,6,hrozí,,hrozit,VB-S---3P-AA---,VERB,O,
cs-44,3,7,vysoké,,vysoký,AAFP1----1A----,ADJ,O,
cs-44,3,8,pokuty,,pokuta,NNFP1-----A----,NOUN,O,
cs-44,3,9,až,,až,TT-------------,PART,O,
cs-44,3,10,do,,do,RR--2----------,ADP,O,
cs-44,3,11,výše,,výše,NNFS2-----A----,NOUN,O,
cs-44,3,12,deseti,,deset,Cn-P2----------,NUM,O,
cs-44,3,13,procent,,procento,NNNP2-----A----,NOUN,O,
cs-44,3,14,jejich,,jeho,PSXXXXP3-------,DET,O,
