docId,sentenceId,tokenId,text,lemma,ner,clID
cs-71,0,1,Gazprom,Gazprom,B-ORG,ORG-Gazprom
cs-71,0,2,se,,O,
cs-71,0,3,bez,,O,
cs-71,0,4,Ukrajiny,Ukrajina,B-LOC,GPE-Ukraine
cs-71,0,5,neobejde,,O,
cs-71,0,6,?,,O,
cs-71,1,1,Její,,O,
cs-71,1,2,plynovody,,O,
cs-71,1,3,bude,,O,
cs-71,1,4,potřebovat,,O,
cs-71,1,5,i,,O,
cs-71,1,6,v,,O,
cs-71,1,7,2020,,O,
cs-71,2,1,V,,O,
cs-71,2,2,závěru,,O,
cs-71,2,3,roku,,O,
cs-71,2,4,2019,,O,
cs-71,2,5,",",,O,
cs-71,2,6,kdy,,O,
cs-71,2,7,vyprší,,O,
cs-71,2,8,platnost,,O,
cs-71,2,9,dohody,,O,
cs-71,2,10,o,,O,
cs-71,2,11,tranzitu,,O,
cs-71,2,12,ruského,,O,
cs-71,2,13,plynu,,O,
cs-71,2,14,",",,O,
cs-71,2,15,bude,,O,
cs-71,2,16,Gazprom,Gazprom,B-ORG,ORG-Gazprom
cs-71,2,17,s,,O,
cs-71,2,18,to,,O,
cs-71,2,19,posílat,,O,
cs-71,2,20,přes,,O,
cs-71,2,21,Nord,Nord,B-PRO,PRO-Nord-Stream-2
cs-71,2,22,Stream,Stream,I-PRO,PRO-Nord-Stream-2
cs-71,2,23,2,2,I-PRO,PRO-Nord-Stream-2
cs-71,2,24,maximálně,,O,
cs-71,2,25,34,,O,
cs-71,2,26,miliard,,O,
cs-71,2,27,metrů,,O,
cs-71,2,28,krychlových,,O,
cs-71,2,29,plynu,,O,
cs-71,2,30,ročně,,O,
cs-71,2,31,",",,O,
cs-71,2,32,zatímco,,O,
cs-71,2,33,projektovaná,,O,
cs-71,2,34,kapacita,,O,
cs-71,2,35,je,,O,
cs-71,2,36,55,,O,
cs-71,2,37,miliard,,O,
cs-71,2,38,.,,O,
cs-71,3,1,Z,,O,
cs-71,3,2,tohoto,,O,
cs-71,3,3,pohledu,,O,
cs-71,3,4,se,,O,
cs-71,3,5,uzavření,,O,
cs-71,3,6,nové,,O,
cs-71,3,7,smlouvy,,O,
cs-71,3,8,s,,O,
cs-71,3,9,Ukrajinou,Ukrajina,B-LOC,GPE-Ukraine
cs-71,3,10,jeví,,O,
cs-71,3,11,jako,,O,
cs-71,3,12,nevyhnutelné,,O,
cs-71,3,13,.,,O,
cs-71,4,1,Plynovod,,O,
cs-71,4,2,Eugal,Eugal,B-PRO,PRO-Eugal
cs-71,4,3,",",,O,
cs-71,4,4,který,,O,
cs-71,4,5,má,,O,
cs-71,4,6,na,,O,
cs-71,4,7,Nord,Nord,B-PRO,PRO-Nord-Stream-2
cs-71,4,8,Stream,Stream,I-PRO,PRO-Nord-Stream-2
cs-71,4,9,2,2,I-PRO,PRO-Nord-Stream-2
cs-71,4,10,navazovat,,O,
cs-71,4,11,a,,O,
cs-71,4,12,vést,,O,
cs-71,4,13,z,,O,
cs-71,4,14,pobřeží,,O,
cs-71,4,15,Baltského,Baltské,B-LOC,LOC-Baltic-Sea
cs-71,4,16,moře,moře,I-LOC,LOC-Baltic-Sea
cs-71,4,17,do,,O,
cs-71,4,18,Polska,Polsko,B-LOC,GPE-Poland
cs-71,4,19,a,,O,
cs-71,4,20,ČR,ČR,B-LOC,GPE-Czech-Republic
cs-71,4,21,",",,O,
cs-71,4,22,bude,,O,
cs-71,4,23,zřejmě,,O,
cs-71,4,24,dokončen,,O,
cs-71,4,25,až,,O,
cs-71,4,26,v,,O,
cs-71,4,27,závěru,,O,
cs-71,4,28,roku,,O,
cs-71,4,29,2020,,O,
cs-71,4,30,.,,O,
cs-71,5,1,Uvedl,,O,
cs-71,5,2,to,,O,
cs-71,5,3,německý,,O,
cs-71,5,4,provozovatel,,O,
cs-71,5,5,plynovodů,,O,
cs-71,5,6,Gascade,Gascade,B-ORG,ORG-Gascade
cs-71,5,7,",",,O,
cs-71,5,8,stěžejní,,O,
cs-71,5,9,vlastník,,O,
cs-71,5,10,Eugalu,Eugal,B-PRO,PRO-Eugal
cs-71,5,11,.,,O,
cs-71,6,1,V,,O,
cs-71,6,2,roce,,O,
cs-71,6,3,2009,,O,
cs-71,6,4,podepsaly,,O,
cs-71,6,5,Gazprom,Gazprom,B-ORG,ORG-Gazprom
cs-71,6,6,a,,O,
cs-71,6,7,Naftogaz,Naftogaz,B-ORG,ORG-Naftogaz
cs-71,6,8,dvě,,O,
cs-71,6,9,smlouvy,,O,
cs-71,6,10,o,,O,
cs-71,6,11,plynu,,O,
cs-71,6,12,.,,O,
cs-71,7,1,Jedna,,O,
cs-71,7,2,se,,O,
cs-71,7,3,týkala,,O,
cs-71,7,4,dodávek,,O,
cs-71,7,5,ruského,,O,
cs-71,7,6,plynu,,O,
cs-71,7,7,pro,,O,
cs-71,7,8,Ukrajinu,Ukrajina,B-LOC,GPE-Ukraine
cs-71,7,9,a,,O,
cs-71,7,10,druhá,,O,
cs-71,7,11,tranzitu,,O,
cs-71,7,12,ruského,,O,
cs-71,7,13,plynu,,O,
cs-71,7,14,do,,O,
cs-71,7,15,Evropy,Evropa,B-LOC,LOC-Europe
cs-71,7,16,přes,,O,
cs-71,7,17,Ukrajinu,Ukrajina,B-LOC,GPE-Ukraine
cs-71,7,18,.,,O,
cs-71,8,1,Obě,,O,
cs-71,8,2,smlouvy,,O,
cs-71,8,3,jsou,,O,
cs-71,8,4,platné,,O,
cs-71,8,5,do,,O,
cs-71,8,6,31,,O,
cs-71,8,7,.,,O,
cs-71,8,8,prosince,,O,
cs-71,8,9,2019,,O,
cs-71,8,10,.,,O,
cs-71,9,1,Vzhledem,,O,
cs-71,9,2,k,,O,
cs-71,9,3,tomu,,O,
cs-71,9,4,",",,O,
cs-71,9,5,že,,O,
cs-71,9,6,plynovod,,O,
cs-71,9,7,Nord,Nord,B-PRO,PRO-Nord-Stream-2
cs-71,9,8,Stream,Stream,I-PRO,PRO-Nord-Stream-2
cs-71,9,9,2,2,I-PRO,PRO-Nord-Stream-2
cs-71,9,10,nebude,,O,
cs-71,9,11,po,,O,
cs-71,9,12,tomto,,O,
cs-71,9,13,datu,,O,
cs-71,9,14,možné,,O,
cs-71,9,15,plně,,O,
cs-71,9,16,využít,,O,
cs-71,9,17,",",,O,
cs-71,9,18,neexistuje,,O,
cs-71,9,19,ani,,O,
cs-71,9,20,teoretická,,O,
cs-71,9,21,možnost,,O,
cs-71,9,22,",",,O,
cs-71,9,23,že,,O,
cs-71,9,24,by,,O,
cs-71,9,25,Gazprom,Gazprom,B-ORG,ORG-Gazprom
cs-71,9,26,tranzitní,,O,
cs-71,9,27,dohodu,,O,
cs-71,9,28,s,,O,
cs-71,9,29,Ukrajinou,Ukrajina,B-LOC,GPE-Ukraine
cs-71,9,30,minimálně,,O,
cs-71,9,31,na,,O,
cs-71,9,32,rok,,O,
cs-71,9,33,2020,,O,
cs-71,9,34,nepotřeboval,,O,
cs-71,9,35,.,,O,
cs-71,10,1,Gazprom,Gazprom,B-ORG,ORG-Gazprom
cs-71,10,2,zprávu,,O,
cs-71,10,3,odmítl,,O,
cs-71,10,4,komentovat,,O,
cs-71,10,5,.,,O,
cs-71,11,1,Gazprom,Gazprom,B-ORG,ORG-Gazprom
cs-71,11,2,kromě,,O,
cs-71,11,3,projektu,,O,
cs-71,11,4,Nord,Nord,B-PRO,PRO-Nord-Stream-2
cs-71,11,5,Stream,Stream,I-PRO,PRO-Nord-Stream-2
cs-71,11,6,2,2,I-PRO,PRO-Nord-Stream-2
cs-71,11,7,plánuje,,O,
cs-71,11,8,rovněž,,O,
cs-71,11,9,vybudování,,O,
cs-71,11,10,minimálně,,O,
cs-71,11,11,jedné,,O,
cs-71,11,12,větvě,,O,
cs-71,11,13,plynovodu,,O,
cs-71,11,14,TurkStream,TurkStream,B-PRO,PRO-Turkish-Stream
cs-71,11,15,",",,O,
cs-71,11,16,která,,O,
cs-71,11,17,by,,O,
cs-71,11,18,přepravovala,,O,
cs-71,11,19,ruský,,O,
cs-71,11,20,plyn,,O,
cs-71,11,21,do,,O,
cs-71,11,22,jižní,,O,
cs-71,11,23,Evropy,Evropa,B-LOC,LOC-Europe
cs-71,11,24,.,,O,
cs-71,12,1,Podle,,O,
cs-71,12,2,zprávy,,O,
cs-71,12,3,agentury,,O,
cs-71,12,4,Reuters,Reuters,B-ORG,ORG-Reuters
cs-71,12,5,z,,O,
cs-71,12,6,počátku,,O,
cs-71,12,7,března,,O,
cs-71,12,8,se,,O,
cs-71,12,9,mu,,O,
cs-71,12,10,však,,O,
cs-71,12,11,zatím,,O,
cs-71,12,12,nepodařilo,,O,
cs-71,12,13,dosáhnout,,O,
cs-71,12,14,konečné,,O,
cs-71,12,15,dohody,,O,
cs-71,12,16,s,,O,
cs-71,12,17,Tureckem,Turecko,B-LOC,GPE-Turkey
cs-71,12,18,.,,O,
cs-71,13,1,Kromě,,O,
cs-71,13,2,toho,,O,
cs-71,13,3,Bulharsko,Bulharsko,B-LOC,GPE-Bulgaria
cs-71,13,4,",",,O,
cs-71,13,5,Srbsko,Srbsko,B-LOC,GPE-Serbia
cs-71,13,6,a,,O,
cs-71,13,7,Maďarsko,Maďarsko,B-LOC,GPE-Hungary
cs-71,13,8,je,,O,
cs-71,13,9,teprve,,O,
cs-71,13,10,ve,,O,
cs-71,13,11,fázi,,O,
cs-71,13,12,počátku,,O,
cs-71,13,13,výběrových,,O,
cs-71,13,14,řízení,,O,
cs-71,13,15,na,,O,
cs-71,13,16,výstavbu,,O,
cs-71,13,17,.,,O,
