docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-1101,0,1,Premier,,premier,subst:sg:nom:m1,NOUN,O,
pl-1101,0,2,:,,:,interp,PUNCT,O,
pl-1101,0,3,Nord,Nord,Nord,subst:sg:nom:m3,PROPN,B-PRO,PRO-Nord-Stream-2
pl-1101,0,4,Stream,Stream,Stream,subst:sg:nom:m3,PROPN,I-PRO,PRO-Nord-Stream-2
pl-1101,0,5,2,2,2,dig,X,I-PRO,PRO-Nord-Stream-2
pl-1101,0,6,-,,-,interp,PUNCT,O,
pl-1101,0,7,element,,element,subst:sg:nom:m3,NOUN,O,
pl-1101,0,8,szantażu,,szantaż,subst:sg:gen:m3,NOUN,O,
pl-1101,0,9,i,,i,conj,CCONJ,O,
pl-1101,0,10,duże,,duży,adj:sg:nom:n:pos,ADJ,O,
pl-1101,0,11,niebezpieczeństwo,,niebezpieczeństwo,subst:sg:nom:n:ncol,NOUN,O,
pl-1101,0,12,dla,,dla,prep:gen,ADP,O,
pl-1101,0,13,Europy,Europa,Europa,subst:sg:gen:f,PROPN,B-LOC,LOC-Europe
pl-1101,1,1,Coraz,,coraz,adv,ADV,O,
pl-1101,1,2,więcej,,więcej,num:pl:nom:m3:rec,DET,O,
pl-1101,1,3,krajów,,kraj,subst:pl:gen:m3,NOUN,O,
pl-1101,1,4,zdaje,,zdawać,fin:sg:ter:imperf,VERB,O,
pl-1101,1,5,sobie,,siebie,siebie:dat,PRON,O,
pl-1101,1,6,sprawę,,sprawa,subst:sg:acc:f,NOUN,O,
pl-1101,1,7,",",,",",interp,PUNCT,O,
pl-1101,1,8,że,,że,comp,SCONJ,O,
pl-1101,1,9,Nord,Nord,Nord,subst:sg:nom:m3,PROPN,B-PRO,PRO-Nord-Stream-2
pl-1101,1,10,Stream,Stream,Stream,subst:sg:nom:m3,PROPN,I-PRO,PRO-Nord-Stream-2
pl-1101,1,11,2,2,2,dig,X,I-PRO,PRO-Nord-Stream-2
pl-1101,1,12,jest,,być,fin:sg:ter:imperf,AUX,O,
pl-1101,1,13,elementem,,element,subst:sg:inst:m3,NOUN,O,
pl-1101,1,14,geopolityki,,geopolityka,subst:sg:gen:f,NOUN,O,
pl-1101,1,15,rosyjskiej,,rosyjski,adj:sg:gen:f:pos,ADJ,O,
pl-1101,1,16,",",,",",interp,PUNCT,O,
pl-1101,1,17,elementem,,element,subst:sg:inst:m3,NOUN,O,
pl-1101,1,18,szantażu,,szantaż,subst:sg:gen:m3,NOUN,O,
pl-1101,1,19,-,,-,interp,PUNCT,O,
pl-1101,1,20,powiedział,,powiedzieć,praet:sg:m1:perf,VERB,O,
pl-1101,1,21,premier,,premier,subst:sg:nom:m1,NOUN,O,
pl-1101,1,22,Mateusz,Mateusz,Mateusz,subst:sg:nom:m1,PROPN,B-PER,PER-Mateusz-Morawiecki
pl-1101,1,23,Morawiecki,Morawiecki,Morawiecki,subst:sg:nom:m1,PROPN,I-PER,PER-Mateusz-Morawiecki
pl-1101,1,24,.,,.,interp,PUNCT,O,
pl-1101,2,1,Jak,,jak,adv:pos,ADV,O,
pl-1101,2,2,stwierdził,,stwierdzić,praet:sg:m1:perf,VERB,O,
pl-1101,2,3,",",,",",interp,PUNCT,O,
pl-1101,2,4,ten,,ten,adj:sg:nom:m3:pos,DET,O,
pl-1101,2,5,projekt,,projekt,subst:sg:nom:m3,NOUN,O,
pl-1101,2,6,stanowi,,stanowić,fin:sg:ter:imperf,VERB,O,
pl-1101,2,7,duże,,duży,adj:sg:acc:n:pos,ADJ,O,
pl-1101,2,8,niebezpieczeństwo,,niebezpieczeństwo,subst:sg:acc:n:ncol,NOUN,O,
pl-1101,2,9,dla,,dla,prep:gen,ADP,O,
pl-1101,2,10,Europy,Europa,Europa,subst:sg:gen:f,PROPN,B-LOC,LOC-Europe
pl-1101,2,11,.,,.,interp,PUNCT,O,
pl-1101,3,1,Premier,,premier,subst:sg:nom:m1,NOUN,O,
pl-1101,3,2,był,,być,praet:sg:m1:imperf,AUX,O,
pl-1101,3,3,pytany,,pytać,ppas:sg:nom:m1:imperf:aff,ADJ,O,
pl-1101,3,4,na,,na,prep:loc,ADP,O,
pl-1101,3,5,konferencji,,konferencja,subst:sg:loc:f,NOUN,O,
pl-1101,3,6,prasowej,,prasowy,adj:sg:loc:f:pos,ADJ,O,
pl-1101,3,7,w,,w,prep:loc:nwok,ADP,O,
pl-1101,3,8,Brukseli,Bruksela,Bruksela,subst:sg:loc:f,PROPN,B-LOC,GPE-Brussles
pl-1101,3,9,",",,",",interp,PUNCT,O,
pl-1101,3,10,czy,,czy,part,PART,O,
pl-1101,3,11,w,,w,prep:loc:nwok,ADP,O,
pl-1101,3,12,trakcie,,trakt,subst:sg:loc:m3,NOUN,O,
pl-1101,3,13,dyskusji,,dyskusja,subst:sg:gen:f,NOUN,O,
pl-1101,3,14,dot,,dotaczy,brev:pun,X,O,
pl-1101,3,15,.,,.,interp,PUNCT,O,
pl-1101,3,16,Rosji,Rosja,Rosja,subst:sg:gen:f,PROPN,B-LOC,GPE-Russia
pl-1101,3,17,pojawił,,pojawić,praet:sg:m3:perf,VERB,O,
pl-1101,3,18,się,,się,part,PRON,O,
pl-1101,3,19,temat,,temat,subst:sg:nom:m3,NOUN,O,
pl-1101,3,20,Nord,Nord,Nord,subst:sg:gen:n,PROPN,B-PRO,PRO-Nord-Stream-2
