docId,sentenceId,tokenId,text,lemma,ner,clID
pl-914,0,1,Bajczuk,Bajczuk,B-PER,PER-Rafał-Bajczuk
pl-914,0,2,:,,O,
pl-914,0,3,Niemcy,Niemcy,B-LOC,GPE-Germany
pl-914,0,4,bliżej,,O,
pl-914,0,5,zgody,,O,
pl-914,0,6,na,,O,
pl-914,0,7,budowę,,O,
pl-914,0,8,Nord,Nord,B-PRO,PRO-Nord-Stream-2
pl-914,0,9,Stream,Stream,I-PRO,PRO-Nord-Stream-2
pl-914,0,10,2,2,I-PRO,PRO-Nord-Stream-2
pl-914,1,1,31,,O,
pl-914,1,2,stycznia,,O,
pl-914,1,3,spółka,,O,
pl-914,1,4,Nord,Nord,B-ORG,ORG-Nord-Stream-2-AG
pl-914,1,5,Stream,Stream,I-ORG,ORG-Nord-Stream-2-AG
pl-914,1,6,2,2,I-ORG,ORG-Nord-Stream-2-AG
pl-914,1,7,AG,AG,I-ORG,ORG-Nord-Stream-2-AG
pl-914,1,8,(,,O,
pl-914,1,9,będąca,,O,
pl-914,1,10,w,,O,
pl-914,1,11,100,,O,
pl-914,1,12,%,,O,
pl-914,1,13,własnością,,O,
pl-914,1,14,Gazpromu,Gazprom,B-ORG,ORG-Gazprom
pl-914,1,15,),,O,
pl-914,1,16,uzyskała,,O,
pl-914,1,17,zgodę,,O,
pl-914,1,18,Urzędu,Urząd,B-ORG,ORG-Stralsund-Mining-Authority
pl-914,1,19,Górniczego,Górniczy,I-ORG,ORG-Stralsund-Mining-Authority
pl-914,1,20,w,w,I-ORG,ORG-Stralsund-Mining-Authority
pl-914,1,21,Stralsundzie,Stralsundzie,I-ORG,ORG-Stralsund-Mining-Authority
pl-914,1,22,na,,O,
pl-914,1,23,budowę,,O,
pl-914,1,24,i,,O,
pl-914,1,25,eksploatację,,O,
pl-914,1,26,55-kilometrowego,,O,
pl-914,1,27,odcinka,,O,
pl-914,1,28,gazociągu,,O,
pl-914,1,29,Nord,Nord,B-PRO,PRO-Nord-Stream-2
pl-914,1,30,Stream,Stream,I-PRO,PRO-Nord-Stream-2
pl-914,1,31,2,2,I-PRO,PRO-Nord-Stream-2
pl-914,1,32,na,,O,
pl-914,1,33,terytorium,,O,
pl-914,1,34,Niemiec,Niemcy,B-LOC,GPE-Germany
pl-914,1,35,.,,O,
pl-914,2,1,Zgoda,,O,
pl-914,2,2,dotyczy,,O,
pl-914,2,3,zarówno,,O,
pl-914,2,4,lądowego,,O,
pl-914,2,5,odcinka,,O,
pl-914,2,6,gazociągu,,O,
pl-914,2,7,do,,O,
pl-914,2,8,miejscowości,,O,
pl-914,2,9,Lubmin,Lubmin,B-LOC,GPE-Lubmin
pl-914,2,10,",",,O,
pl-914,2,11,jak,,O,
pl-914,2,12,i,,O,
pl-914,2,13,odcinka,,O,
pl-914,2,14,w,,O,
pl-914,2,15,niemieckim,,O,
pl-914,2,16,morzu,,O,
pl-914,2,17,terytorialnym,,O,
pl-914,2,18,i,,O,
pl-914,2,19,oznacza,,O,
pl-914,2,20,",",,O,
pl-914,2,21,że,,O,
pl-914,2,22,inwestor,,O,
pl-914,2,23,może,,O,
pl-914,2,24,rozpocząć,,O,
pl-914,2,25,już,,O,
pl-914,2,26,prace,,O,
pl-914,2,27,na,,O,
pl-914,2,28,odcinku,,O,
pl-914,2,29,lądowym,,O,
pl-914,2,30,–,,O,
pl-914,2,31,pisze,,O,
pl-914,2,32,Rafał,Rafał,B-PER,PER-Rafał-Bajczuk
pl-914,2,33,Bajczuk,Bajczuk,I-PER,PER-Rafał-Bajczuk
pl-914,2,34,",",,O,
pl-914,2,35,ekspert,,O,
pl-914,2,36,Ośrodka,Ośrodek,B-ORG,ORG-OSW-Centre-for-Eastern-Studies
pl-914,2,37,Studiów,Studiów,I-ORG,ORG-OSW-Centre-for-Eastern-Studies
pl-914,2,38,Wschodnich,Wschodnich,I-ORG,ORG-OSW-Centre-for-Eastern-Studies
pl-914,2,39,.,,O,
pl-914,3,1,Do,,O,
pl-914,3,2,uzyskania,,O,
pl-914,3,3,wszystkich,,O,
pl-914,3,4,potrzebnych,,O,
pl-914,3,5,pozwoleń,,O,
pl-914,3,6,potrzebna,,O,
pl-914,3,7,jest,,O,
pl-914,3,8,jeszcze,,O,
pl-914,3,9,zgoda,,O,
pl-914,3,10,Federalnego,Federalny,B-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,3,11,Urzędu,Urząd,I-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,3,12,Żeglugi,Żeglugi,I-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,3,13,Morskiej,Morskiej,I-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,3,14,i,i,I-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,3,15,Hydrografii,Hydrografii,I-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,3,16,w,w,I-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,3,17,Hamburgu,Hamburgu,I-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,3,18,na,,O,
pl-914,3,19,budowę,,O,
pl-914,3,20,i,,O,
pl-914,3,21,eksploatację,,O,
pl-914,3,22,gazociągu,,O,
pl-914,3,23,w,,O,
pl-914,3,24,niemieckiej,,O,
pl-914,3,25,wyłącznej,,O,
pl-914,3,26,strefie,,O,
pl-914,3,27,ekonomicznej,,O,
pl-914,3,28,.,,O,
pl-914,4,1,Inwestor,,O,
pl-914,4,2,oczekuje,,O,
pl-914,4,3,",",,O,
pl-914,4,4,że,,O,
pl-914,4,5,zgodę,,O,
pl-914,4,6,tę,,O,
pl-914,4,7,uzyska,,O,
pl-914,4,8,do,,O,
pl-914,4,9,końca,,O,
pl-914,4,10,marca,,O,
pl-914,4,11,2018,,O,
pl-914,4,12,roku,,O,
pl-914,4,13,.,,O,
pl-914,5,1,Pierwsze,,O,
pl-914,5,2,pozwolenie,,O,
pl-914,5,3,dotyczące,,O,
pl-914,5,4,budowy,,O,
pl-914,5,5,i,,O,
pl-914,5,6,eksploatacji,,O,
pl-914,5,7,gazociągu,,O,
pl-914,5,8,na,,O,
pl-914,5,9,niemieckim,,O,
pl-914,5,10,szelfie,,O,
pl-914,5,11,kontynentalnym,,O,
pl-914,5,12,inwestor,,O,
pl-914,5,13,otrzymał,,O,
pl-914,5,14,w,,O,
pl-914,5,15,listopadzie,,O,
pl-914,5,16,2017,,O,
pl-914,5,17,roku,,O,
pl-914,5,18,.,,O,
pl-914,6,1,Komentarz,,O,
pl-914,6,2,Nic,,O,
pl-914,6,3,nie,,O,
pl-914,6,4,wskazuje,,O,
pl-914,6,5,na,,O,
pl-914,6,6,to,,O,
pl-914,6,7,",",,O,
pl-914,6,8,aby,,O,
pl-914,6,9,Federalny,Federalny,B-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,6,10,Urząd,Urząd,I-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,6,11,Żeglugi,Żeglugi,I-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,6,12,Morskiej,Morskiej,I-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,6,13,i,i,I-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,6,14,Hydrografii,Hydrografii,I-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,6,15,w,w,I-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,6,16,Hamburgu,Hamburgu,I-ORG,ORG-Federal-Office-for-Shipping-and-Hydrography-Germany
pl-914,6,17,miał,,O,
pl-914,6,18,nie,,O,
pl-914,6,19,wyrazić,,O,
pl-914,6,20,zgody,,O,
pl-914,6,21,na,,O,
pl-914,6,22,budowę,,O,
pl-914,6,23,i,,O,
pl-914,6,24,eksploatację,,O,
pl-914,6,25,gazociągu,,O,
pl-914,6,26,.,,O,
pl-914,7,1,Wyniki,,O,
pl-914,7,2,rozmów,,O,
pl-914,7,3,koalicyjnych,,O,
pl-914,7,4,między,,O,
pl-914,7,5,CDU/CSU,CDU/CSU,B-ORG,ORG-CDU-CSU-Alliance
pl-914,7,6,i,,O,
pl-914,7,7,SPD,SPD,B-ORG,ORG-Sozialdemokratische-Partei-Deutschlands
pl-914,7,8,również,,O,
pl-914,7,9,nie,,O,
pl-914,7,10,przewidują,,O,
pl-914,7,11,zmiany,,O,
pl-914,7,12,niemieckiej,,O,
pl-914,7,13,polityki,,O,
pl-914,7,14,w,,O,
pl-914,7,15,sprawie,,O,
pl-914,7,16,Nord,Nord,B-PRO,PRO-Nord-Stream-2
pl-914,7,17,Stream,Stream,I-PRO,PRO-Nord-Stream-2
pl-914,7,18,2,2,I-PRO,PRO-Nord-Stream-2
pl-914,7,19,.,,O,
pl-914,8,1,Jedyną,,O,
pl-914,8,2,partią,,O,
pl-914,8,3,sprzeciwiającą,,O,
pl-914,8,4,się,,O,
pl-914,8,5,budowie,,O,
pl-914,8,6,gazociągu,,O,
pl-914,8,7,są,,O,
pl-914,8,8,Zieloni,Zieloni,B-ORG,ORG-Green-Party-Germany
pl-914,8,9,",",,O,
pl-914,8,10,którzy,,O,
pl-914,8,11,swoje,,O,
pl-914,8,12,negatywne,,O,
pl-914,8,13,stanowisko,,O,
pl-914,8,14,zawarli,,O,
pl-914,8,15,w,,O,
pl-914,8,16,programie,,O,
pl-914,8,17,wyborczym,,O,
pl-914,8,18,.,,O,
pl-914,9,1,Decyzję,,O,
pl-914,9,2,urzędu,,O,
pl-914,9,3,w,,O,
pl-914,9,4,Stralsundzie,Stralsund,B-LOC,GPE-Stralsund
pl-914,9,5,skrytykowali,,O,
pl-914,9,6,zarówno,,O,
pl-914,9,7,Zieloni,Zieloni,B-ORG,ORG-Green-Party-Germany
pl-914,9,8,",",,O,
pl-914,9,9,jak,,O,
pl-914,9,10,i,,O,
pl-914,9,11,organizacje,,O,
pl-914,9,12,pozarządowe,,O,
pl-914,9,13,zajmujące,,O,
pl-914,9,14,się,,O,
