docId,sentenceId,tokenId,text,lemma,ner,clID
ru-ryanair-new-extra-120,0,1,Германия,Германия,B-LOC,GPE-Germany
ru-ryanair-new-extra-120,0,2,:,,O,
ru-ryanair-new-extra-120,0,3,кто,,O,
ru-ryanair-new-extra-120,0,4,защитит,,O,
ru-ryanair-new-extra-120,0,5,Украину,Украина,B-LOC,GPE-Ukraine
ru-ryanair-new-extra-120,0,6,",",,O,
ru-ryanair-new-extra-120,0,7,если,,O,
ru-ryanair-new-extra-120,0,8,мы,,O,
ru-ryanair-new-extra-120,0,9,выйдем,,O,
ru-ryanair-new-extra-120,0,10,из,,O,
ru-ryanair-new-extra-120,0,11,"""",,O,
ru-ryanair-new-extra-120,0,12,Северного,Северный,B-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-120,0,13,потока,поток-,I-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-120,0,14,-,2,I-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-120,0,15,2,PAD,I-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-120,0,16,"""",,O,
ru-ryanair-new-extra-120,0,17,?,,O,
ru-ryanair-new-extra-120,1,1,Власти,,O,
ru-ryanair-new-extra-120,1,2,ФРГ,ФРГ,B-LOC,GPE-Germany
ru-ryanair-new-extra-120,1,3,убеждены,,O,
ru-ryanair-new-extra-120,1,4,",",,O,
ru-ryanair-new-extra-120,1,5,что,,O,
ru-ryanair-new-extra-120,1,6,если,,O,
ru-ryanair-new-extra-120,1,7,проект,,O,
ru-ryanair-new-extra-120,1,8,"""",,O,
ru-ryanair-new-extra-120,1,9,Северный,,O,
ru-ryanair-new-extra-120,1,10,поток,,O,
ru-ryanair-new-extra-120,1,11,-,,O,
ru-ryanair-new-extra-120,1,12,2,,O,
ru-ryanair-new-extra-120,1,13,"""",,O,
ru-ryanair-new-extra-120,1,14,оставят,,O,
ru-ryanair-new-extra-120,1,15,немецкие,,O,
ru-ryanair-new-extra-120,1,16,и,,O,
ru-ryanair-new-extra-120,1,17,европейские,,O,
ru-ryanair-new-extra-120,1,18,компании,,O,
ru-ryanair-new-extra-120,1,19,",",,O,
ru-ryanair-new-extra-120,1,20,то,,O,
ru-ryanair-new-extra-120,1,21,некому,,O,
ru-ryanair-new-extra-120,1,22,будет,,O,
ru-ryanair-new-extra-120,1,23,отстаивать,,O,
ru-ryanair-new-extra-120,1,24,сохранение,,O,
ru-ryanair-new-extra-120,1,25,транзита,,O,
ru-ryanair-new-extra-120,1,26,газа,,O,
ru-ryanair-new-extra-120,1,27,из,,O,
ru-ryanair-new-extra-120,1,28,РФ,РФ,B-LOC,GPE-Russia
ru-ryanair-new-extra-120,1,29,через,,O,
ru-ryanair-new-extra-120,1,30,Украину,Украина,B-LOC,GPE-Ukraine
ru-ryanair-new-extra-120,1,31,.,,O,
ru-ryanair-new-extra-120,2,1,С,,O,
ru-ryanair-new-extra-120,2,2,данным,,O,
ru-ryanair-new-extra-120,2,3,заявлением,,O,
ru-ryanair-new-extra-120,2,4,выступил,,O,
ru-ryanair-new-extra-120,2,5,глава,,O,
ru-ryanair-new-extra-120,2,6,МИД,МИД,B-ORG,ORG-Federal-Foreign-Office-Germany
ru-ryanair-new-extra-120,2,7,ФРГ,ФРГ,I-ORG,ORG-Federal-Foreign-Office-Germany
ru-ryanair-new-extra-120,2,8,Гайко,Гайко,B-PER,PER-Heiko-Maas
ru-ryanair-new-extra-120,2,9,Маас,Маас,I-PER,PER-Heiko-Maas
ru-ryanair-new-extra-120,2,10,",",,O,
ru-ryanair-new-extra-120,2,11,передает,,O,
ru-ryanair-new-extra-120,2,12,ONLINE,ONLINE,B-PRO,PRO-ONLINE-UA
ru-ryanair-new-extra-120,2,13,.,.,I-PRO,PRO-ONLINE-UA
ru-ryanair-new-extra-120,3,1,UA,UA,I-PRO,PRO-ONLINE-UA
ru-ryanair-new-extra-120,3,2,со,,O,
ru-ryanair-new-extra-120,3,3,ссылкой,,O,
ru-ryanair-new-extra-120,3,4,на,,O,
ru-ryanair-new-extra-120,3,5,DW,DW,B-PRO,PRO-Deutsche-Welle
ru-ryanair-new-extra-120,3,6,.,,O,
ru-ryanair-new-extra-120,4,1,Немецкий,,O,
ru-ryanair-new-extra-120,4,2,политик,,O,
ru-ryanair-new-extra-120,4,3,в,,O,
ru-ryanair-new-extra-120,4,4,очередной,,O,
ru-ryanair-new-extra-120,4,5,раз,,O,
ru-ryanair-new-extra-120,4,6,отверг,,O,
ru-ryanair-new-extra-120,4,7,критику,,O,
ru-ryanair-new-extra-120,4,8,США,США,B-LOC,GPE-USA
ru-ryanair-new-extra-120,4,9,в,,O,
ru-ryanair-new-extra-120,4,10,адрес,,O,
ru-ryanair-new-extra-120,4,11,проекта,,O,
ru-ryanair-new-extra-120,4,12,газопровода,,O,
ru-ryanair-new-extra-120,4,13,"""",,O,
ru-ryanair-new-extra-120,4,14,Северный,,O,
ru-ryanair-new-extra-120,4,15,поток,,O,
ru-ryanair-new-extra-120,4,16,-,,O,
ru-ryanair-new-extra-120,4,17,2,,O,
ru-ryanair-new-extra-120,4,18,"""",,O,
ru-ryanair-new-extra-120,4,19,Вопросы,,O,
ru-ryanair-new-extra-120,4,20,европейской,,O,
ru-ryanair-new-extra-120,4,21,энергетической,,O,
ru-ryanair-new-extra-120,4,22,политики,,O,
ru-ryanair-new-extra-120,4,23,должны,,O,
ru-ryanair-new-extra-120,4,24,решаться,,O,
ru-ryanair-new-extra-120,4,25,в,,O,
ru-ryanair-new-extra-120,4,26,Европе,Европа,B-LOC,LOC-Europe
ru-ryanair-new-extra-120,4,27,",",,O,
ru-ryanair-new-extra-120,4,28,а,,O,
ru-ryanair-new-extra-120,4,29,не,,O,
ru-ryanair-new-extra-120,4,30,в,,O,
ru-ryanair-new-extra-120,4,31,США,США,B-LOC,GPE-USA
ru-ryanair-new-extra-120,4,32,.,,O,
ru-ryanair-new-extra-120,5,1,Берлин,Берлин,B-LOC,GPE-Berlin
ru-ryanair-new-extra-120,5,2,серьезно,,O,
ru-ryanair-new-extra-120,5,3,относится,,O,
ru-ryanair-new-extra-120,5,4,к,,O,
ru-ryanair-new-extra-120,5,5,критике,,O,
ru-ryanair-new-extra-120,5,6,проекта,,O,
ru-ryanair-new-extra-120,5,7,со,,O,
ru-ryanair-new-extra-120,5,8,стороны,,O,
ru-ryanair-new-extra-120,5,9,Вашингтона,Вашингтон,B-LOC,GPE-WashingtonDC
ru-ryanair-new-extra-120,5,10,",",,O,
ru-ryanair-new-extra-120,5,11,но,,O,
ru-ryanair-new-extra-120,5,12,в,,O,
ru-ryanair-new-extra-120,5,13,то,,O,
ru-ryanair-new-extra-120,5,14,же,,O,
ru-ryanair-new-extra-120,5,15,время,,O,
ru-ryanair-new-extra-120,5,16,"""",,O,
ru-ryanair-new-extra-120,5,17,Северный,,O,
ru-ryanair-new-extra-120,5,18,поток,,O,
ru-ryanair-new-extra-120,5,19,-,,O,
ru-ryanair-new-extra-120,5,20,2,,O,
ru-ryanair-new-extra-120,5,21,"""",,O,
ru-ryanair-new-extra-120,5,22,не,,O,
ru-ryanair-new-extra-120,5,23,является,,O,
ru-ryanair-new-extra-120,5,24,"""",,O,
ru-ryanair-new-extra-120,5,25,российско,,O,
ru-ryanair-new-extra-120,5,26,-,,O,
ru-ryanair-new-extra-120,5,27,немецким,,O,
ru-ryanair-new-extra-120,5,28,особым,,O,
ru-ryanair-new-extra-120,5,29,путем,,O,
ru-ryanair-new-extra-120,5,30,"""",,O,
ru-ryanair-new-extra-120,5,31,",",,O,
ru-ryanair-new-extra-120,5,32,—,,O,
ru-ryanair-new-extra-120,5,33,говорит,,O,
ru-ryanair-new-extra-120,5,34,он,,O,
ru-ryanair-new-extra-120,5,35,.,,O,
ru-ryanair-new-extra-120,6,1,Кроме,,O,
ru-ryanair-new-extra-120,6,2,того,,O,
ru-ryanair-new-extra-120,6,3,",",,O,
ru-ryanair-new-extra-120,6,4,Маас,Маас,B-PER,PER-Heiko-Maas
ru-ryanair-new-extra-120,6,5,добавил,,O,
ru-ryanair-new-extra-120,6,6,",",,O,
ru-ryanair-new-extra-120,6,7,что,,O,
ru-ryanair-new-extra-120,6,8,введение,,O,
ru-ryanair-new-extra-120,6,9,односторонних,,O,
ru-ryanair-new-extra-120,6,10,санкций,,O,
ru-ryanair-new-extra-120,6,11,против,,O,
ru-ryanair-new-extra-120,6,12,газопровода,,O,
ru-ryanair-new-extra-120,6,13,стало,,O,
ru-ryanair-new-extra-120,6,14,бы,,O,
ru-ryanair-new-extra-120,6,15,"""",,O,
ru-ryanair-new-extra-120,6,16,неправильным,,O,
ru-ryanair-new-extra-120,6,17,путем,,O,
ru-ryanair-new-extra-120,6,18,"""",,O,
ru-ryanair-new-extra-120,6,19,.,,O,
ru-ryanair-new-extra-120,7,1,"""",,O,
ru-ryanair-new-extra-120,7,2,Если,,O,
ru-ryanair-new-extra-120,7,3,из,,O,
