docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-ryanair-new-extra-235,0,1,Порошенко,Порошенко,Порошенко,,PROPN,B-PER,PER-Petro-Poroshenko
ru-ryanair-new-extra-235,0,2,обсудил,,обсудить,,VERB,O,
ru-ryanair-new-extra-235,0,3,с,,с,,ADP,O,
ru-ryanair-new-extra-235,0,4,представителем,,представитель,,NOUN,O,
ru-ryanair-new-extra-235,0,5,Австрии,Австрия,Австрия,,PROPN,B-LOC,GPE-Austria
ru-ryanair-new-extra-235,0,6,«,«,«,,ADP,B-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-235,0,7,Северный,Северный,Северный,,PROPN,I-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-235,0,8,поток,поток,поток,,NOUN,I-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-235,0,9,—,—,—,,PUNCT,I-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-235,0,10,2»,2»,2»,,NUM,I-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-235,1,1,",",,",",,PUNCT,O,
ru-ryanair-new-extra-235,1,2,16,,16,,NUM,O,
ru-ryanair-new-extra-235,1,3,:,,:,,PUNCT,O,
ru-ryanair-new-extra-235,1,4,04,,04,,NUM,O,
ru-ryanair-new-extra-235,1,5,REGNUM,REGNUM,REGNUM,,PROPN,B-ORG,ORG-REGNUM-News-Agency
ru-ryanair-new-extra-235,1,6,Президент,,Президент,,PROPN,O,
ru-ryanair-new-extra-235,1,7,Украины,Украина,Украина,,PROPN,B-LOC,GPE-Ukraine
ru-ryanair-new-extra-235,1,8,Пётр,Пётр,Пётр,,PROPN,B-PER,PER-Petro-Poroshenko
ru-ryanair-new-extra-235,1,9,Порошенко,Порошенко,Порошенко,,PROPN,I-PER,PER-Petro-Poroshenko
ru-ryanair-new-extra-235,1,10,встретился,,встретиться,,VERB,O,
ru-ryanair-new-extra-235,1,11,с,,с,,ADP,O,
ru-ryanair-new-extra-235,1,12,главой,,глава,,NOUN,O,
ru-ryanair-new-extra-235,1,13,национального,,национальный,,ADJ,O,
ru-ryanair-new-extra-235,1,14,совета,,совет,,NOUN,O,
ru-ryanair-new-extra-235,1,15,Австрии,Австрия,Австрия,,PROPN,B-LOC,GPE-Austria
ru-ryanair-new-extra-235,1,16,Вольфганом,Вольфган,Вольфган,,PROPN,B-PER,PER-Wolfgang-Sobotka
ru-ryanair-new-extra-235,1,17,Соботкой,Соботка,Соботка,,PROPN,I-PER,PER-Wolfgang-Sobotka
ru-ryanair-new-extra-235,1,18,",",,",",,PUNCT,O,
ru-ryanair-new-extra-235,1,19,сообщил,,сообщить,,VERB,O,
ru-ryanair-new-extra-235,1,20,16,,16,,NUM,O,
ru-ryanair-new-extra-235,1,21,января,,январь,,NOUN,O,
ru-ryanair-new-extra-235,1,22,официальный,,официальный,,ADJ,O,
ru-ryanair-new-extra-235,1,23,сайт,,сайт,,NOUN,O,
ru-ryanair-new-extra-235,1,24,администрации,,администрация,,NOUN,O,
ru-ryanair-new-extra-235,1,25,президента,,президент,,NOUN,O,
ru-ryanair-new-extra-235,1,26,Украины,Украина,Украина,,PROPN,B-LOC,GPE-Ukraine
ru-ryanair-new-extra-235,1,27,.,,.,,PUNCT,O,
ru-ryanair-new-extra-235,2,1,Порошенко,Порошенко,Порошенко,,PROPN,B-PER,PER-Petro-Poroshenko
ru-ryanair-new-extra-235,2,2,поблагодарил,,благодарить,,VERB,O,
ru-ryanair-new-extra-235,2,3,Австрию,Австрия,Австрия,,PROPN,B-LOC,GPE-Austria
ru-ryanair-new-extra-235,2,4,за,,за,,ADP,O,
ru-ryanair-new-extra-235,2,5,поддержку,,поддержка,,NOUN,O,
ru-ryanair-new-extra-235,2,6,антироссийских,,антироссийский,,ADJ,O,
ru-ryanair-new-extra-235,2,7,санкций,,санкция,,NOUN,O,
ru-ryanair-new-extra-235,2,8,",",,",",,PUNCT,O,
ru-ryanair-new-extra-235,2,9,а,,а,,CCONJ,O,
ru-ryanair-new-extra-235,2,10,также,,также,,PART,O,
ru-ryanair-new-extra-235,2,11,обсудил,,обсудить,,VERB,O,
ru-ryanair-new-extra-235,2,12,с,,с,,ADP,O,
ru-ryanair-new-extra-235,2,13,Соботкой,Соботка,Соботка,,PROPN,B-PER,PER-Wolfgang-Sobotka
ru-ryanair-new-extra-235,2,14,вопросы,,вопрос,,NOUN,O,
ru-ryanair-new-extra-235,2,15,строительства,,строительство,,NOUN,O,
ru-ryanair-new-extra-235,2,16,российского,,российский,,ADJ,O,
ru-ryanair-new-extra-235,2,17,газопровода,,газопровод,,NOUN,O,
ru-ryanair-new-extra-235,2,18,Северный,Северный,Северный,,PROPN,B-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-235,2,19,поток,поток,поток,,NOUN,I-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-235,2,20,2,2,2,,NUM,I-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-235,2,21,.,,.,,PUNCT,O,
ru-ryanair-new-extra-235,3,1,Напомним,,напомнить,,VERB,O,
ru-ryanair-new-extra-235,3,2,",",,",",,PUNCT,O,
ru-ryanair-new-extra-235,3,3,строительство,,строительство,,NOUN,O,
ru-ryanair-new-extra-235,3,4,российского,,российский,,ADJ,O,
ru-ryanair-new-extra-235,3,5,газопровода,,газопровод,,NOUN,O,
ru-ryanair-new-extra-235,3,6,всячески,,всячески,,ADV,O,
ru-ryanair-new-extra-235,3,7,пытаются,,пытаться,,VERB,O,
ru-ryanair-new-extra-235,3,8,замедлить,,замедлить,,VERB,O,
ru-ryanair-new-extra-235,3,9,США,США,США,,PROPN,B-LOC,GPE-USA
ru-ryanair-new-extra-235,3,10,.,,.,,PUNCT,O,
ru-ryanair-new-extra-235,4,1,Украине,Украина,Украина,,PROPN,B-LOC,GPE-Ukraine
ru-ryanair-new-extra-235,4,2,также,,также,,ADV,O,
ru-ryanair-new-extra-235,4,3,не,,не,,PART,O,
ru-ryanair-new-extra-235,4,4,выгоден,,выгодный,,ADJ,O,
ru-ryanair-new-extra-235,4,5,Северный,Северный,Северный,,PROPN,B-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-235,4,6,поток,поток,поток,,NOUN,I-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-235,4,7,2,2,2,,NUM,I-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-235,4,8,",",,",",,PUNCT,O,
ru-ryanair-new-extra-235,4,9,поскольку,,поскольку,,SCONJ,O,
ru-ryanair-new-extra-235,4,10,",",,",",,PUNCT,O,
ru-ryanair-new-extra-235,4,11,в,,в,,ADP,O,
ru-ryanair-new-extra-235,4,12,случае,,случай,,NOUN,O,
ru-ryanair-new-extra-235,4,13,его,,его,,DET,O,
ru-ryanair-new-extra-235,4,14,запуска,,запуск,,NOUN,O,
ru-ryanair-new-extra-235,4,15,",",,",",,PUNCT,O,
ru-ryanair-new-extra-235,4,16,у,,у,,ADP,O,
ru-ryanair-new-extra-235,4,17,России,Россия,Россия,,PROPN,B-LOC,GPE-Russia
ru-ryanair-new-extra-235,4,18,отпадает,,отпадать,,VERB,O,
ru-ryanair-new-extra-235,4,19,необходимость,,необходимость,,NOUN,O,
ru-ryanair-new-extra-235,4,20,качать,,качать,,VERB,O,
ru-ryanair-new-extra-235,4,21,газ,,газ,,NOUN,O,
ru-ryanair-new-extra-235,4,22,через,,через,,ADP,O,
ru-ryanair-new-extra-235,4,23,её,,ее,,DET,O,
ru-ryanair-new-extra-235,4,24,территорию,,территория,,NOUN,O,
ru-ryanair-new-extra-235,4,25,.,,.,,PUNCT,O,
ru-ryanair-new-extra-235,5,1,Украинская,,украинский,,ADJ,O,
ru-ryanair-new-extra-235,5,2,пропаганда,,пропаганда,,NOUN,O,
ru-ryanair-new-extra-235,5,3,утверждает,,утверждать,,VERB,O,
ru-ryanair-new-extra-235,5,4,",",,",",,PUNCT,O,
ru-ryanair-new-extra-235,5,5,якобы,,якобы,,ADV,O,
ru-ryanair-new-extra-235,5,6,в,,в,,ADP,O,
ru-ryanair-new-extra-235,5,7,Северном,Северный,Северный,,PROPN,B-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-235,5,8,потоке,поток,поток,,NOUN,I-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-235,5,9,2,2,2,,NUM,I-PRO,PRO-Nord-Stream-2
ru-ryanair-new-extra-235,5,10,нет,,нет,,VERB,O,
