docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
ru-12,0,1,"""",,"""",,PUNCT,O,
ru-12,0,2,Газпром,Газпром,Газпром,,PROPN,B-ORG,ORG-Gazprom
ru-12,0,3,"""",,"""",,PUNCT,O,
ru-12,0,4,передал,,передать,,VERB,O,
ru-12,0,5,100,,100,,NUM,O,
ru-12,0,6,%,,%,,SYM,O,
ru-12,0,7,акций,,акция,,NOUN,O,
ru-12,0,8,Nord,Nord,Nord,,PROPN,B-PRO,PRO-Nord-Stream-2
ru-12,0,9,Stream,Stream,Stream,,PROPN,I-PRO,PRO-Nord-Stream-2
ru-12,0,10,2,2,2,,NUM,I-PRO,PRO-Nord-Stream-2
ru-12,0,11,в,,в,,ADP,O,
ru-12,0,12,залог,,залог,,NOUN,O,
ru-12,0,13,по,,по,,ADP,O,
ru-12,0,14,обязательствам,,обязательство,,NOUN,O,
ru-12,0,15,перед,,перед,,ADP,O,
ru-12,0,16,партнерами,,партнер,,NOUN,O,
ru-12,1,1,МОСКВА,МОСКВА,МОСКВА,,PROPN,B-LOC,GPE-Moscow
ru-12,1,2,",",,",",,PUNCT,O,
ru-12,1,3,30,,30,,NUM,O,
ru-12,1,4,мая,,май,,NOUN,O,
ru-12,1,5,ПРАЙМ,ПРАЙМ,ПРАЙМ,,PROPN,B-ORG,ORG-PRIME-News-Agency
ru-12,1,6,"""",,"""",,PUNCT,O,
ru-12,1,7,Газпром,Газпром,Газпром,,PROPN,B-ORG,ORG-Gazprom
ru-12,1,8,"""",,"""",,PUNCT,O,
ru-12,1,9,передал,,передать,,VERB,O,
ru-12,1,10,100,,100,,NUM,O,
ru-12,1,11,%,,%,,SYM,O,
ru-12,1,12,акций,,акция,,NOUN,O,
ru-12,1,13,Nord,Nord,Nord,,PROPN,B-PRO,PRO-Nord-Stream-2
ru-12,1,14,Stream,Stream,Stream,,PROPN,I-PRO,PRO-Nord-Stream-2
ru-12,1,15,2,2,2,,NUM,I-PRO,PRO-Nord-Stream-2
ru-12,1,16,в,,в,,ADP,O,
ru-12,1,17,залог,,залог,,NOUN,O,
ru-12,1,18,до,,до,,ADP,O,
ru-12,1,19,полного,,полный,,ADJ,O,
ru-12,1,20,погашения,,погашение,,NOUN,O,
ru-12,1,21,обязательств,,обязательство,,NOUN,O,
ru-12,1,22,по,,по,,ADP,O,
ru-12,1,23,соглашениям,,соглашение,,NOUN,O,
ru-12,1,24,с,,с,,ADP,O,
ru-12,1,25,зарубежными,,зарубежный,,ADJ,O,
ru-12,1,26,партнерами,,партнер,,NOUN,O,
ru-12,1,27,",",,",",,PUNCT,O,
ru-12,1,28,говорится,,говорить,,VERB,O,
ru-12,1,29,в,,в,,ADP,O,
ru-12,1,30,отчете,,отчет,,NOUN,O,
ru-12,1,31,компании,,компания,,NOUN,O,
ru-12,1,32,по,,по,,ADP,O,
ru-12,1,33,МСФО,МСФО,МСФО,,PROPN,B-PRO,PRO-International-Financial-Reporting-Standards
ru-12,1,34,за,,за,,ADP,O,
ru-12,1,35,первый,,первый,,ADJ,O,
ru-12,1,36,квартал,,квартал,,NOUN,O,
ru-12,1,37,2018,,2018,,NUM,O,
ru-12,1,38,года,,год,,NOUN,O,
ru-12,1,39,.,,.,,PUNCT,O,
ru-12,2,1,"""",,"""",,PUNCT,O,
ru-12,2,2,По,,по,,ADP,O,
ru-12,2,3,состоянию,,состояние,,NOUN,O,
ru-12,2,4,на,,на,,ADP,O,
ru-12,2,5,31,,31,,NUM,O,
ru-12,2,6,марта,,март,,NOUN,O,
ru-12,2,7,2018,,2018,,NUM,O,
ru-12,2,8,года,,год,,NOUN,O,
ru-12,2,9,согласно,,согласно,,ADP,O,
ru-12,2,10,соглашениям,,соглашение,,NOUN,O,
ru-12,2,11,",",,",",,PUNCT,O,
ru-12,2,12,заключенным,,заключенный,,NOUN,O,
ru-12,2,13,в,,в,,ADP,O,
ru-12,2,14,рамках,,рамка,,NOUN,O,
ru-12,2,15,финансирования,,финансирование,,NOUN,O,
ru-12,2,16,проекта,,проект,,NOUN,O,
ru-12,2,17,"""",,"""",,PUNCT,O,
ru-12,2,18,Северный,Северный,Северный,,PROPN,B-PRO,PRO-Nord-Stream-2
ru-12,2,19,поток,поток,поток,,NOUN,I-PRO,PRO-Nord-Stream-2
ru-12,2,20,-,-,-,,PUNCT,I-PRO,PRO-Nord-Stream-2
ru-12,2,21,2,2,2,,NUM,I-PRO,PRO-Nord-Stream-2
ru-12,2,22,"""",,"""",,PUNCT,O,
ru-12,2,23,с,,с,,ADP,O,
ru-12,2,24,"""",,"""",,PUNCT,O,
ru-12,2,25,Винтерсхалл,Винтерсхалл,Винтерсхалл,,PROPN,B-ORG,ORG-Wintershall
ru-12,2,26,Нидерланды,Нидерланды,Нидерланды,,PROPN,I-ORG,ORG-Wintershall
ru-12,2,27,Транспорт,Транспорт,транспорт,,PROPN,I-ORG,ORG-Wintershall
ru-12,2,28,энд,энд,энд,,PROPN,I-ORG,ORG-Wintershall
ru-12,2,29,Трейдинг,Трейдинг,Трейдинг,,PROPN,I-ORG,ORG-Wintershall
ru-12,2,30,Б.,Б.,Б.,,PROPN,I-ORG,ORG-Wintershall
ru-12,2,31,В.,В.,В.,,PROPN,I-ORG,ORG-Wintershall
ru-12,2,32,"""",,"""",,PUNCT,O,
ru-12,2,33,",",,",",,PUNCT,O,
ru-12,2,34,"""",,"""",,PUNCT,O,
ru-12,2,35,ОМВ,ОМВ,ОМВ,,PROPN,B-ORG,ORG-OMV
ru-12,2,36,Газ,Газ,газ,,PROPN,I-ORG,ORG-OMV
ru-12,2,37,Маркетинг,Маркетинг,Маркетинг,,PROPN,I-ORG,ORG-OMV
ru-12,2,38,Трейдинг,Трейдинг,Трейдинг,,PROPN,I-ORG,ORG-OMV
ru-12,2,39,энд,энд,энд,,PROPN,I-ORG,ORG-OMV
ru-12,2,40,Финанс,Финанс,Финанс,,PROPN,I-ORG,ORG-OMV
ru-12,2,41,Б.,Б.,Б.,,PROPN,I-ORG,ORG-OMV
ru-12,2,42,В.,В.,В.,,PROPN,I-ORG,ORG-OMV
ru-12,2,43,"""",,"""",,PUNCT,O,
ru-12,2,44,",",,",",,PUNCT,O,
ru-12,2,45,"""",,"""",,PUNCT,O,
ru-12,2,46,Шелл,Шелл,Шелл,,PROPN,B-ORG,ORG-Shell-Exploration-Production
ru-12,2,47,Эксплорейшн,Эксплорейшн,Эксплорейшн,,PROPN,I-ORG,ORG-Shell-Exploration-Production
ru-12,2,48,энд,энд,энд,,PROPN,I-ORG,ORG-Shell-Exploration-Production
ru-12,2,49,Продакшн,Продакшн,Продакшн,,PROPN,I-ORG,ORG-Shell-Exploration-Production
ru-12,2,50,(,(,(,,PUNCT,I-ORG,ORG-Shell-Exploration-Production
ru-12,2,51,LXXI,LXXI,LXXI,,PROPN,I-ORG,ORG-Shell-Exploration-Production
ru-12,2,52,),),),,PUNCT,I-ORG,ORG-Shell-Exploration-Production
ru-12,2,53,Б.,Б.,Б.,,PROPN,I-ORG,ORG-Shell-Exploration-Production
ru-12,2,54,В.,В.,В.,,PROPN,I-ORG,ORG-Shell-Exploration-Production
ru-12,2,55,"""",,"""",,PUNCT,O,
ru-12,2,56,",",,",",,PUNCT,O,
ru-12,2,57,"""",,"""",,PUNCT,O,
ru-12,2,58,Энжи,Энжи,Энжи,,PROPN,B-ORG,ORG-Engie
ru-12,2,59,Энерджи,Энерджи,Энерджи,,PROPN,I-ORG,ORG-Engie
ru-12,2,60,Менеджмент,Менеджмент,Менеджмент,,PROPN,I-ORG,ORG-Engie
ru-12,2,61,Холдинг,Холдинг,Холдинг,,PROPN,I-ORG,ORG-Engie
ru-12,2,62,Швейцария,Швейцария,Швейцария,,PROPN,I-ORG,ORG-Engie
ru-12,2,63,АГ,АГ,АГ,,PROPN,I-ORG,ORG-Engie
