docId,sentenceId,tokenId,text,lemma,ner,clID
ru-209,0,1,В,,O,
ru-209,0,2,Нидерландах,Нидерланды,B-LOC,GPE-Holland
ru-209,0,3,по,,O,
ru-209,0,4,иску,,O,
ru-209,0,5,«,,O,
ru-209,0,6,Нафтогаза,Нафтогаз,B-ORG,ORG-Naftogaz
ru-209,0,7,»,,O,
ru-209,0,8,арестовали,,O,
ru-209,0,9,принадлежащие,,O,
ru-209,0,10,«,,O,
ru-209,0,11,Газпрому,Газпром,B-ORG,ORG-Gazprom
ru-209,0,12,»,,O,
ru-209,0,13,акции,,O,
ru-209,0,14,«,,O,
ru-209,0,15,Голубого,Голубой,B-PRO,PRO-Blue-Stream
ru-209,0,16,потока»,поток,I-PRO,PRO-Blue-Stream
ru-209,1,1,В,,O,
ru-209,1,2,Нидерландах,Нидерланды,B-LOC,GPE-Holland
ru-209,1,3,по,,O,
ru-209,1,4,иску,,O,
ru-209,1,5,«,,O,
ru-209,1,6,Нафтогаза,Нафтогаз,B-ORG,ORG-Naftogaz
ru-209,1,7,»,,O,
ru-209,1,8,арестовали,,O,
ru-209,1,9,принадлежащие,,O,
ru-209,1,10,«,,O,
ru-209,1,11,Газпрому,Газпром,B-ORG,ORG-Gazprom
ru-209,1,12,»,,O,
ru-209,1,13,акции,,O,
ru-209,1,14,«,,O,
ru-209,1,15,Голубого,Голубой,B-PRO,PRO-Blue-Stream
ru-209,1,16,потока»,поток,I-PRO,PRO-Blue-Stream
ru-209,2,1,119,,O,
ru-209,2,2,0,,O,
ru-209,2,3,.,,O,
ru-209,3,1,Энергетика,,O,
ru-209,3,2,Украинская,,O,
ru-209,3,3,компания,,O,
ru-209,3,4,добивается,,O,
ru-209,3,5,взыскания,,O,
ru-209,3,6,с,,O,
ru-209,3,7,«,,O,
ru-209,3,8,Газпрома,Газпром,B-ORG,ORG-Gazprom
ru-209,3,9,»,,O,
ru-209,3,10,более,,O,
ru-209,3,11,$,,O,
ru-209,3,12,"2,5",,O,
ru-209,3,13,млрд.,,O,
ru-209,4,1,Окружной,Окружной,B-ORG,ORG-Amsterdam-District-Court
ru-209,4,2,суд,суд,I-ORG,ORG-Amsterdam-District-Court
ru-209,4,3,Амстердама,Амстердама,I-ORG,ORG-Amsterdam-District-Court
ru-209,4,4,от,,O,
ru-209,4,5,30,,O,
ru-209,4,6,мая,,O,
ru-209,4,7,2018,,O,
ru-209,4,8,года,,O,
ru-209,4,9,постановил,,O,
