docId,sentenceId,tokenId,text,lemma,ner,clID
uk-11,0,1,15,,O,
uk-11,0,2,:,,O,
uk-11,0,3,55,,O,
uk-11,0,4,Газпром,Газпром,B-ORG,ORG-Gazprom
uk-11,0,5,прокоментував,,O,
uk-11,0,6,заяву,,O,
uk-11,0,7,Нафтогазу,Нафтогаз,B-ORG,ORG-Naftogaz
uk-11,0,8,про,,O,
uk-11,0,9,арешт,,O,
uk-11,0,10,акцій,,O,
uk-11,0,11,Північного,Північний,B-ORG,ORG-Nord-Stream-2-AG
uk-11,0,12,потоку,потік,I-ORG,ORG-Nord-Stream-2-AG
uk-11,0,13,-,-,I-ORG,ORG-Nord-Stream-2-AG
uk-11,0,14,2,2,I-ORG,ORG-Nord-Stream-2-AG
uk-11,1,1,В,,O,
uk-11,1,2,російському,,O,
uk-11,1,3,"""",,O,
uk-11,1,4,Газпромі,Газпром,B-ORG,ORG-Gazprom
uk-11,1,5,"""",,O,
uk-11,1,6,назвали,,O,
uk-11,1,7,заяву,,O,
uk-11,1,8,"""",,O,
uk-11,1,9,Нафтогазу,Нафтогаз,B-ORG,ORG-Naftogaz
uk-11,1,10,"""",,O,
uk-11,1,11,про,,O,
uk-11,1,12,відновлення,,O,
uk-11,1,13,судом,,O,
uk-11,1,14,Швейцарії,Швейцарія,B-LOC,GPE-Switzerland
uk-11,1,15,таким,,O,
uk-11,1,16,",",,O,
uk-11,1,17,що,,O,
uk-11,1,18,не,,O,
uk-11,1,19,відповідає,,O,
uk-11,1,20,дійсності,,O,
uk-11,1,21,.,,O,
uk-11,2,1,Про,,O,
uk-11,2,2,це,,O,
uk-11,2,3,ПРАЙМ,ПРАЙМ,B-ORG,ORG-News-PRAIM-UA
uk-11,2,4,.,,O,
uk-11,2,5,повідомляє,,O,
uk-11,2,6,Як,,O,
uk-11,2,7,зазначили,,O,
uk-11,2,8,в,,O,
uk-11,2,9,"""",,O,
uk-11,2,10,Газпромі,Газпром,B-ORG,ORG-Gazprom
uk-11,2,11,"""",,O,
uk-11,2,12,",",,O,
uk-11,2,13,суд,,O,
uk-11,2,14,тільки,,O,
uk-11,2,15,призупинив,,O,
uk-11,2,16,виняток,,O,
uk-11,2,17,для,,O,
uk-11,2,18,цих,,O,
uk-11,2,19,акцій,,O,
uk-11,2,20,зі,,O,
uk-11,2,21,списку,,O,
uk-11,2,22,активів,,O,
uk-11,2,23,",",,O,
uk-11,2,24,на,,O,
uk-11,2,25,які,,O,
uk-11,2,26,накладаються,,O,
uk-11,2,27,забезпечувальні,,O,
uk-11,2,28,заходи,,O,
uk-11,2,29,.,,O,
uk-11,3,1,"""",,O,
uk-11,3,2,Заява,,O,
uk-11,3,3,"""",,O,
uk-11,3,4,Нафтогазу,Нафтогаз,B-ORG,ORG-Naftogaz
uk-11,3,5,України,Україна,B-LOC,GPE-Ukraine
uk-11,3,6,"""",,O,
uk-11,3,7,про,,O,
uk-11,3,8,те,,O,
uk-11,3,9,",",,O,
uk-11,3,10,що,,O,
uk-11,3,11,суд,,O,
uk-11,3,12,кантону,,O,
uk-11,3,13,Цуг,Цуг,B-LOC,GPE-Zug
uk-11,3,14,(,,O,
uk-11,3,15,Швейцарія,Швейцарія,B-LOC,GPE-Switzerland
uk-11,3,16,),,O,
uk-11,3,17,відновив,,O,
uk-11,3,18,арешт,,O,
uk-11,3,19,акцій,,O,
