docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
uk-2,0,1,ВРУ,,ВРУ,Y,PROPN,O,
uk-2,0,2,закликала,,закликати,Vmeis-sf,VERB,O,
uk-2,0,3,ЄС,ЄС,ЄС,Y,PROPN,B-LOC,ORG-European-Union
uk-2,0,4,вжити,,вжити,Vmen,VERB,O,
uk-2,0,5,заходів,,захід,Ncmpgn,NOUN,O,
uk-2,0,6,щодо,,щодо,Spsg,ADP,O,
uk-2,0,7,унеможливлення,,унеможливлення,Ncnsgn,NOUN,O,
uk-2,0,8,будівництва,,будівництво,Ncnsgn,NOUN,O,
uk-2,0,9,Nord,Nord,Nord,X,X,B-ORG,ORG-Nord-Stream-2-AG
uk-2,0,10,Stream,Stream,Stream,X,X,I-ORG,ORG-Nord-Stream-2-AG
uk-2,0,11,2,2,2,Mlc-nn,NUM,I-ORG,ORG-Nord-Stream-2-AG
uk-2,1,1,Верховна,,верховний,Ao-fsns,ADJ,O,
uk-2,1,2,Рада,,рада,Ncfsnn,NOUN,O,
uk-2,1,3,України,Україна,Україна,Npfsgn,PROPN,B-LOC,GPE-Ukraine
uk-2,1,4,закликає,,закликати,Vmeip3s,VERB,O,
uk-2,1,5,Євросоюз,Євросоюз,Євросоюз,Npmsan,PROPN,B-ORG,ORG-European-Union
uk-2,1,6,вжити,,вжити,Vmen,VERB,O,
uk-2,1,7,заходів,,захід,Ncmpgn,NOUN,O,
uk-2,1,8,щодо,,щодо,Spsg,ADP,O,
uk-2,1,9,унеможливлення,,унеможливлення,Ncnsgn,NOUN,O,
uk-2,1,10,будівництва,,будівництво,Ncnsgn,NOUN,O,
uk-2,1,11,газопроводу,,газопровід,Ncmsgn,NOUN,O,
uk-2,1,12,"""",,"""",U,PUNCT,O,
uk-2,1,13,Північний,Північний,північний,Afpmsnf,ADJ,B-ORG,ORG-Nord-Stream-2-AG
uk-2,1,14,потік,потік,потік,Ncmsnn,NOUN,I-ORG,ORG-Nord-Stream-2-AG
uk-2,1,15,-,-,-,U,PUNCT,I-ORG,ORG-Nord-Stream-2-AG
uk-2,1,16,2,2,2,Mlcmsn,NUM,I-ORG,ORG-Nord-Stream-2-AG
uk-2,1,17,"""",,"""",U,PUNCT,O,
uk-2,1,18,.,,.,U,PUNCT,O,
uk-2,2,1,Парламентарі,,парламентар,Ncmpny,NOUN,O,
uk-2,2,2,233,,233,Mlc-n,NUM,O,
uk-2,2,3,голосами,,голос,Ncmpin,NOUN,O,
uk-2,2,4,підтримали,,підтримати,Vmeis-p,VERB,O,
uk-2,2,5,відовідне,,відовідний,Ao-nsas,ADJ,O,
uk-2,2,6,звернення,,звернення,Ncnsan,NOUN,O,
uk-2,2,7,",",,",",U,PUNCT,O,
uk-2,2,8,передає,,передавати,Vmpip3s,VERB,O,
uk-2,2,9,"""",,"""",U,PUNCT,O,
uk-2,2,10,Очікуємо,,очікувати,Vmpip1p,VERB,O,
uk-2,2,11,від,,від,Spsg,ADP,O,
uk-2,2,12,Європейського,Європейський,європейський,Ao-msgf,ADJ,B-ORG,ORG-European-Union
uk-2,2,13,Союзу,Союз,союз,Ncmsgn,NOUN,I-ORG,ORG-European-Union
uk-2,2,14,підтвердження,,підтвердження,Ncnsgn,NOUN,O,
uk-2,2,15,стратегічної,,стратегічний,Ao-fsgf,ADJ,O,
uk-2,2,16,ролі,,роль,Ncfsgn,NOUN,O,
uk-2,2,17,України,Україна,Україна,Npfsgn,PROPN,B-LOC,GPE-Ukraine
uk-2,2,18,як,,як,Css,SCONJ,O,
uk-2,2,19,держави,,держава,Ncfsgn,NOUN,O,
uk-2,2,20,-,,-,U,PUNCT,O,
uk-2,2,21,транзитера,,транзитер,Ncmsgy,NOUN,O,
uk-2,2,22,для,,для,Spsg,ADP,O,
uk-2,2,23,постачання,,постачання,Ncnsgn,NOUN,O,
uk-2,2,24,газу,,газ,Ncmsgn,NOUN,O,
uk-2,2,25,до,,до,Spsg,ADP,O,
uk-2,2,26,Європейського,Європейський,європейський,Ao-msgf,ADJ,B-ORG,ORG-European-Union
uk-2,2,27,Союзу,Союз,союз,Ncmsgn,NOUN,I-ORG,ORG-European-Union
uk-2,2,28,",",,",",U,PUNCT,O,
uk-2,2,29,що,,що,Css,SCONJ,O,
uk-2,2,30,має,,мати,Vmpip3s,VERB,O,
uk-2,2,31,ключове,,ключовий,Ao-nsas,ADJ,O,
uk-2,2,32,значення,,значення,Ncnsan,NOUN,O,
uk-2,2,33,для,,для,Spsg,ADP,O,
uk-2,2,34,обох,,обидва,Mlc-gg,NUM,O,
uk-2,2,35,сторін,,сторона,Ncfpgn,NOUN,O,
uk-2,2,36,",",,",",U,PUNCT,O,
uk-2,2,37,а,,а,Ccs,CCONJ,O,
uk-2,2,38,також,,також,R,ADV,O,
uk-2,2,39,вжиття,,вжиття,Ncnsan,NOUN,O,
uk-2,2,40,заходів,,захід,Ncmpgn,NOUN,O,
uk-2,2,41,для,,для,Spsg,ADP,O,
uk-2,2,42,унеможливлення,,унеможливлення,Ncnsgn,NOUN,O,
uk-2,2,43,будівництва,,будівництво,Ncnsgn,NOUN,O,
uk-2,2,44,політично,,політично,R,ADV,O,
uk-2,2,45,вмотивованого,,вмотивований,Ap-msgf-ep,ADJ,O,
uk-2,2,46,проекту,,проект,Ncmsgn,NOUN,O,
uk-2,2,47,транзитного,,транзитний,Afpmsgf,ADJ,O,
uk-2,2,48,газопроводу,,газопровід,Ncmsgn,NOUN,O,
uk-2,2,49,"""",,"""",U,PUNCT,O,
uk-2,2,50,Північний,Північний,північний,Afpmsnf,ADJ,B-ORG,ORG-Nord-Stream-2-AG
uk-2,2,51,потік,потік,потік,Ncmsnn,NOUN,I-ORG,ORG-Nord-Stream-2-AG
uk-2,2,52,-,-,-,U,PUNCT,I-ORG,ORG-Nord-Stream-2-AG
uk-2,2,53,2,2,2,Mlcmsn,NUM,I-ORG,ORG-Nord-Stream-2-AG
uk-2,2,54,"""",,"""",U,PUNCT,O,
uk-2,2,55,",",,",",U,PUNCT,O,
uk-2,2,56,який,,який,Pr--m-sna,DET,O,
uk-2,2,57,загрожує,,загрожувати,Vmpip3s,VERB,O,
uk-2,2,58,енергетичній,,енергетичний,Ao-fsdf,ADJ,O,
uk-2,2,59,безпеці,,безпека,Ncfsdn,NOUN,O,
uk-2,2,60,України,Україна,Україна,Npfsgn,PROPN,B-LOC,GPE-Ukraine
uk-2,2,61,та,,та,Ccs,CCONJ,O,
uk-2,2,62,всієї,,весь,Pg--f-sga,DET,O,
uk-2,2,63,Європи,Європа,Європа,Npfsgn,PROPN,B-LOC,GPE-Europe
uk-2,2,64,"""",,"""",U,PUNCT,O,
uk-2,2,65,",",,",",U,PUNCT,O,
uk-2,2,66,-,,-,U,PUNCT,O,
uk-2,2,67,наголошується,,наголошуватися,Vmpip3s,VERB,O,
uk-2,2,68,у,,у,Spsl,ADP,O,
uk-2,2,69,зверненні,,звернення,Ncnsln,NOUN,O,
