docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
pl-613,0,1,Niemcy,Niemcy,Niemiec,subst:pl:nom:m1,PROPN,B-LOC,GPE-Germany
pl-613,0,2,:,,:,interp,PUNCT,O,
pl-613,0,3,Ekolodzy,,ekolog,subst:pl:nom:m1,NOUN,O,
pl-613,0,4,starają,,starać,fin:pl:ter:imperf,VERB,O,
pl-613,0,5,się,,się,part,PRON,O,
pl-613,0,6,w,,w,prep:loc:nwok,ADP,O,
pl-613,0,7,sądzie,,sąd,subst:sg:loc:m3,NOUN,O,
pl-613,0,8,zatrzymać,,zatrzymać,inf:perf,VERB,O,
pl-613,0,9,Nord,Nord,Nord,subst:sg:nom:n,PROPN,B-PRO,PRO-Nord-Stream-2
pl-613,0,10,Stream,Stream,Stream,subst:sg:acc:m3,PROPN,I-PRO,PRO-Nord-Stream-2
pl-613,0,11,2,2,2,dig,X,I-PRO,PRO-Nord-Stream-2
pl-613,1,1,Naturschutzbund,Naturschutzbund,Naturschutzbund,subst:sg:nom:f,PROPN,B-ORG,ORG-NABU-NGO
pl-613,1,2,Deutschland,Deutschland,Deutschland,subst:sg:nom:m3,PROPN,I-ORG,ORG-NABU-NGO
pl-613,1,3,złożyła,,złożyć,praet:sg:f:perf,VERB,O,
pl-613,1,4,w,,w,prep:loc:nwok,ADP,O,
pl-613,1,5,Wyższym,Wyższy,wysoki,adj:sg:loc:m3:com,ADJ,B-ORG,ORG-Supreme-Administrative-Court-of-Greifswald
pl-613,1,6,Sądzie,Sąd,sąd,subst:sg:loc:m3,NOUN,I-ORG,ORG-Supreme-Administrative-Court-of-Greifswald
pl-613,1,7,Administracyjnym,Administracyjny,Administracyjny,adj:sg:loc:m3:pos,ADJ,I-ORG,ORG-Supreme-Administrative-Court-of-Greifswald
pl-613,1,8,w,w,w,prep:loc:nwok,ADP,I-ORG,ORG-Supreme-Administrative-Court-of-Greifswald
pl-613,1,9,Greifswaldzie,Greifswaldzie,Greifswald,subst:sg:loc:m3,PROPN,I-ORG,ORG-Supreme-Administrative-Court-of-Greifswald
pl-613,1,10,wniosek,,wniosek,subst:sg:acc:m3,NOUN,O,
pl-613,1,11,o,,o,prep:acc,ADP,O,
pl-613,1,12,natychmiastowe,,natychmiastowy,adj:sg:acc:n:pos,ADJ,O,
pl-613,1,13,wstrzymanie,,wstrzymać,ger:sg:acc:n:perf:aff,NOUN,O,
pl-613,1,14,budowy,,budowa,subst:sg:gen:f,NOUN,O,
pl-613,1,15,niemieckiego,,niemiecki,adj:sg:gen:m3:pos,ADJ,O,
pl-613,1,16,odcinka,,odcinek,subst:sg:gen:m3,NOUN,O,
pl-613,1,17,gazociągu,,gazociąg,subst:sg:gen:m3,NOUN,O,
pl-613,1,18,.,,.,interp,PUNCT,O,
pl-613,2,1,Nie,,nie,part,PART,O,
pl-613,2,2,jest,,być,fin:sg:ter:imperf,AUX,O,
pl-613,2,3,to,,to,pred,AUX,O,
pl-613,2,4,pierwszy,,pierwszy,adj:sg:nom:m3:pos,ADJ,O,
pl-613,2,5,raz,,raz,subst:sg:nom:m3,NOUN,O,
pl-613,2,6,",",,",",interp,PUNCT,O,
pl-613,2,7,gdy,,gdy,adv,ADV,O,
pl-613,2,8,niemieccy,Niemcy,niemiecki,adj:pl:nom:m1:pos,ADJ,B-LOC,GPE-Germany
pl-613,2,9,ekolodzy,,ekolog,subst:pl:nom:m1,NOUN,O,
pl-613,2,10,starają,,starać,fin:pl:ter:imperf,VERB,O,
pl-613,2,11,się,,się,part,PRON,O,
pl-613,2,12,zatrzymać,,zatrzymać,inf:perf,VERB,O,
pl-613,2,13,budowę,,budowa,subst:sg:acc:f,NOUN,O,
pl-613,2,14,Nord,Nord,Nord,subst:sg:gen:n,PROPN,B-PRO,PRO-Nord-Stream-2
pl-613,2,15,Stream,Stream,Stream,subst:sg:gen:n,PROPN,I-PRO,PRO-Nord-Stream-2
pl-613,2,16,2,2,2,dig,X,I-PRO,PRO-Nord-Stream-2
pl-613,2,17,.,,.,interp,PUNCT,O,
pl-613,3,1,Naturschutzbund,Naturschutzbund,Naturschutzbund,subst:sg:nom:m1,PROPN,B-ORG,ORG-NABU-NGO
pl-613,3,2,Deutschland,Deutschland,Deutschland,subst:sg:nom:m3,PROPN,I-ORG,ORG-NABU-NGO
pl-613,3,3,już,,już,part,PART,O,
pl-613,3,4,w,,w,prep:loc:nwok,ADP,O,
pl-613,3,5,lutym,,luty,subst:sg:loc:m3,NOUN,O,
pl-613,3,6,próbowali,,próbować,praet:pl:m1:imperf,VERB,O,
pl-613,3,7,swoich,,swój,adj:pl:gen:f:pos,DET,O,
pl-613,3,8,sił,,siła,subst:pl:gen:f,NOUN,O,
pl-613,3,9,w,,w,prep:loc:nwok,ADP,O,
pl-613,3,10,sądzie,,sąd,subst:sg:loc:m3,NOUN,O,
pl-613,3,11,.,,.,interp,PUNCT,O,
pl-613,4,1,–,,–,interp,PUNCT,O,
pl-613,4,2,Próbujemy,,próbować,fin:pl:pri:imperf,VERB,O,
pl-613,4,3,i,,i,conj,CCONJ,O,
pl-613,4,4,naturalnie,,naturalnie,adv:pos,ADV,O,
pl-613,4,5,mamy,,mieć,fin:pl:pri:imperf,VERB,O,
pl-613,4,6,nadzieję,,nadzieja,subst:sg:acc:f,NOUN,O,
pl-613,4,7,",",,",",interp,PUNCT,O,
pl-613,4,8,że,,że,comp,SCONJ,O,
pl-613,4,9,osiągniemy,,osiągnąć,fin:pl:pri:perf,VERB,O,
pl-613,4,10,sukces,,sukces,subst:sg:acc:m3,NOUN,O,
pl-613,4,11,–,,–,interp,PUNCT,O,
pl-613,4,12,mówi,,mówić,fin:sg:ter:imperf,VERB,O,
pl-613,4,13,Silvia,Silvia,Silvia,subst:sg:nom:f,PROPN,B-PER,PER-Silvia-Teich
pl-613,4,14,Teich,Teich,Teich,subst:sg:nom:f,PROPN,I-PER,PER-Silvia-Teich
pl-613,4,15,z,,z,prep:gen:nwok,ADP,O,
pl-613,4,16,biura,,biuro,subst:sg:gen:n:ncol,NOUN,O,
pl-613,4,17,prasowego,,prasowy,adj:sg:gen:n:pos,ADJ,O,
pl-613,4,18,NABU,NABU,NABU,subst:sg:gen:n,PROPN,B-ORG,ORG-NABU-NGO
pl-613,4,19,w,,w,prep:loc:nwok,ADP,O,
pl-613,4,20,rozmowie,,rozmowa,subst:sg:loc:f,NOUN,O,
pl-613,4,21,z,,z,prep:inst:nwok,ADP,O,
pl-613,4,22,Polskim,Polskie,polski,adj:sg:inst:n:pos,ADJ,B-PRO,PRO-Polish-Radio
