docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
sl-177,0,1,Sin,,sin,Ncmsn,NOUN,O,
sl-177,0,2,je,,biti,Va-r3s-n,AUX,O,
sl-177,0,3,izrezan,,izrezan,Appmsnn,ADJ,O,
sl-177,0,4,sultan,,sultan,Ncmsn,NOUN,O,
sl-177,0,5,",",,",",Z,PUNCT,O,
sl-177,0,6,čeprav,,čeprav,Cs,SCONJ,O,
sl-177,0,7,ta,,ta,Pd-msn,DET,O,
sl-177,0,8,trdi,,trditi,Vmpr3s,VERB,O,
sl-177,0,9,",",,",",Z,PUNCT,O,
sl-177,0,10,da,,da,Cs,SCONJ,O,
sl-177,0,11,ni,,biti,Va-r3s-y,VERB,O,
sl-177,0,12,njegov,,njegov,Ps3msnsm,DET,O,
sl-177,1,1,Rihana,Rihana,rihan,Appfsn,ADJ,B-PER,PER-Oksana-Voevodina
sl-177,1,2,Oksana,Oksana,Oksana,Npfsn,PROPN,I-PER,PER-Oksana-Voevodina
sl-177,1,3,vztrajno,,vztrajno,Rgp,ADV,O,
sl-177,1,4,objavlja,,objavljati,Vmpr3s,VERB,O,
sl-177,1,5,malčkove,,malčkov,Aspfpa,ADJ,O,
sl-177,1,6,fotografije,,fotografija,Ncfpa,NOUN,O,
sl-177,1,7,.,,.,Z,PUNCT,O,
sl-177,2,1,Šestmesečni,,šestmesečen,Agpmsny,ADJ,O,
sl-177,2,2,deček,,deček,Ncmsn,NOUN,O,
sl-177,2,3,je,,biti,Va-r3s-n,AUX,O,
sl-177,2,4,bil,,biti,Va-p-sm,AUX,O,
sl-177,2,5,vzrok,,vzrok,Ncmsn,NOUN,O,
sl-177,2,6,za,,za,Sa,ADP,O,
sl-177,2,7,ločitev,,ločitev,Ncfsa,NOUN,O,
sl-177,2,8,.,,.,Z,PUNCT,O,
sl-177,3,1,Sultan,,sultan,Npmsn,PROPN,O,
sl-177,3,2,menda,,menda,Q,PART,O,
sl-177,3,3,noče,,hoteti,Vmpr3s-y,VERB,O,
sl-177,3,4,opraviti,,opraviti,Vmen,VERB,O,
sl-177,3,5,testa,,test,Ncmsg,NOUN,O,
sl-177,3,6,očetovstva,,očetovstvo,Ncnsg,NOUN,O,
sl-177,3,7,",",,",",Z,PUNCT,O,
sl-177,3,8,a,,a,Cc,CCONJ,O,
sl-177,3,9,iz,,iz,Sg,ADP,O,
sl-177,3,10,palače,,palača,Ncfsg,NOUN,O,
sl-177,3,11,trdijo,,trditi,Vmpr3p,VERB,O,
sl-177,3,12,",",,",",Z,PUNCT,O,
sl-177,3,13,da,,da,Cs,SCONJ,O,
sl-177,3,14,je,,biti,Va-r3s-n,AUX,O,
sl-177,3,15,Rihana,Rihana,rihan,Appfsn,ADJ,B-PER,PER-Oksana-Voevodina
sl-177,3,16,tista,,tisti,Pd-fsn,DET,O,
sl-177,3,17,",",,",",Z,PUNCT,O,
sl-177,3,18,ki,,ki,Cs,SCONJ,O,
sl-177,3,19,se,,se,Px------y,PRON,O,
sl-177,3,20,ga,,on,Pp3msa--y,PRON,O,
sl-177,3,21,je,,biti,Va-r3s-n,AUX,O,
sl-177,3,22,branila,,braniti,Vmpp-sf,VERB,O,
sl-177,3,23,.,,.,Z,PUNCT,O,
sl-177,4,1,Nekdanja,,nekdanji,Agpfsn,ADJ,O,
sl-177,4,2,žena,,žena,Ncfsn,NOUN,O,
sl-177,4,3,malezijskega,,malezijski,Agpmsg,ADJ,O,
sl-177,4,4,kralja,,kralj,Ncmsg,NOUN,O,
sl-177,4,5,Rihana,Rihana,Rihana,Npfsn,PROPN,B-PER,PER-Oksana-Voevodina
sl-177,4,6,Oksana,Oksana,Oksana,Npfsn,PROPN,I-PER,PER-Oksana-Voevodina
sl-177,4,7,Voevodina,Voevodina,Voevodina,Npfsn,PROPN,I-PER,PER-Oksana-Voevodina
sl-177,4,8,se,,se,Px------y,PRON,O,
sl-177,4,9,še,,še,Q,PART,O,
sl-177,4,10,vedno,,vedno,Rgp,ADV,O,
sl-177,4,11,trudi,,truditi,Vmpr3s,VERB,O,
sl-177,4,12,",",,",",Z,PUNCT,O,
sl-177,4,13,da,,da,Cs,SCONJ,O,
sl-177,4,14,bi,,biti,Va-c,AUX,O,
sl-177,4,15,sultan,,sultan,Ncmsn,NOUN,O,
sl-177,4,16,Muhamad,Muhamad,Muhamad,Npmsn,PROPN,B-PER,PER-Muhamad-V
sl-177,4,17,V.,,V.,Y,X,O,
sl-177,4,18,sprejel,,sprejeti,Vmep-sm,VERB,O,
sl-177,4,19,",",,",",Z,PUNCT,O,
sl-177,4,20,da,,da,Cs,SCONJ,O,
sl-177,4,21,je,,biti,Va-r3s-n,AUX,O,
sl-177,4,22,otrok,,otrok,Ncmsn,NOUN,O,
sl-177,4,23,",",,",",Z,PUNCT,O,
sl-177,4,24,ki,,ki,Cs,SCONJ,O,
sl-177,4,25,ga,,on,Pp3msa--y,PRON,O,
sl-177,4,26,je,,biti,Va-r3s-n,AUX,O,
sl-177,4,27,rodila,,roditi,Vmbp-sf,VERB,O,
sl-177,4,28,maja,,maj,Ncmsg,NOUN,O,
sl-177,4,29,",",,",",Z,PUNCT,O,
sl-177,4,30,res,,res,Rgp,ADV,O,
sl-177,4,31,njegov,,njegov,Ps3msnsm,DET,O,
sl-177,4,32,.,,.,Z,PUNCT,O,
sl-177,5,1,Muhamad,Muhamad,Muhamad,Npmsn,PROPN,B-PER,PER-Muhamad-V
sl-177,5,2,V.,,V.,Y,X,O,
sl-177,5,3,je,,biti,Va-r3s-n,AUX,O,
sl-177,5,4,namreč,,namreč,Cc,CCONJ,O,
sl-177,5,5,prav,,prav,Q,PART,O,
sl-177,5,6,to,,ta,Pd-nsa,DET,O,
sl-177,5,7,",",,",",Z,PUNCT,O,
sl-177,5,8,da,,da,Cs,SCONJ,O,
sl-177,5,9,dvomi,,dvomiti,Vmpr3s,VERB,O,
sl-177,5,10,o,,o,Sl,ADP,O,
sl-177,5,11,očetovstvu,,očetovstvo,Ncnsl,NOUN,O,
sl-177,5,12,malega,,mali,Agpmsg,ADJ,O,
sl-177,5,13,Ismaila,Ismail,Ismail,Npmsg,PROPN,B-PER,PER-Tengku-Ismail-Leon-Petra
sl-177,5,14,Leona,Leon,Leon,Npmsg,PROPN,I-PER,PER-Tengku-Ismail-Leon-Petra
sl-177,5,15,",",,",",Z,PUNCT,O,
sl-177,5,16,navedel,,navesti,Vmep-sm,VERB,O,
sl-177,5,17,kot,,kot,Cs,SCONJ,O,
sl-177,5,18,vzrok,,vzrok,Ncmsan,NOUN,O,
sl-177,5,19,za,,za,Sa,ADP,O,
sl-177,5,20,ločitev,,ločitev,Ncfsa,NOUN,O,
sl-177,5,21,",",,",",Z,PUNCT,O,
sl-177,5,22,a,,a,Cc,CCONJ,O,
sl-177,5,23,27-letna,,2vreten,Agpfsn,ADJ,O,
sl-177,5,24,Rusinja,Rusinja,Rusinja,Npfsn,PROPN,B-PER,GPE-Russia
sl-177,5,25,vztrajno,,vztrajno,Rgp,ADV,O,
sl-177,5,26,objavlja,,objavljati,Vmpr3s,VERB,O,
sl-177,5,27,fotografije,,fotografija,Ncfpa,NOUN,O,
sl-177,5,28,malčka,,malček,Ncmsg,NOUN,O,
sl-177,5,29,",",,",",Z,PUNCT,O,
sl-177,5,30,ki,,ki,Cs,SCONJ,O,
sl-177,5,31,je,,biti,Va-r3s-n,AUX,O,
sl-177,5,32,res,,res,Rgp,ADV,O,
sl-177,5,33,vedno,,vedno,Rgp,ADV,O,
sl-177,5,34,bolj,,bolj,Rgc,ADV,O,
sl-177,5,35,podoben,,podoben,Agpmsnn,ADJ,O,
sl-177,5,36,malezijskemu,,malezijski,Agpmsd,ADJ,O,
sl-177,5,37,sultanu,,sultan,Ncmsd,NOUN,O,
sl-177,5,38,.,,.,Z,PUNCT,O,
