docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
sl-3-2,0,1,KONTROLORJI,,kontrolor,Ncmpn,NOUN,O,
sl-3-2,1,1,Se,,se,Px------y,PRON,O,
sl-3-2,1,2,odpravljate,,odpravljati,Vmpr2p,VERB,O,
sl-3-2,1,3,z,,z,Si,ADP,O,
sl-3-2,1,4,letalom,,letalo,Ncnsi,NOUN,O,
sl-3-2,1,5,?,,?,Z,PUNCT,O,
sl-3-2,2,1,Zračni,,zračen,Agpmsny,ADJ,O,
sl-3-2,2,2,prostor,,prostor,Ncmsn,NOUN,O,
sl-3-2,2,3,bo,,biti,Va-f3s-n,AUX,O,
sl-3-2,2,4,zaradi,,zaradi,Sg,ADP,O,
sl-3-2,2,5,stavke,,stavka,Ncfsg,NOUN,O,
sl-3-2,2,6,zaprt,,zaprt,Appmsnn,ADJ,O,
sl-3-2,3,1,Zaradi,,zaradi,Sg,ADP,O,
sl-3-2,3,2,stavke,,stavka,Ncfsg,NOUN,O,
sl-3-2,3,3,so,,biti,Va-r3p-n,AUX,O,
sl-3-2,3,4,za,,za,Sa,ADP,O,
sl-3-2,3,5,sredo,,sreda,Ncfsa,NOUN,O,
sl-3-2,3,6,odpovedani,,odpovedan,Appmpn,ADJ,O,
sl-3-2,3,7,tudi,TUI,tudi,Q,PART,B-ORG,ORG-TUI-Group
sl-3-2,3,8,vsi,,ves,Pg-mpn,DET,O,
sl-3-2,3,9,štirje,,štirje,Mlcmpn,NUM,O,
sl-3-2,3,10,leti,,leto,Ncndn,NOUN,O,
sl-3-2,3,11,Adrie,Adria,Adria,Npfsg,PROPN,B-ORG,ORG-Adria-Airways
sl-3-2,3,12,Airways,Airways,Airways,Npmsn,PROPN,I-ORG,ORG-Adria-Airways
sl-3-2,3,13,iz,,iz,Sg,ADP,O,
sl-3-2,3,14,ljubljanskega,,ljubljanski,Agpnsg,ADJ,O,
sl-3-2,3,15,letališča,,letališče,Ncnsg,NOUN,O,
sl-3-2,3,16,v,,v,Sa,ADP,O,
sl-3-2,3,17,belgijsko,,belgijski,Agpfsa,ADJ,O,
sl-3-2,3,18,prestolnico,,prestolnica,Ncfsa,NOUN,O,
sl-3-2,3,19,.,,.,Z,PUNCT,O,
sl-3-2,4,1,BRUSELJ,Bruselj,Bruselj,Npmsn,PROPN,B-LOC,GPE-Brussles
sl-3-2,4,2,–,,–,Z,PUNCT,O,
sl-3-2,4,3,Kontrolorji,,kontrolor,Ncmpn,NOUN,O,
sl-3-2,4,4,zračnega,,zračen,Agpmsg,ADJ,O,
sl-3-2,4,5,prometa,,promet,Ncmsg,NOUN,O,
sl-3-2,4,6,na,,na,Sl,ADP,O,
sl-3-2,4,7,bruseljskem,,bruseljski,Agpnsl,ADJ,O,
sl-3-2,4,8,letališču,,letališče,Ncnsl,NOUN,O,
sl-3-2,4,9,bodo,,biti,Va-f3p-n,AUX,O,
sl-3-2,4,10,danes,,danes,Rgp,ADV,O,
sl-3-2,4,11,ob,,ob,Sl,ADP,O,
sl-3-2,4,12,22.,,22.,Mdo,NUM,O,
sl-3-2,4,13,uri,,ura,Ncfsl,NOUN,O,
sl-3-2,4,14,začeli,,začeti,Vmep-pm,VERB,O,
sl-3-2,4,15,24-urno,,24vuren,Agpfsa,ADJ,O,
sl-3-2,4,16,stavko,,stavka,Ncfsa,NOUN,O,
sl-3-2,4,17,",",,",",Z,PUNCT,O,
sl-3-2,4,18,v,,v,Sl,ADP,O,
sl-3-2,4,19,tem,,ta,Pd-msl,DET,O,
sl-3-2,4,20,času,,čas,Ncmsl,NOUN,O,
sl-3-2,4,21,pa,,pa,Cc,CCONJ,O,
sl-3-2,4,22,v,,v,Sl,ADP,O,
sl-3-2,4,23,zračnem,,zračen,Agpmsl,ADJ,O,
sl-3-2,4,24,prostoru,,prostor,Ncmsl,NOUN,O,
sl-3-2,4,25,pod,,pod,Si,ADP,O,
sl-3-2,4,26,8000,,8000,Mdc,NUM,O,
sl-3-2,4,27,metri,,meter,Ncmpi,NOUN,O,
sl-3-2,4,28,ne,,ne,Q,PART,O,
sl-3-2,4,29,bo,,biti,Va-f3s-n,VERB,O,
sl-3-2,4,30,prometa,,promet,Ncmsg,NOUN,O,
sl-3-2,4,31,.,,.,Z,PUNCT,O,
sl-3-2,5,1,Zaradi,,zaradi,Sg,ADP,O,
sl-3-2,5,2,stavke,,stavka,Ncfsg,NOUN,O,
sl-3-2,5,3,so,,biti,Va-r3p-n,AUX,O,
sl-3-2,5,4,za,,za,Sa,ADP,O,
sl-3-2,5,5,sredo,,sreda,Ncfsa,NOUN,O,
sl-3-2,5,6,odpovedani,,odpovedan,Appmpn,ADJ,O,
sl-3-2,5,7,tudi,TUI,tudi,Q,PART,B-ORG,ORG-TUI-Group
sl-3-2,5,8,vsi,,ves,Pg-mpn,DET,O,
sl-3-2,5,9,štirje,,štirje,Mlcmpn,NUM,O,
sl-3-2,5,10,leti,,leto,Ncndn,NOUN,O,
sl-3-2,5,11,Adrie,Adria,Adria,Npfsg,PROPN,B-ORG,ORG-Adria-Airways
sl-3-2,5,12,Airways,Airways,Airways,Npmsn,PROPN,I-ORG,ORG-Adria-Airways
sl-3-2,5,13,iz,,iz,Sg,ADP,O,
sl-3-2,5,14,ljubljanskega,,ljubljanski,Agpnsg,ADJ,O,
sl-3-2,5,15,letališča,,letališče,Ncnsg,NOUN,O,
sl-3-2,5,16,v,,v,Sa,ADP,O,
sl-3-2,5,17,belgijsko,,belgijski,Agpfsa,ADJ,O,
sl-3-2,5,18,prestolnico,,prestolnica,Ncfsa,NOUN,O,
sl-3-2,5,19,.,,.,Z,PUNCT,O,
sl-3-2,6,1,Pridružili,,pridružiti,Vmep-pm,VERB,O,
