docId,sentenceId,tokenId,text,lemma,ner,clID
sl-34,0,1,Kam,,O,
sl-34,0,2,naj,,O,
sl-34,0,3,gre,,O,
sl-34,0,4,558,,O,
sl-34,0,5,brezposelnih,,O,
sl-34,0,6,delavcev,,O,
sl-34,0,7,?,,O,
sl-34,1,1,Zavod,,O,
sl-34,1,2,ponuja,,O,
sl-34,1,3,...,,O,
sl-34,2,1,NASVET,,O,
sl-34,3,1,Zavod,zavod,B-ORG,ORG-Employment-Service-of-Slovenia
sl-34,3,2,za,za,I-ORG,ORG-Employment-Service-of-Slovenia
sl-34,3,3,zaposlovanje,zaposlovanje,I-ORG,ORG-Employment-Service-of-Slovenia
sl-34,3,4,na,,O,
sl-34,3,5,pomoč,,O,
sl-34,3,6,zaposlenim,,O,
sl-34,3,7,v,,O,
sl-34,3,8,Adrii,Adria,B-ORG,ORG-Adria-Airways
sl-34,3,9,Airways,Airways,I-ORG,ORG-Adria-Airways
sl-34,3,10,.,,O,
sl-34,4,1,LJUBLJANA,Ljubljana,B-LOC,GPE-Ljubljana
sl-34,4,2,–,,O,
sl-34,4,3,Začetek,,O,
sl-34,4,4,stečaja,,O,
sl-34,4,5,letalskega,,O,
sl-34,4,6,prevoznika,,O,
sl-34,4,7,Adrie,Adria,B-ORG,ORG-Adria-Airways
sl-34,4,8,Airways,Airwys,I-ORG,ORG-Adria-Airways
sl-34,4,9,je,,O,
sl-34,4,10,najbolj,,O,
sl-34,4,11,boleč,,O,
sl-34,4,12,za,,O,
sl-34,4,13,558,,O,
sl-34,4,14,zaposlenih,,O,
sl-34,4,15,.,,O,
sl-34,5,1,Da,,O,
sl-34,5,2,bi,,O,
sl-34,5,3,bili,,O,
sl-34,5,4,ustrezno,,O,
sl-34,5,5,informirani,,O,
sl-34,5,6,in,,O,
sl-34,5,7,bi,,O,
sl-34,5,8,čim,,O,
sl-34,5,9,lažje,,O,
sl-34,5,10,prešli,,O,
sl-34,5,11,v,,O,
sl-34,5,12,odkrito,,O,
sl-34,5,13,brezposelnost,,O,
sl-34,5,14,",",,O,
sl-34,5,15,bodo,,O,
sl-34,5,16,predstavniki,,O,
sl-34,5,17,Zavoda,Zavoda,B-ORG,ORG-Employment-Service-of-Slovenia
sl-34,5,18,RS,RS,I-ORG,ORG-Employment-Service-of-Slovenia
sl-34,5,19,za,za,I-ORG,ORG-Employment-Service-of-Slovenia
sl-34,5,20,zaposlovanje,zaposlovanje,I-ORG,ORG-Employment-Service-of-Slovenia
sl-34,5,21,stopili,,O,
sl-34,5,22,v,,O,
sl-34,5,23,kontakt,,O,
sl-34,5,24,s,,O,
sl-34,5,25,stečajnim,,O,
sl-34,5,26,upraviteljem,,O,
sl-34,5,27,ter,,O,
sl-34,5,28,z,,O,
sl-34,5,29,njim,,O,
sl-34,5,30,dogovorili,,O,
sl-34,5,31,možnosti,,O,
sl-34,5,32,",",,O,
sl-34,5,33,kako,,O,
sl-34,5,34,tem,,O,
sl-34,5,35,delavcem,,O,
sl-34,5,36,pomagati,,O,
sl-34,5,37,v,,O,
sl-34,5,38,Sloveniji,Slovenija,B-LOC,GPE-Slovenia
sl-34,5,39,in,,O,
sl-34,5,40,EU,EU,B-ORG,ORG-European-Union
sl-34,5,41,.,,O,
sl-34,6,1,Na,,O,
sl-34,6,2,zavodu,zavod,B-ORG,ORG-Employment-Service-of-Slovenia
sl-34,6,3,za,za,I-ORG,ORG-Employment-Service-of-Slovenia
sl-34,6,4,zaposlovanje,zaposlovanje,I-ORG,ORG-Employment-Service-of-Slovenia
sl-34,6,5,želijo,,O,
sl-34,6,6,s,,O,
sl-34,6,7,stečajnim,,O,
sl-34,6,8,upraviteljem,,O,
sl-34,6,9,Janezom,Janez,B-PER,PER-Janez-Pustatičnik
sl-34,6,10,Pustatičnikom,Pustatičnik,I-PER,PER-Janez-Pustatičnik
sl-34,6,11,spregovoriti,,O,
sl-34,6,12,o,,O,
sl-34,6,13,vseh,,O,
sl-34,6,14,posebnostih,,O,
sl-34,6,15,prijave,,O,
sl-34,6,16,Adrijinih,Adria,B-ORG,ORG-Adria-Airways
sl-34,6,17,kadrov,,O,
sl-34,6,18,v,,O,
sl-34,6,19,evidenco,,O,
sl-34,6,20,brezposelnih,,O,
sl-34,6,21,",",,O,
sl-34,6,22,možnostih,,O,
sl-34,6,23,njihove,,O,
sl-34,6,24,vključitve,,O,
sl-34,6,25,v,,O,
sl-34,6,26,izobraževalne,,O,
sl-34,6,27,programe,,O,
sl-34,6,28,preko,,O,
sl-34,6,29,projekta,,O,
sl-34,6,30,SPIN,SPIN,B-ORG,ORG-SPIN
sl-34,6,31,in,,O,
sl-34,6,32,potrebni,,O,
sl-34,6,33,dokumentaciji,,O,
sl-34,6,34,.,,O,
sl-34,7,1,Poleg,,O,
sl-34,7,2,tega,,O,
sl-34,7,3,nameravajo,,O,
sl-34,7,4,zaposlenim,,O,
sl-34,7,5,v,,O,
sl-34,7,6,Adrii,Adria,B-ORG,ORG-Adria-Airways
sl-34,7,7,posredovati,,O,
sl-34,7,8,informacije,,O,
sl-34,7,9,o,,O,
sl-34,7,10,prostih,,O,
sl-34,7,11,delovnih,,O,
sl-34,7,12,mestih,,O,
sl-34,7,13,tako,,O,
sl-34,7,14,v,,O,
sl-34,7,15,Sloveniji,Slovenija,B-LOC,GPE-Slovenia
sl-34,7,16,kot,,O,
sl-34,7,17,EU,EU,B-ORG,ORG-European-Union
sl-34,7,18,.,,O,
sl-34,8,1,V,,O,
sl-34,8,2,primeru,,O,
sl-34,8,3,interesa,,O,
sl-34,8,4,bodo,,O,
sl-34,8,5,organizirali,,O,
sl-34,8,6,tudi,,O,
sl-34,8,7,prijavo,,O,
sl-34,8,8,v,,O,
sl-34,8,9,času,,O,
sl-34,8,10,neuradnih,,O,
sl-34,8,11,ur,,O,
sl-34,8,12,zavoda,,O,
sl-34,8,13,",",,O,
sl-34,8,14,je,,O,
sl-34,8,15,za,,O,
sl-34,8,16,STA,STA,B-ORG,ORG-Slovenian-Press-Agency
sl-34,8,17,povedala,,O,
sl-34,8,18,direktorica,,O,
sl-34,8,19,ljubljanske,,O,
sl-34,8,20,območne,,O,
sl-34,8,21,službe,,O,
sl-34,8,22,zavoda,,O,
sl-34,8,23,Barbara,Barbara,B-PER,PER-Barbara-Vrtačnik
sl-34,8,24,Vrtačnik,Vrtačnik,I-PER,PER-Barbara-Vrtačnik
sl-34,8,25,.,,O,
sl-34,9,1,Adrijini,Adria,B-ORG,ORG-Adria-Airways
sl-34,9,2,delavci,,O,
sl-34,9,3,lahko,,O,
sl-34,9,4,sicer,,O,
sl-34,9,5,postopek,,O,
sl-34,9,6,prijave,,O,
sl-34,9,7,na,,O,
sl-34,9,8,zavod,,O,
sl-34,9,9,opravijo,,O,
sl-34,9,10,osebno,,O,
sl-34,9,11,na,,O,
sl-34,9,12,najbližjem,,O,
sl-34,9,13,območnem,,O,
sl-34,9,14,uradu,,O,
sl-34,9,15,",",,O,
sl-34,9,16,elektronsko,,O,
sl-34,9,17,",",,O,
sl-34,9,18,po,,O,
sl-34,9,19,pošti,,O,
sl-34,9,20,ali,,O,
sl-34,9,21,po,,O,
sl-34,9,22,pooblaščencu,,O,
sl-34,9,23,.,,O,
sl-34,10,1,Za,,O,
sl-34,10,2,prijavo,,O,
sl-34,10,3,potrebujejo,,O,
sl-34,10,4,osebni,,O,
sl-34,10,5,dokument,,O,
sl-34,10,6,",",,O,
sl-34,10,7,delovno,,O,
sl-34,10,8,knjižico,,O,
sl-34,10,9,(,,O,
sl-34,10,10,če,,O,
sl-34,10,11,jo,,O,
sl-34,10,12,imajo,,O,
sl-34,10,13,),,O,
sl-34,10,14,in,,O,
sl-34,10,15,številko,,O,
sl-34,10,16,osebnega,,O,
sl-34,10,17,transakcijskega,,O,
sl-34,10,18,računa,,O,
sl-34,10,19,.,,O,
sl-34,11,1,Za,,O,
sl-34,11,2,nadomestilo,,O,
sl-34,11,3,:,,O,
sl-34,11,4,vloga,,O,
sl-34,11,5,najkasneje,,O,
sl-34,11,6,30,,O,
sl-34,11,7,dni,,O,
sl-34,11,8,po,,O,
sl-34,11,9,koncu,,O,
sl-34,11,10,delovnega,,O,
sl-34,11,11,razmerja,,O,
sl-34,12,1,Postopek,,O,
sl-34,12,2,lahko,,O,
sl-34,12,3,po,,O,
sl-34,12,4,besedah,,O,
sl-34,12,5,Vrtačnikove,Vrtačnik,B-PER,PER-Barbara-Vrtačnik
sl-34,12,6,sprožijo,,O,
sl-34,12,7,kadarkoli,,O,
sl-34,12,8,po,,O,
sl-34,12,9,prenehanju,,O,
sl-34,12,10,zavarovanja,,O,
sl-34,12,11,na,,O,
sl-34,12,12,podlagi,,O,
sl-34,12,13,delovnega,,O,
sl-34,12,14,razmerja,,O,
sl-34,12,15,oz.,,O,
sl-34,12,16,po,,O,
sl-34,12,17,poteku,,O,
sl-34,12,18,odpovednega,,O,
sl-34,12,19,roka,,O,
sl-34,12,20,",",,O,
sl-34,12,21,če,,O,
sl-34,12,22,želijo,,O,
sl-34,12,23,vložiti,,O,
sl-34,12,24,zahtevek,,O,
sl-34,12,25,za,,O,
sl-34,12,26,denarno,,O,
sl-34,12,27,nadomestilo,,O,
sl-34,12,28,",",,O,
sl-34,12,29,pa,,O,
sl-34,12,30,se,,O,
sl-34,12,31,morajo,,O,
sl-34,12,32,prijaviti,,O,
sl-34,12,33,in,,O,
sl-34,12,34,zahtevek,,O,
sl-34,12,35,vložiti,,O,
sl-34,12,36,najpozneje,,O,
sl-34,12,37,v,,O,
sl-34,12,38,roku,,O,
sl-34,12,39,30,,O,
sl-34,12,40,dni,,O,
sl-34,12,41,po,,O,
sl-34,12,42,prenehanju,,O,
sl-34,12,43,delovnega,,O,
sl-34,12,44,razmerja,,O,
sl-34,12,45,.,,O,
sl-34,13,1,Kdor,,O,
sl-34,13,2,bo,,O,
sl-34,13,3,ta,,O,
sl-34,13,4,rok,,O,
sl-34,13,5,zamudil,,O,
sl-34,13,6,",",,O,
sl-34,13,7,se,,O,
sl-34,13,8,mu,,O,
sl-34,13,9,bo,,O,
sl-34,13,10,skupna,,O,
sl-34,13,11,dolžina,,O,
sl-34,13,12,prejemanja,,O,
sl-34,13,13,nadomestila,,O,
sl-34,13,14,skrajšala,,O,
sl-34,13,15,za,,O,
sl-34,13,16,koledarske,,O,
sl-34,13,17,dneve,,O,
sl-34,13,18,",",,O,
sl-34,13,19,ki,,O,
sl-34,13,20,pretečejo,,O,
sl-34,13,21,od,,O,
sl-34,13,22,31.,,O,
sl-34,13,23,dneva,,O,
sl-34,13,24,po,,O,
sl-34,13,25,prenehanju,,O,
sl-34,13,26,zavarovanja,,O,
sl-34,13,27,do,,O,
sl-34,13,28,dneva,,O,
sl-34,13,29,vložitve,,O,
sl-34,13,30,zahteve,,O,
sl-34,13,31,.,,O,
sl-34,14,1,Vlogo,,O,
sl-34,14,2,za,,O,
sl-34,14,3,uveljavitev,,O,
sl-34,14,4,pravice,,O,
sl-34,14,5,do,,O,
sl-34,14,6,denarnega,,O,
sl-34,14,7,nadomestila,,O,
sl-34,14,8,se,,O,
sl-34,14,9,izpolni,,O,
sl-34,14,10,in,,O,
sl-34,14,11,odda,,O,
sl-34,14,12,ob,,O,
sl-34,14,13,prijavi,,O,
sl-34,14,14,v,,O,
sl-34,14,15,evidenco,,O,
sl-34,14,16,brezposelnih,,O,
sl-34,14,17,.,,O,
sl-34,15,1,Na,,O,
sl-34,15,2,zavodu,,O,
sl-34,15,3,vsem,,O,
sl-34,15,4,",",,O,
sl-34,15,5,ki,,O,
sl-34,15,6,želijo,,O,
sl-34,15,7,denarno,,O,
sl-34,15,8,nadomestilo,,O,
sl-34,15,9,",",,O,
sl-34,15,10,svetujejo,,O,
sl-34,15,11,",",,O,
sl-34,15,12,da,,O,
sl-34,15,13,imajo,,O,
sl-34,15,14,ob,,O,
sl-34,15,15,prijavi,,O,
sl-34,15,16,s,,O,
sl-34,15,17,seboj,,O,
sl-34,15,18,kopijo,,O,
sl-34,15,19,odpovedi,,O,
sl-34,15,20,pogodbe,,O,
sl-34,15,21,o,,O,
sl-34,15,22,zaposlitvi,,O,
sl-34,15,23,z,,O,
sl-34,15,24,razvidno,,O,
sl-34,15,25,vročitvijo,,O,
sl-34,15,26,in,,O,
sl-34,15,27,potrdilo,,O,
sl-34,15,28,o,,O,
sl-34,15,29,višini,,O,
sl-34,15,30,plače,,O,
sl-34,15,31,",",,O,
sl-34,15,32,če,,O,
sl-34,15,33,je,,O,
sl-34,15,34,bila,,O,
sl-34,15,35,oseba,,O,
sl-34,15,36,v,,O,
sl-34,15,37,zadnjih,,O,
