uk-231
Boeing-737-800	Boeing-737-800	PRO	PRO-Boeing-737
L'Echo	L'Echo	ORG	ORG-L'Echo-News
Ryanair	Ryanair	ORG	ORG-Ryanair
Європі	Європа	LOC	GPE-Europe
Ірландія	Ірландія	LOC	GPE-Ireland
Іспанії	Іспанія	LOC	GPE-Spain
Італії	Італія	LOC	GPE-Italy
Бельгія	Бельгія	LOC	GPE-Belgium
Бельгії	Бельгія	LOC	GPE-Belgium
Брюсселі 	Брюссель	LOC	GPE-Brussles
Дубліні	Дублін	LOC	GPE-Dublin
Кенні Джейкобса	Кенні Джейкобс	PER	PER-Kenny-Jacobs
Нідерландах	Нідерланди	LOC	GPE-Holland
Нідерланди	Нідерланди	LOC	GPE-Holland
Німеччина	Німеччина	LOC	GPE-Germany
Німеччини	Німеччина	LOC	GPE-Germany
Німеччині	Німеччина	LOC	GPE-Germany
Португалії	Португалія	LOC	GPE-Portugal
Швеція	Швеція	LOC	GPE-Sweden
