docId,sentenceId,tokenId,text,lemma,ner,clID
cz-104,0,1,Ryanair,Ryanair,B-ORG,ORG-Ryanair
cz-104,0,2,se,,O,
cz-104,0,3,vzpamatovává,,O,
cz-104,0,4,ze,,O,
cz-104,0,5,stávky,,O,
cz-104,0,6,v,,O,
cz-104,0,7,Německu,Německo,B-LOC,GPE-Germany
cz-104,0,8,",",,O,
cz-104,0,9,hrozí,,O,
cz-104,0,10,další,,O,
cz-104,0,11,protesty,,O,
cz-104,0,12,v,,O,
cz-104,0,13,pěti,,O,
cz-104,0,14,zemích,,O,
cz-104,1,1,Ve,,O,
cz-104,1,2,středu,,O,
cz-104,1,3,společnost,,O,
cz-104,1,4,Ryanair,Ryanair,B-ORG,ORG-Ryanair
cz-104,1,5,kvůli,,O,
cz-104,1,6,stávce,,O,
cz-104,1,7,zrušila,,O,
cz-104,1,8,150,,O,
cz-104,1,9,letů,,O,
cz-104,1,10,",",,O,
cz-104,1,11,pražského,,O,
cz-104,1,12,letiště,,O,
cz-104,1,13,se,,O,
cz-104,1,14,však,,O,
cz-104,1,15,protest,,O,
cz-104,1,16,nedotkl,,O,
cz-104,1,17,.,,O,
cz-104,2,1,Stávka,,O,
cz-104,2,2,za,,O,
cz-104,2,3,vyšší,,O,
cz-104,2,4,platy,,O,
cz-104,2,5,a,,O,
cz-104,2,6,lepší,,O,
cz-104,2,7,pracovní,,O,
cz-104,2,8,podmínky,,O,
cz-104,2,9,začala,,O,
cz-104,2,10,na,,O,
cz-104,2,11,dvanácti,,O,
cz-104,2,12,německých,,O,
cz-104,2,13,letištích,,O,
cz-104,2,14,v,,O,
cz-104,2,15,noci,,O,
cz-104,2,16,na,,O,
cz-104,2,17,středu,,O,
cz-104,2,18,a,,O,
cz-104,2,19,oficiálně,,O,
cz-104,2,20,skončila,,O,
cz-104,2,21,dnes,,O,
cz-104,2,22,v,,O,
cz-104,2,23,02,,O,
cz-104,2,24,:,,O,
cz-104,2,25,59,,O,
cz-104,2,26,SELČ,,O,
cz-104,2,27,.,,O,
cz-104,3,1,Odborový,Odborový,B-ORG,ORG-Vereinigung-Cockpit
cz-104,3,2,svaz,svaz,I-ORG,ORG-Vereinigung-Cockpit
cz-104,3,3,německých,německých,I-ORG,ORG-Vereinigung-Cockpit
cz-104,3,4,pilotů,pilotů,I-ORG,ORG-Vereinigung-Cockpit
